,subject,predicate,rtype,object,operations,support_sentence
0,ActuatableProperty,actsOnProperty,some,Property,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': ['isPropertyOf', 'hasProperty'], 'generalize': ['Thing'], 'specialize': []}","['(An ActuatableProperty refers to a characteristic or attribute of a system that can be influenced or modified through a specific action, indicating a clear relationship between the property and the action taken.)']"
1,Actuation,actsOnProperty,some,ActuatableProperty,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': ['hasProperty'], 'generalize': ['Property'], 'specialize': []}","['(Actuation refers to the process by which an actuator exerts influence on a specific property, typically an actuatable property, to achieve a desired effect.)']"
2,Actuation,hasFeatureOfInterest,some,FeatureOfInterest,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': ['Thing'], 'specialize': []}","['(This process is closely tied to a particular feature of interest, which is the focus of the actuation.)']"
3,Actuation,hasResult,some,Result,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': ['Thing'], 'specialize': []}","['(Each actuation yields a specific result, reflecting the outcome of the interaction between the actuator and the property it acts upon.)']"
4,Actuation,usedProcedure,some,Procedure,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': ['isResultOf'], 'generalize': ['Thing'], 'specialize': []}",['(The actuation is guided by a defined procedure that outlines the steps necessary to achieve the intended outcome.)']
5,Actuator,actsOnProperty,some,ActuatableProperty,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': ['hasProperty'], 'generalize': ['Property'], 'specialize': []}","['(An Actuator is associated with a specific type of property that it can influence, ensuring that its functionality is aligned with the properties it is intended to actuate.)']"
6,Actuator,hasResult,some,Result,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': ['Thing'], 'specialize': []}","['(An Actuator plays a crucial role in the operational dynamics of a system, enabling precise control over various actuatable properties, which implies it can produce results.)']"
7,Agent,actsOnProperty,some,Property,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': ['hasProperty'], 'generalize': ['Thing'], 'specialize': []}","['(An Agent can act or make decisions within a system, which implies that it can act on various properties within that system.)']"
8,Agent,deployedOnPlatform,some,Platform,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': ['Thing'], 'specialize': []}",['(The architecture of a semantic sensor network suggests that Agents may be deployed on specific platforms.)']
9,Agent,hasFeatureOfInterest,some,FeatureOfInterest,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': ['Thing'], 'specialize': []}","['(Agents can be responsible for carrying out tasks or operations, which may involve features of interest within their environment.)']"
10,Agent,hasInput,some,Input,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': ['Thing'], 'specialize': []}","['(Agents interact with their environment, which implies they can have inputs that influence their actions.)']"
11,Agent,hasOutput,some,Output,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': ['Thing'], 'specialize': []}","['(As agents carry out tasks or operations, they are likely to produce outputs based on their interactions.)']"
12,Agent,hasResult,some,Result,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': ['Thing'], 'specialize': []}","['(An Agent is capable of interacting with their environment and can be responsible for carrying out tasks or operations based on certain conditions or stimuli, which often leads to a Result.)']"
13,Agent,hasSubSystem,some,System,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': ['Thing'], 'specialize': []}","['(Agents contribute to the overall functionality of the system, which may involve having subsystems associated with them.)']"
14,Agent,implementedBy,some,System,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': ['hasSubSystem'], 'generalize': ['Thing'], 'specialize': []}","['(Agents serve as foundational components in the architecture of a semantic sensor network, indicating they can be implemented by various systems.)']"
15,Agent,isActedOnBy,some,Actuator,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': ['isProxyFor', 'hasSubSystem'], 'generalize': ['System'], 'specialize': []}","['(Agents may operate independently or in coordination with other agents, which can include being acted upon by actuators in the system.)']"
16,Agent,isProxyFor,some,System,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': ['Thing'], 'specialize': []}","['(Agents often represent a specific role or function within a system, indicating that they can act as proxies for various systems.)']"
17,Agent,madeActuation,some,Actuation,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': [], 'specialize': []}","['(Agents can carry out tasks or operations, which may include making actuations in response to stimuli.)']"
18,Agent,madeObservation,some,Observation,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': ['observes'], 'generalize': ['Thing'], 'specialize': []}","['(Agents are capable of observing their environment, which leads to the creation of observations.)']"
19,Agent,madeSampling,some,Sampling,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': ['Thing'], 'specialize': []}",['(Agents may']
20,Agent,observes,some,ObservableProperty,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': ['Property'], 'specialize': []}","['(Agents are capable of interacting with their environment, which includes observing properties of that environment.)']"
21,Deployment,actsOnProperty,some,Property,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': ['hasProperty'], 'generalize': ['Thing'], 'specialize': []}","['(Each deployment is tailored to a particular property, ensuring that the system operates within defined parameters.)']"
22,Deployment,deployedOnPlatform,some,Platform,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': ['Thing'], 'specialize': []}",['(The Deployment class represents a specific arrangement where a system is installed or utilized on a designated platform.)']
23,Deployment,hasFeatureOfInterest,some,FeatureOfInterest,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': ['Thing'], 'specialize': []}","['(Through this class, one can understand how various components are systematically organized to achieve functional outcomes in a sensor network environment.)']"
24,Deployment,hosts,some,System,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': ['hasSubSystem'], 'generalize': ['Thing'], 'specialize': []}","['(This class encapsulates the relationship between the system, the platform it operates on, and the property it addresses.)']"
25,FeatureOfInterest,hasSample,only,Sample,"{'remove': True, 'variant_rtype': ['some'], 'prop_variant': ['hasResult', 'hasFeatureOfInterest'], 'generalize': ['Thing', 'Result'], 'specialize': []}","['(each Feature of Interest is associated exclusively with a specific sample that provides data about it.)  \nFeatureOfInterest, hasProperty, some, Property / support sentence: (every Feature of Interest is defined by its properties, which describe its characteristics and behaviors in the context of observation or measurement.)']"
26,ObservableProperty,hasFeatureOfInterest,some,FeatureOfInterest,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': ['isPropertyOf'], 'generalize': ['Thing'], 'specialize': []}","['(ObservableProperties serve as key indicators within a system, providing valuable insights into the state or condition of the features they represent.)']"
27,ObservableProperty,hasResult,some,Result,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': ['isPropertyOf'], 'generalize': ['Thing'], 'specialize': []}",['(Their measurements are essential for understanding and analyzing various phenomena in the environment.)']
28,ObservableProperty,observes,some,Sensor,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': ['hasSubSystem'], 'generalize': ['Thing', 'System'], 'specialize': []}","['(This property is specifically linked to sensors, which are responsible for observing and collecting data about it.)']"
29,Observation,hasFeatureOfInterest,some,FeatureOfInterest,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': ['Thing'], 'specialize': []}","['(Each observation is associated with a unique result that reflects the data gathered during the observation process, focusing on a particular feature of interest.)']"
30,Observation,hasResult,some,Result,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': ['Thing'], 'specialize': []}",['(Each observation is associated with a unique result that reflects the data gathered during the observation process.)']
31,Observation,madeBySensor,some,Sensor,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': ['Thing', 'System'], 'specialize': []}","['(It is conducted by a sensor and is linked to a specific observable property, following a defined procedure, and is often triggered by a stimulus.)']"
32,Observation,observes,some,ObservableProperty,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': ['Property'], 'specialize': []}","['(It is linked to a specific observable property, following a defined procedure, and is often triggered by a stimulus.)']"
33,Output,hasInput,some,Input,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': ['Thing'], 'specialize': []}","[""(The Output class represents the results produced by a system's processes, typically generated as a response to an input or observation.)""]"
34,Output,hasResult,some,Result,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': ['Thing'], 'specialize': []}","[""(The Output class represents the results produced by a system's processes, typically generated as a response to an input or observation.)""]"
35,Output,isResultOf,some,Procedure,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': ['isProxyFor', 'usedProcedure'], 'generalize': ['Thing'], 'specialize': []}","['(Outputs may result from the operation of sensors, actuators, or sampling devices, reflecting the state or changes in the environment.)']"
