,subject,predicate,rtype,object
0,Thing,has-part,some,Thing
1,Thing,has-member,some,Thing
2,Thing,is-part-of,only,Thing
3,Thing,inhabits,some,Habitat
4,Thing,inheres-in,some,Thing
5,Animal,eats,some,Carnivore
6,Animal,eaten-by,some,Carnivore
7,Plant,has-part,some,PlantParts
8,PlantParts,is-part-of,some,Plant
9,Distribution,inhabits,some,Habitat
10,Habitat,has-member,some,Animal
11,Habitat,has-member,some,Plant
12,Habitat,has-part,some,PlantParts
13,Habitat,inhabits,some,Animal
14,Habitat,inhabits,some,Plant
15,DeprecatedClass,has-part,some,DeprecatedClass
16,AnimalCollective,has-member,only,Animal
17,Role,eats,some,Animal
18,Role,eaten-by,some,Animal
19,Role,is-part-of,some,Habitat
20,Role,has-member,some,AnimalCollective
21,Carnivore,eats,some,Animal
22,Herbivore,eats,some,Plant
23,Omnivore,eats,some,Animal
24,Omnivore,eats,some,Plant
25,Giraffe,eats,some,Leaf
26,Lion,eats,some,Herbivore
27,RockDassie,eats,some,Tasty-plant
28,Warthog,eats,some,Omnivore
29,Warthog,inhabits,some,Habitat
30,Warthog,is-part-of,some,AnimalCollective
31,Tree,has-part,some,PlantParts
32,CarnivorousPlant,eats,some,Animal
33,Grass,eaten-by,some,Herbivore
34,Tasty-plant,eaten-by,some,Animal
35,Palm,has-part,some,PlantParts
36,FruitingBody,has-part,some,PlantParts
37,Branch,has-part,some,Leaf
38,Branch,has-part,some,FruitingBody
39,Leaf,has-part,some,PlantParts
40,Twig,has-part,some,Branch
41,Root,has-part,some,PlantParts
42,Phloem,has-part,some,PlantParts
43,Stem,has-part,some,PlantParts
44,Xylem,has-part,some,PlantParts
45,Palmtree,has-part,some,PlantParts
46,Bask,has-member,some,Animal
47,Cloud,has-member,some,Animal
48,Colony,has-member,some,Animal
49,Den,inhabits,some,Animal
50,Flight,has-member,some,Animal
51,Herd,has-member,some,Elephant
52,Kettle,has-member,some,Animal
53,Nest,has-part,some,PlantParts
54,Rhumba,has-member,some,Animal
55,Scourge,has-member,some,Animal
56,Swarm,has-member,some,Animal
57,Troop,has-member,some,Animal
58,Zeal,has-member,some,Animal
59,Predator,eats,some,Animal
60,Predator,eaten-by,some,Animal
61,Prey,eaten-by,some,Predator
62,HypoCarnivores,eats,some,Carnivore
63,HypoCarnivores,eats,some,Plant
64,HypoCarnivores,is-part-of,only,Animal
65,MesoCarnivore,eats,some,Animal
66,MesoCarnivore,eaten-by,some,Predator
67,ObligateCarnivore,eats,some,Animal
68,Elephant,eats,some,Herbivore
69,Impala,eats,only,Grass
70,Impala,is-part-of,some,Herd
71,Apple,eaten-by,some,Animal
72,Berry,eaten-by,some,Animal
73,Parsnip,has-part,some,Root
74,Carrot,eaten-by,some,Herbivore
