subject,property,type,target
American,hasTopping,some,MozzarellaTopping
American,hasTopping,some,PeperoniSausageTopping
American,hasTopping,some,TomatoTopping
American,hasTopping,only,MozzarellaTopping
American,hasTopping,only,PeperoniSausageTopping
American,hasTopping,only,TomatoTopping
AmericanHot,hasTopping,some,HotGreenPepperTopping
AmericanHot,hasTopping,some,JalapenoPepperTopping
AmericanHot,hasTopping,some,MozzarellaTopping
AmericanHot,hasTopping,some,PeperoniSausageTopping
AmericanHot,hasTopping,some,TomatoTopping
AmericanHot,hasTopping,only,HotGreenPepperTopping
AmericanHot,hasTopping,only,JalapenoPepperTopping
AmericanHot,hasTopping,only,MozzarellaTopping
AmericanHot,hasTopping,only,PeperoniSausageTopping
AmericanHot,hasTopping,only,TomatoTopping
ArtichokeTopping,hasSpiciness,some,Mild
AsparagusTopping,hasSpiciness,some,Mild
Cajun,hasTopping,some,MozzarellaTopping
Cajun,hasTopping,some,OnionTopping
Cajun,hasTopping,some,PeperonataTopping
Cajun,hasTopping,some,PrawnsTopping
Cajun,hasTopping,some,TobascoPepperSauce
Cajun,hasTopping,some,TomatoTopping
Cajun,hasTopping,only,MozzarellaTopping
Cajun,hasTopping,only,OnionTopping
Cajun,hasTopping,only,PeperonataTopping
Cajun,hasTopping,only,PrawnsTopping
Cajun,hasTopping,only,TobascoPepperSauce
Cajun,hasTopping,only,TomatoTopping
CajunSpiceTopping,hasSpiciness,some,Hot
CaperTopping,hasSpiciness,some,Mild
Capricciosa,hasTopping,some,AnchoviesTopping
Capricciosa,hasTopping,some,CaperTopping
Capricciosa,hasTopping,some,HamTopping
Capricciosa,hasTopping,some,MozzarellaTopping
Capricciosa,hasTopping,some,OliveTopping
Capricciosa,hasTopping,some,PeperonataTopping
Capricciosa,hasTopping,some,TomatoTopping
Capricciosa,hasTopping,only,AnchoviesTopping
Capricciosa,hasTopping,only,CaperTopping
Capricciosa,hasTopping,only,HamTopping
Capricciosa,hasTopping,only,MozzarellaTopping
Capricciosa,hasTopping,only,OliveTopping
Capricciosa,hasTopping,only,PeperonataTopping
Capricciosa,hasTopping,only,TomatoTopping
