,subject,predicate,rtype,object
0,DomainConcept,hasIngredient,some,Food
1,DomainConcept,hasCountryOfOrigin,some,String
2,DomainConcept,hasSpiciness,some,Spiciness
3,DomainConcept,hasTopping,some,PizzaTopping
4,DomainConcept,hasBase,some,PizzaBase
5,ValuePartition,hasIngredient,some,PizzaIngredient
6,ValuePartition,hasSpiciness,some,Spiciness
7,ValuePartition,hasTopping,some,PizzaTopping
8,Food,hasTopping,some,PizzaTopping
9,Food,hasBase,some,PizzaBase
10,Food,hasSpiciness,some,Spiciness
11,Food,hasIngredient,some,Food
12,Food,hasCountryOfOrigin,some,DomainConcept
13,Spiciness,hasSpiciness,some,Spiciness
14,IceCream,hasTopping,some,FruitTopping
15,Pizza,hasBase,some,PizzaBase
16,Pizza,hasTopping,some,PizzaTopping
17,Pizza,hasCountryOfOrigin,some,DomainConcept
18,PizzaBase,hasTopping,some,PizzaTopping
19,PizzaBase,hasIngredient,some,Food
20,PizzaBase,hasSpiciness,some,Spiciness
21,PizzaBase,hasCountryOfOrigin,some,DomainConcept
22,PizzaBase,isBaseOf,some,NamedPizza
23,PizzaTopping,hasTopping,some,CheeseTopping
24,PizzaTopping,hasTopping,some,MeatTopping
25,PizzaTopping,hasTopping,some,VegetableTopping
26,PizzaTopping,hasTopping,some,FishTopping
27,PizzaTopping,hasTopping,some,HerbSpiceTopping
28,Hot,hasSpiciness,some,Spiciness
29,Mild,hasSpiciness,only,Mild
30,Mild,hasTopping,some,PizzaTopping
31,Mild,hasBase,some,PizzaBase
32,NamedPizza,hasBase,exactly 1,PizzaBase
33,NamedPizza,hasTopping,some,PizzaTopping
34,NamedPizza,hasCountryOfOrigin,some,string
35,NamedPizza,hasIngredient,some,string
36,UnclosedPizza,hasBase,exactly 1,PizzaBase
37,UnclosedPizza,hasIngredient,some,MozzarellaTopping
38,UnclosedPizza,hasTopping,some,PizzaTopping
39,DeepPanBase,hasTopping,some,PizzaTopping
40,ThinAndCrispyBase,hasTopping,some,PizzaTopping
41,CheeseTopping,hasIngredient,some,Milk
42,CheeseTopping,isToppingOf,some,NamedPizza
43,CheeseTopping,hasSpiciness,some,Mild
44,FishTopping,hasIngredient,some,SeafoodIngredient
45,FruitTopping,hasTopping,some,PizzaTopping
46,FruitTopping,hasIngredient,some,Fruit
47,FruitTopping,isToppingOf,some,NamedPizza
48,HerbSpiceTopping,hasTopping,some,HerbSpiceTopping
49,HerbSpiceTopping,hasIngredient,some,Food
50,HerbSpiceTopping,hasSpiciness,some,Spiciness
51,MeatTopping,hasTopping,some,PizzaTopping
52,MeatTopping,hasIngredient,some,Meat
53,MeatTopping,hasSpiciness,some,Spiciness
54,NutTopping,hasSpiciness,some,Mild
55,NutTopping,hasTopping,some,NutTopping
56,NutTopping,hasIngredient,some,Nuts
57,NutTopping,isToppingOf,some,Pizza
58,SauceTopping,hasTopping,some,PizzaTopping
59,VegetableTopping,hasTopping,some,(ArtichokeTopping or AsparagusTopping or CaperTopping or CheeseyVegetableTopping or GarlicTopping or LeekTopping or MushroomTopping or OliveTopping or OnionTopping or PepperTopping or PetitPoisTopping or RocketTopping or SpinachTopping or TomatoTopping)
60,American,hasTopping,some,TomatoTopping
61,American,hasTopping,some,PeperoniSausageTopping
62,American,hasIngredient,some,MozzarellaTopping
63,American,hasBase,some,PizzaBase
64,American,hasCountryOfOrigin,some,UnitedStates
65,AmericanHot,hasBase,some,PizzaBase
66,AmericanHot,hasCountryOfOrigin,exactly 1,American
67,AmericanHot,hasSpiciness,exactly 1,Hot
68,AmericanHot,hasTopping,some,MeatTopping
69,AmericanHot,hasTopping,some,VegetableTopping
70,Cajun,hasBase,some,TomatoBase
71,Cajun,hasTopping,some,PrawnsTopping
72,Cajun,hasTopping,some,PeperonataTopping
73,Cajun,hasTopping,some,OnionTopping
74,Cajun,hasTopping,some,SauceTopping
75,Cajun,hasSpiciness,some,Hot
76,Capricciosa,hasTopping,some,FishTopping
77,Capricciosa,hasTopping,some,VegetableTopping
78,Capricciosa,hasBase,exactly 1,PizzaBase
79,Capricciosa,hasIngredient,some,CheeseTopping
80,Caprina,hasTopping,some,CheeseTopping
81,Caprina,hasTopping,some,TomatoTopping
82,Caprina,hasBase,some,PizzaBase
83,Fiorentina,hasBase,some,PizzaBase
84,Fiorentina,hasTopping,some,PizzaTopping
85,Fiorentina,hasIngredient,some,Food
86,FourSeasons,hasTopping,some,PizzaTopping
87,FourSeasons,hasBase,exactly 1,PizzaBase
88,FourSeasons,hasIngredient,some,Food
89,FourSeasons,hasSpiciness,some,Spiciness
90,FruttiDiMare,hasTopping,some,GarlicTopping
91,FruttiDiMare,hasTopping,some,MixedSeafoodTopping
92,FruttiDiMare,hasTopping,some,TomatoTopping
93,FruttiDiMare,hasBase,some,PizzaBase
94,Giardiniera,hasTopping,some,VegetableTopping
95,Giardiniera,hasBase,exactly 1,PizzaBase
96,Giardiniera,hasIngredient,some,Food
97,Giardiniera,hasSpiciness,some,Spiciness
98,LaReine,hasBase,some,PizzaBase
99,LaReine,hasTopping,some,PizzaTopping
100,LaReine,hasIngredient,some,HamTopping
101,LaReine,hasIngredient,some,CheeseTopping
102,LaReine,hasIngredient,some,VegetableTopping
103,LaReine,hasIngredient,some,TomatoTopping
104,Margherita,hasTopping,some,TomatoTopping
105,Margherita,hasTopping,some,MozzarellaTopping
106,Margherita,hasBase,some,PizzaBase
107,Margherita,hasCountryOfOrigin,some,Italian
108,Mushroom,hasTopping,some,MushroomTopping
109,Mushroom,hasTopping,some,TomatoTopping
110,Mushroom,hasBase,exactly 1,PizzaBase
111,Mushroom,hasIngredient,some,MozzarellaTopping
112,Napoletana,hasTopping,some,AnchoviesTopping
113,Napoletana,hasTopping,some,CaperTopping
114,Napoletana,hasTopping,some,MozzarellaTopping
115,Napoletana,hasTopping,some,OliveTopping
116,Napoletana,hasTopping,some,TomatoTopping
117,Napoletana,hasBase,some,PizzaBase
118,Napoletana,hasCountryOfOrigin,some,Italy
119,Parmense,hasBase,exactly 1,PizzaBase
120,Parmense,hasTopping,some,VegetableTopping
121,Parmense,hasTopping,some,MeatTopping
122,Parmense,hasIngredient,some,CheeseTopping
123,PolloAdAstra,hasBase,some,PizzaBase
124,PolloAdAstra,hasTopping,some,ChickenTopping
125,PolloAdAstra,hasTopping,some,GarlicTopping
126,PolloAdAstra,hasTopping,some,TomatoTopping
127,PolloAdAstra,hasTopping,some,SweetPepperTopping
128,PolloAdAstra,hasIngredient,some,CajunSpiceTopping
129,PolloAdAstra,hasSpiciness,some,Medium
130,PrinceCarlo,hasTopping,some,VegetableTopping
131,PrinceCarlo,hasTopping,some,CheeseTopping
132,PrinceCarlo,hasTopping,some,HerbSpiceTopping
133,PrinceCarlo,hasBase,some,PizzaBase
134,QuattroFormaggi,hasBase,some,PizzaBase
135,QuattroFormaggi,hasTopping,some,CheeseTopping
136,QuattroFormaggi,hasTopping,some,TomatoTopping
137,Rosa,hasTopping,some,GorgonzolaTopping
138,Rosa,hasTopping,some,MozzarellaTopping
139,Rosa,hasTopping,some,TomatoTopping
140,Rosa,hasBase,some,PizzaBase
141,Siciliana,hasTopping,some,FishTopping
142,Siciliana,hasTopping,some,VegetableTopping
143,Siciliana,hasBase,exactly 1,PizzaBase
144,Siciliana,hasIngredient,some,Food
145,Siciliana,hasCountryOfOrigin,exactly 1,Italy
146,SloppyGiuseppe,hasBase,some,PizzaBase
147,SloppyGiuseppe,hasTopping,some,PizzaTopping
148,SloppyGiuseppe,hasIngredient,some,Food
149,SloppyGiuseppe,hasSpiciness,some,Spiciness
150,Soho,hasBase,some,PizzaBase
151,Soho,hasTopping,some,PizzaTopping
152,Soho,hasIngredient,some,Food
153,Veneziana,hasTopping,some,CaperTopping
154,Veneziana,hasTopping,some,MozzarellaTopping
155,Veneziana,hasTopping,some,OliveTopping
156,Veneziana,hasTopping,some,OnionTopping
157,Veneziana,hasTopping,some,NutTopping
158,Veneziana,hasTopping,some,FruitTopping
159,Veneziana,hasTopping,some,TomatoTopping
160,Veneziana,hasBase,some,PizzaBase
161,Veneziana,hasCountryOfOrigin,some,Country
162,CheeseyVegetableTopping,hasIngredient,some,Cheese
163,CheeseyVegetableTopping,hasIngredient,some,Vegetable
164,CheeseyVegetableTopping,isToppingOf,some,NamedPizza
165,CheeseyVegetableTopping,hasSpiciness,some,Spiciness
166,FourCheesesTopping,hasIngredient,some,Cheese
167,FourCheesesTopping,hasSpiciness,some,Mild
168,FourCheesesTopping,isToppingOf,some,Pizza
169,GoatsCheeseTopping,hasIngredient,some,GoatMilk
170,GorgonzolaTopping,hasSpiciness,some,Mild
171,GorgonzolaTopping,isToppingOf,some,NamedPizza
172,GorgonzolaTopping,hasIngredient,some,Cheese
173,MozzarellaTopping,hasTopping,some,CheeseTopping
174,MozzarellaTopping,hasIngredient,some,Milk
175,MozzarellaTopping,hasCountryOfOrigin,some,Italy
176,MozzarellaTopping,hasSpiciness,some,Mild
177,ParmesanTopping,isToppingOf,some,NamedPizza
178,AnchoviesTopping,hasSpiciness,some,Mild
179,MixedSeafoodTopping,hasIngredient,some,SeafoodIngredient
180,MixedSeafoodTopping,hasSpiciness,some,Mild
181,MixedSeafoodTopping,isToppingOf,some,NamedPizza
182,PrawnsTopping,hasSpiciness,some,Mild
183,PrawnsTopping,hasIngredient,some,Prawns
184,PrawnsTopping,hasTopping,some,FishTopping
185,SultanaTopping,hasSpiciness,some,Medium
186,SultanaTopping,isToppingOf,some,NamedPizza
187,CajunSpiceTopping,hasSpiciness,some,Hot
188,CajunSpiceTopping,isToppingOf,some,Cajun
189,CajunSpiceTopping,hasIngredient,some,AromaticHerbsAndSpices
190,RosemaryTopping,hasSpiciness,some,Mild
191,RosemaryTopping,isToppingOf,some,NamedPizza
192,RosemaryTopping,isIngredientOf,some,PizzaTopping
193,ChickenTopping,hasIngredient,some,Protein
194,ChickenTopping,hasSpiciness,some,Mild
195,ChickenTopping,hasTopping,some,MeatTopping
196,HamTopping,hasTopping,some,MeatTopping
197,HamTopping,hasIngredient,some,Ham
198,HamTopping,isToppingOf,some,NamedPizza
199,HotSpicedBeefTopping,hasSpiciness,some,Hot
200,HotSpicedBeefTopping,isToppingOf,some,NamedPizza
201,HotSpicedBeefTopping,hasIngredient,some,Beef
202,PeperoniSausageTopping,hasSpiciness,exactly 1,Medium
203,PeperoniSausageTopping,isToppingOf,some,NamedPizza
204,PeperoniSausageTopping,hasIngredient,some,Sausage
205,PineKernels,hasTopping,some,NutTopping
206,PineKernels,isIngredientOf,some,PizzaTopping
207,PineKernels,hasCountryOfOrigin,some,Food
208,TobascoPepperSauce,hasSpiciness,some,Hot
209,TobascoPepperSauce,isIngredientOf,some,PizzaTopping
210,TobascoPepperSauce,isToppingOf,some,NamedPizza
211,ArtichokeTopping,hasTopping,some,VegetableTopping
212,ArtichokeTopping,hasIngredient,some,Artichoke
213,ArtichokeTopping,hasSpiciness,some,Mild
214,AsparagusTopping,hasTopping,some,VegetableTopping
215,AsparagusTopping,hasIngredient,some,Food
216,AsparagusTopping,hasSpiciness,some,Mild
217,CaperTopping,hasTopping,some,VegetableTopping
218,GarlicTopping,hasSpiciness,some,Medium
219,GarlicTopping,hasTopping,some,VegetableTopping
220,GarlicTopping,isIngredientOf,some,PizzaTopping
221,LeekTopping,hasIngredient,some,Vegetable
222,MushroomTopping,isToppingOf,some,NamedPizza
223,MushroomTopping,hasIngredient,some,Mushroom
224,MushroomTopping,hasSpiciness,some,Mild
225,OliveTopping,isToppingOf,some,NamedPizza
226,OliveTopping,hasIngredient,some,Olive
227,OliveTopping,hasSpiciness,some,Mild
228,OliveTopping,hasTopping,some,VegetableTopping
229,OnionTopping,hasSpiciness,some,Medium
230,OnionTopping,isToppingOf,some,NamedPizza
231,OnionTopping,isIngredientOf,some,PizzaTopping
232,PepperTopping,hasTopping,some,VegetableTopping
233,PepperTopping,hasSpiciness,some,Spiciness
234,PepperTopping,isToppingOf,some,NamedPizza
235,PetitPoisTopping,hasTopping,some,VegetableTopping
236,RocketTopping,hasSpiciness,some,Medium
237,RocketTopping,hasTopping,some,VegetableTopping
238,SpinachTopping,hasTopping,some,VegetableTopping
239,TomatoTopping,hasSpiciness,some,Mild
240,TomatoTopping,isToppingOf,some,NamedPizza
241,TomatoTopping,hasIngredient,some,Tomato
242,ParmaHamTopping,hasIngredient,some,Ham
243,ParmaHamTopping,hasTopping,some,PizzaTopping
244,ParmaHamTopping,hasSpiciness,some,Mild
245,ParmaHamTopping,isToppingOf,some,NamedPizza
246,RedOnionTopping,hasSpiciness,some,Medium
247,RedOnionTopping,isToppingOf,some,NamedPizza
248,RedOnionTopping,hasIngredient,some,Onion
249,RedOnionTopping,hasTopping,some,VegetableTopping
250,GreenPepperTopping,hasTopping,some,PepperTopping
251,JalapenoPepperTopping,hasSpiciness,some,Hot
252,PeperonataTopping,hasSpiciness,some,Medium
253,PeperonataTopping,hasTopping,some,PepperTopping
254,PeperonataTopping,isToppingOf,some,NamedPizza
255,SweetPepperTopping,hasSpiciness,some,Mild
256,SlicedTomatoTopping,hasTopping,some,TomatoTopping
257,SlicedTomatoTopping,isToppingOf,some,NamedPizza
258,SlicedTomatoTopping,hasSpiciness,some,Mild
259,SundriedTomatoTopping,hasSpiciness,some,Mild
260,SundriedTomatoTopping,hasTopping,some,TomatoTopping
261,SundriedTomatoTopping,isToppingOf,some,NamedPizza
262,HotGreenPepperTopping,hasSpiciness,some,Hot
263,HotGreenPepperTopping,hasTopping,some,GreenPepperTopping
