,subject,predicate,rtype,object
0,Thing,hasResult,some,Result
1,Thing,observes,some,Observation
2,Thing,hasFeatureOfInterest,some,FeatureOfInterest
3,Thing,isActedOnBy,some,Actuator
4,Thing,isProxyFor,some,Thing
5,Thing,isResultOf,some,Procedure
6,Thing,usedProcedure,some,Procedure
7,Thing,hasSubSystem,some,System
8,Thing,hasProperty,some,Property
9,Sensor,observes,some,ObservableProperty
10,Sensor,hasFeatureOfInterest,some,FeatureOfInterest
11,Vocabulary,hasFeatureOfInterest,some,FeatureOfInterest
12,Vocabulary,hasProperty,some,Property
13,Vocabulary,hasResult,some,Result
14,Vocabulary,observes,some,ObservableProperty
15,Vocabulary,isActedOnBy,some,Actuator
16,Vocabulary,isProxyFor,some,System
17,Vocabulary,isResultOf,some,Observation
18,Vocabulary,usedProcedure,some,Procedure
19,Vocabulary,hasSample,some,Sample
20,Vocabulary,madeObservation,some,Observation
21,Vocabulary,hasInput,some,Input
22,Vocabulary,hasOutput,some,Output
23,Vocabulary,isHostedBy,some,Platform
24,Vocabulary,deployedOnPlatform,some,Platform
25,Result,hasFeatureOfInterest,some,FeatureOfInterest
26,Result,isResultOf,some,Observation
27,Result,observedProperty,some,ObservableProperty
28,Property,hasFeatureOfInterest,some,FeatureOfInterest
29,Property,hasResult,some,Result
30,Property,isPropertyOf,some,Thing
31,Sampling,hasResult,some,Sample
32,Sampling,madeBySampler,only,Sampler
33,Sampling,usedProcedure,some,Procedure
34,Deployment,deployedOnPlatform,some,Platform
35,Deployment,actsOnProperty,some,Property
36,Deployment,hosts,some,System
37,Deployment,hasFeatureOfInterest,some,FeatureOfInterest
38,System,hasDeployment,some,Deployment
39,System,hasSubSystem,some,System
40,System,implements,some,Procedure
41,Agent,hasResult,some,Result
42,Agent,observes,some,ObservableProperty
43,Agent,actsOnProperty,some,Property
44,Agent,isActedOnBy,some,Actuator
45,Agent,isProxyFor,some,System
46,Agent,hasSubSystem,some,System
47,Agent,deployedOnPlatform,some,Platform
48,Agent,implementedBy,some,System
49,Agent,hasFeatureOfInterest,some,FeatureOfInterest
50,Agent,hasInput,some,Input
51,Agent,hasOutput,some,Output
52,Agent,madeObservation,some,Observation
53,Agent,madeActuation,some,Actuation
54,Agent,madeSampling,some,Sampling
55,FeatureOfInterest,hasSample,only,Sample
56,ObservableProperty,observes,some,Sensor
57,ObservableProperty,hasFeatureOfInterest,some,FeatureOfInterest
58,ObservableProperty,hasResult,some,Result
59,Output,hasResult,some,Result
60,Output,hasInput,some,Input
61,Output,isResultOf,some,Procedure
62,Sampler,hasResult,some,Result
63,Sampler,hasFeatureOfInterest,some,FeatureOfInterest
64,Sampler,usedProcedure,some,Procedure
65,Sampler,madeSampling,some,Sampling
66,Actuation,hasResult,some,Result
67,Actuation,hasFeatureOfInterest,some,FeatureOfInterest
68,Actuation,usedProcedure,some,Procedure
69,Actuation,actsOnProperty,some,ActuatableProperty
70,Procedure,hasInput,some,Input
71,Procedure,hasOutput,some,Output
72,Procedure,implementedBy,some,System
73,TemporalEntity,hasResult,some,Result
74,TemporalEntity,observes,some,Observation
75,TemporalEntity,hasFeatureOfInterest,some,FeatureOfInterest
76,TemporalEntity,isActedOnBy,some,System
77,TemporalEntity,isProxyFor,some,TemporalEntity
78,TemporalEntity,hasSample,some,Sample
79,TemporalEntity,madeObservation,some,Observation
80,TemporalEntity,phenomenonTime,some,TemporalEntity
81,TemporalEntity,hasProperty,some,Property
82,TemporalEntity,actsOnProperty,some,Property
83,TemporalEntity,isObservedBy,some,System
84,TemporalEntity,madeBySensor,some,Sensor
85,TemporalEntity,madeBySampler,some,Sampler
86,Sample,hasResult,some,Result
87,Sample,hasFeatureOfInterest,some,FeatureOfInterest
88,Sample,isResultOf,some,Sampling
89,Sample,madeBySampler,some,Sampler
90,Sample,madeObservation,some,Observation
91,Sample,hasInput,some,Input
92,Sample,hasOutput,some,Output
93,Sample,forProperty,some,Property
94,Sample,actsOnProperty,some,Property
95,Sample,isObservedBy,some,Sensor
96,Sample,isSampleOf,some,FeatureOfInterest
97,Sample,madeBySensor,some,Sensor
98,Sample,madeByActuator,some,Actuator
99,Sample,hasProperty,some,Property
100,Observation,hasResult,some,Result
101,Observation,observes,some,ObservableProperty
102,Observation,hasFeatureOfInterest,some,FeatureOfInterest
103,Observation,madeBySensor,some,Sensor
104,ActuatableProperty,actsOnProperty,some,Property
105,Actuator,actsOnProperty,some,ActuatableProperty
106,Actuator,hasResult,some,Result
107,Stimulus,hasFeatureOfInterest,some,FeatureOfInterest
108,Stimulus,observes,some,Observation
109,Stimulus,hasResult,some,Result
110,Platform,hosts,some,System
111,Platform,hasDeployment,some,Deployment
