subject,predicate,rtype,object
ActuatableProperty,actsOnProperty,only,Property
ActuatableProperty,actsOnProperty,some,Property
Actuation,hasFeatureOfInterest,only,FeatureOfInterest
Actuation,hasFeatureOfInterest,some,FeatureOfInterest
Actuation,hasProperty,only,ActuatableProperty
Actuation,hasProperty,some,ActuatableProperty
Actuation,hasResult,only,Result
Actuation,hasResult,some,Result
Actuation,isResultOf,some,Procedure
Actuation,usedProcedure,only,Procedure
Actuation,usedProcedure,some,Procedure
Actuator,hasProperty,only,ActuatableProperty
Actuator,hasProperty,some,ActuatableProperty
Actuator,hasResult,only,Result
Actuator,hasResult,some,Result
Agent,actsOnProperty,some,Thing
Agent,deployedOnPlatform,only,Platform
Agent,deployedOnPlatform,some,Platform
Agent,hasFeatureOfInterest,only,FeatureOfInterest
Agent,hasFeatureOfInterest,some,FeatureOfInterest
Agent,hasInput,only,Input
Agent,hasInput,some,Input
Agent,hasOutput,only,Output
Agent,hasOutput,some,Output
Agent,hasProperty,only,Property
Agent,hasProperty,some,Property
Agent,hasResult,only,Result
Agent,hasResult,some,Result
Agent,hasSubSystem,only,System
Agent,hasSubSystem,some,System
Agent,implementedBy,only,System
Agent,implementedBy,some,System
Agent,isActedOnBy,only,Actuator
Agent,isActedOnBy,some,Actuator
Agent,isProxyFor,only,System
Agent,isProxyFor,some,System
Agent,madeActuation,only,Actuation
Agent,madeActuation,some,Actuation
Agent,madeObservation,only,Observation
Agent,madeObservation,some,Observation
Agent,madeSampling,only,Sampling
Agent,madeSampling,some,Sampling
Agent,observes,some,ObservableProperty
Agent,observes,some,Observation
Deployment,deployedOnPlatform,only,Platform
Deployment,deployedOnPlatform,some,Platform
Deployment,hasFeatureOfInterest,only,FeatureOfInterest
Deployment,hasFeatureOfInterest,some,FeatureOfInterest
Deployment,hasProperty,only,Property
Deployment,hasProperty,some,Property
Deployment,hosts,only,System
Deployment,hosts,some,System
FeatureOfInterest,hasResult,only,Sample
FeatureOfInterest,hasSample,only,Sample
FeatureOfInterest,hasSample,some,Sample
ObservableProperty,hasFeatureOfInterest,only,FeatureOfInterest
ObservableProperty,hasFeatureOfInterest,some,FeatureOfInterest
ObservableProperty,hasResult,only,Result
ObservableProperty,hasResult,some,Result
ObservableProperty,hasSubSystem,some,Sensor
ObservableProperty,observes,only,Sensor
ObservableProperty,observes,some,Sensor
Observation,hasFeatureOfInterest,only,FeatureOfInterest
Observation,hasFeatureOfInterest,some,FeatureOfInterest
Observation,hasResult,only,Result
Observation,hasResult,some,Result
Observation,madeBySensor,only,Sensor
Observation,madeBySensor,some,Sensor
Observation,observes,some,ObservableProperty
Output,hasInput,only,Input
Output,hasInput,some,Input
Output,hasResult,only,Result
Output,hasResult,some,Result
Output,isResultOf,only,Procedure
Output,isResultOf,some,Procedure
Platform,hasDeployment,only,Deployment
Platform,hasDeployment,some,Deployment
Platform,hasSubSystem,some,System
Platform,hosts,only,System
Platform,hosts,some,System
Procedure,hasInput,only,Input
Procedure,hasInput,some,Input
Procedure,hasOutput,only,Output
Procedure,hasOutput,some,Output
Procedure,hasSubSystem,some,System
Procedure,implementedBy,only,System
Procedure,implementedBy,some,System
Property,hasFeatureOfInterest,only,FeatureOfInterest
Property,hasFeatureOfInterest,some,FeatureOfInterest
Property,hasResult,only,Result
Property,hasResult,some,Result
Property,isPropertyOf,only,Thing
Property,isPropertyOf,some,Thing
Property,isProxyFor,some,Thing
Result,hasFeatureOfInterest,only,FeatureOfInterest
Result,hasFeatureOfInterest,some,FeatureOfInterest
Result,hasProperty,only,ObservableProperty
Result,hasProperty,some,ObservableProperty
Result,isProxyFor,some,Observation
Result,isResultOf,some,Observation
Sample,hasFeatureOfInterest,only,FeatureOfInterest
Sample,hasFeatureOfInterest,some,FeatureOfInterest
Sample,hasInput,only,Input
Sample,hasInput,some,Input
Sample,hasOutput,only,Output
Sample,hasOutput,some,Output
Sample,hasProperty,only,Property
Sample,hasProperty,some,Property
Sample,hasResult,only,Result
Sample,hasResult,some,Result
Sample,hasSubSystem,some,Sensor
Sample,isActedOnBy,some,Actuator
Sample,isObservedBy,only,Sensor
Sample,isObservedBy,some,Sensor
Sample,isProxyFor,some,FeatureOfInterest
Sample,isProxyFor,some,Property
Sample,isProxyFor,some,Sampling
Sample,isResultOf,only,Sampling
Sample,isResultOf,some,Sampling
Sample,isSampleOf,only,FeatureOfInterest
Sample,isSampleOf,some,FeatureOfInterest
Sample,madeByActuator,only,Actuator
Sample,madeByActuator,some,Actuator
Sample,madeBySampler,only,Sampler
Sample,madeBySampler,some,Sampler
Sample,madeBySensor,only,Sensor
Sample,madeBySensor,some,Sensor
Sample,madeObservation,only,Observation
Sample,madeObservation,some,Observation
Sample,observes,some,Observation
Sampler,hasFeatureOfInterest,only,FeatureOfInterest
Sampler,hasFeatureOfInterest,some,FeatureOfInterest
Sampler,hasResult,only,Result
Sampler,hasResult,some,Result
Sampler,madeSampling,only,Sampling
Sampler,madeSampling,some,Sampling
Sampler,usedProcedure,only,Procedure
Sampler,usedProcedure,some,Procedure
Sampling,hasFeatureOfInterest,some,Sample
Sampling,hasResult,only,Sample
Sampling,hasResult,some,Sample
Sampling,isResultOf,some,Procedure
Sampling,madeBySampler,only,Sampler
Sampling,madeBySampler,some,Sampler
Sampling,usedProcedure,only,Procedure
Sampling,usedProcedure,some,Procedure
Sensor,hasFeatureOfInterest,only,FeatureOfInterest
Sensor,hasFeatureOfInterest,some,FeatureOfInterest
Sensor,observes,only,ObservableProperty
Sensor,observes,some,ObservableProperty
Stimulus,hasFeatureOfInterest,only,FeatureOfInterest
Stimulus,hasFeatureOfInterest,some,FeatureOfInterest
Stimulus,hasResult,only,Result
Stimulus,hasResult,some,Result
Stimulus,observes,only,Observation
Stimulus,observes,some,Observation
System,hasDeployment,only,Deployment
System,hasDeployment,some,Deployment
System,hasSubSystem,only,System
System,hasSubSystem,some,System
System,implements,only,Procedure
System,implements,some,Procedure
TemporalEntity,hasFeatureOfInterest,only,FeatureOfInterest
TemporalEntity,hasFeatureOfInterest,some,FeatureOfInterest
TemporalEntity,hasProperty,only,Property
TemporalEntity,hasProperty,some,Property
TemporalEntity,hasResult,only,Result
TemporalEntity,hasResult,some,Sample
TemporalEntity,hasSample,only,Sample
TemporalEntity,hasSample,some,Sample
TemporalEntity,isActedOnBy,some,System
TemporalEntity,isObservedBy,only,System
TemporalEntity,isObservedBy,some,System
TemporalEntity,isProxyFor,only,TemporalEntity
TemporalEntity,isProxyFor,some,TemporalEntity
TemporalEntity,madeBySampler,only,Sampler
TemporalEntity,madeBySampler,some,Sampler
TemporalEntity,madeBySensor,only,Sensor
TemporalEntity,madeBySensor,some,Sensor
TemporalEntity,madeObservation,only,Observation
TemporalEntity,madeObservation,some,Observation
TemporalEntity,observes,only,Observation
TemporalEntity,observes,some,Observation
TemporalEntity,phenomenonTime,only,TemporalEntity
TemporalEntity,phenomenonTime,some,TemporalEntity
Thing,hasFeatureOfInterest,some,FeatureOfInterest
Thing,hasProperty,some,Property
Thing,hasResult,some,Result
Thing,hasSubSystem,some,System
Thing,isActedOnBy,some,Actuator
Thing,isResultOf,some,Procedure
Thing,observes,some,Observation
Thing,usedProcedure,some,Procedure
Vocabulary,deployedOnPlatform,only,Platform
Vocabulary,deployedOnPlatform,some,Platform
Vocabulary,hasFeatureOfInterest,only,FeatureOfInterest
Vocabulary,hasFeatureOfInterest,some,FeatureOfInterest
Vocabulary,hasInput,only,Input
Vocabulary,hasInput,some,Input
Vocabulary,hasOutput,only,Output
Vocabulary,hasOutput,some,Output
Vocabulary,hasProperty,only,Property
Vocabulary,hasProperty,some,Property
Vocabulary,hasResult,only,Result
Vocabulary,hasResult,some,Sample
Vocabulary,hasSample,only,Sample
Vocabulary,hasSample,some,Sample
Vocabulary,isActedOnBy,only,Actuator
Vocabulary,isActedOnBy,some,Actuator
Vocabulary,isHostedBy,only,Platform
Vocabulary,isHostedBy,some,Platform
Vocabulary,isProxyFor,only,System
Vocabulary,isProxyFor,some,Observation
Vocabulary,isProxyFor,some,Platform
Vocabulary,isProxyFor,some,System
Vocabulary,isResultOf,some,Observation
Vocabulary,madeObservation,only,Observation
Vocabulary,madeObservation,some,Observation
Vocabulary,observes,some,ObservableProperty
Vocabulary,usedProcedure,only,Procedure
Vocabulary,usedProcedure,some,Procedure
