subject,predicate,rtype,object
ActuatableProperty,actsOnProperty,only,Property
Actuation,hasFeatureOfInterest,only,FeatureOfInterest
Actuation,hasProperty,only,ActuatableProperty
Actuation,hasResult,only,Result
Actuation,isResultOf,some,Procedure
Actuation,usedProcedure,only,Procedure
Actuator,hasProperty,only,ActuatableProperty
Actuator,hasResult,some,Result
Agent,actsOnProperty,some,Thing
Agent,deployedOnPlatform,some,Platform
Agent,hasFeatureOfInterest,some,FeatureOfInterest
Agent,hasInput,some,Input
Agent,hasOutput,some,Output
Agent,hasProperty,some,Property
Agent,hasResult,some,Result
Agent,hasSubSystem,some,System
Agent,implementedBy,some,System
Agent,isActedOnBy,some,Actuator
Agent,isProxyFor,some,System
Agent,madeActuation,some,Actuation
Agent,madeObservation,some,Observation
Agent,madeSampling,some,Sampling
Agent,observes,some,ObservableProperty
Agent,observes,some,Observation
Deployment,deployedOnPlatform,only,Platform
Deployment,hasFeatureOfInterest,only,FeatureOfInterest
Deployment,hasProperty,only,Property
Deployment,hosts,some,System
FeatureOfInterest,hasResult,only,Sample
FeatureOfInterest,hasSample,only,Sample
FeatureOfInterest,hasProperty,some,Property
ObservableProperty,hasFeatureOfInterest,only,FeatureOfInterest
ObservableProperty,hasResult,only,Result
ObservableProperty,observes,only,Sensor
Observation,hasFeatureOfInterest,only,FeatureOfInterest
Observation,hasResult,only,Result
Observation,madeBySensor,only,Sensor
Observation,observes,some,ObservableProperty
Output,hasInput,only,Input
Output,hasResult,some,Result
Output,isResultOf,some,Procedure
Platform,hasDeployment,only,Deployment
Platform,hasSubSystem,some,System
Platform,hosts,only,System
Procedure,hasInput,only,Input
Procedure,hasOutput,only,Output
Procedure,hasSubSystem,some,System
Procedure,implementedBy,only,System
Property,hasFeatureOfInterest,only,FeatureOfInterest
Property,hasResult,only,Result
Property,isPropertyOf,only,Thing
Property,isProxyFor,some,Thing
Result,hasFeatureOfInterest,only,FeatureOfInterest
Result,hasProperty,some,ObservableProperty
Result,isProxyFor,some,Observation
Result,isResultOf,some,Observation
Sample,hasFeatureOfInterest,only,FeatureOfInterest
Sample,hasInput,some,Input
Sample,hasOutput,some,Output
Sample,hasResult,some,Result
Sample,hasProperty,some,Property
Sample,isResultOf,only,Sampling
Sample,isSampleOf,only,FeatureOfInterest
Sample,madeBySampler,some,Sampler
Sample,madeBySensor,some,Sensor
Sample,madeByActuator,some,Actuator
Sample,madeObservation,some,Observation
Sample,observes,some,Observation
Sample,isObservedBy,some,Sensor
Sample,isActedOnBy,some,Actuator
Sample,isProxyFor,some,FeatureOfInterest
Sampler,hasFeatureOfInterest,only,FeatureOfInterest
Sampler,hasResult,some,Result
Sampler,madeSampling,only,Sampling
Sampler,usedProcedure,only,Procedure
Sampling,hasFeatureOfInterest,some,Sample
Sampling,hasResult,only,Sample
Sampling,isResultOf,some,Procedure
Sampling,madeBySampler,only,Sampler
Sampling,usedProcedure,only,Procedure
Sensor,hasFeatureOfInterest,some,FeatureOfInterest
Sensor,observes,some,ObservableProperty
Stimulus,hasFeatureOfInterest,only,FeatureOfInterest
Stimulus,hasResult,some,Result
Stimulus,observes,some,Observation
System,hasDeployment,only,Deployment
System,hasDeployment,some,Deployment
System,hasSubSystem,only,System
System,hasSubSystem,some,System
System,implements,only,Procedure
System,implements,some,Procedure
TemporalEntity,hasFeatureOfInterest,only,FeatureOfInterest
TemporalEntity,hasProperty,some,Property
TemporalEntity,hasResult,only,Result
TemporalEntity,hasSample,some,Sample
TemporalEntity,isActedOnBy,some,System
TemporalEntity,isObservedBy,some,System
TemporalEntity,isProxyFor,some,TemporalEntity
TemporalEntity,madeBySampler,some,Sampler
TemporalEntity,madeBySensor,some,Sensor
TemporalEntity,madeObservation,some,Observation
TemporalEntity,observes,some,Observation
TemporalEntity,phenomenonTime,some,TemporalEntity
Thing,hasFeatureOfInterest,some,FeatureOfInterest
Thing,hasProperty,some,Property
Thing,hasResult,some,Result
Thing,hasSubSystem,some,System
Thing,isActedOnBy,some,Actuator
Thing,isResultOf,some,Procedure
Thing,observes,some,Observation
Thing,usedProcedure,some,Procedure
Vocabulary,deployedOnPlatform,only,Platform
Vocabulary,hasFeatureOfInterest,only,FeatureOfInterest
Vocabulary,hasInput,only,Input
Vocabulary,hasOutput,only,Output
Vocabulary,hasProperty,only,Property
Vocabulary,hasResult,only,Result
Vocabulary,hasSample,only,Sample
Vocabulary,isActedOnBy,only,Actuator
Vocabulary,isHostedBy,only,Platform
Vocabulary,isProxyFor,only,System
Vocabulary,madeObservation,only,Observation
Vocabulary,usedProcedure,only,Procedure
