subject,predicate,rtype,object
American,hasBase,some,PizzaBase
American,hasIngredient,some,MozzarellaTopping
American,hasTopping,some,PeperoniSausageTopping
American,hasTopping,some,TomatoTopping
AmericanHot,hasSpiciness,exactly 1,Hot
AmericanHot,hasCountryOfOrigin,exactly 1,American
AmericanHot,hasTopping,at least 1,HotGreenPepperTopping
AmericanHot,hasTopping,at least 1,JalapenoPepperTopping
AmericanHot,hasTopping,at least 1,MozzarellaTopping
AmericanHot,hasTopping,at least 1,PeperoniSausageTopping
AmericanHot,hasTopping,at least 1,TomatoTopping
AmericanHot,hasBase,exactly 1,ThinAndCrispyBase
AnchoviesTopping,hasSpiciness,some,Mild
AnchoviesTopping,isIngredientOf,some,PizzaTopping
ArtichokeTopping,hasSpiciness,some,Mild
ArtichokeTopping,hasTopping,some,VegetableTopping
AsparagusTopping,hasIngredient,some,Food
AsparagusTopping,hasSpiciness,some,Mild
AsparagusTopping,hasTopping,some,VegetableTopping
CajunSpiceTopping,hasIngredient,some,Cajun
CajunSpiceTopping,hasSpiciness,some,Hot
CaperTopping,hasTopping,some,VegetableTopping
Capricciosa,hasBase,exactly 1,PizzaBase
Capricciosa,hasTopping,at least 1,PizzaTopping
Capricciosa,hasIngredient,at least 1,Food
Capricciosa,hasSpiciness,exactly 1,Spiciness
Caprina,hasBase,some,PizzaBase
Caprina,hasTopping,some,PizzaTopping
Caprina,hasIngredient,some,Food
Caprina,hasSpiciness,some,Spiciness
CheeseyVegetableTopping,hasIngredient,some,CheeseTopping
CheeseyVegetableTopping,hasIngredient,some,VegetableTopping
CheeseyVegetableTopping,hasSpiciness,some,Spiciness
CheeseyVegetableTopping,isToppingOf,some,NamedPizza
ChickenTopping,hasSpiciness,some,Mild
ChickenTopping,hasTopping,some,MeatTopping
DeepPanBase,hasTopping,some,PizzaTopping
DeepPanBase,hasBase,exactly,DeepPanBase
Fiorentina,hasIngredient,some,Food
Fiorentina,hasTopping,some,PizzaTopping
Fiorentina,hasBase,exactly,ThinAndCrispyBase
Fiorentina,hasSpiciness,exactly,Medium
FourCheesesTopping,hasIngredient,some,CheeseTopping
FourCheesesTopping,hasSpiciness,some,Mild
FourCheesesTopping,isToppingOf,some,Pizza
FruitTopping,hasIngredient,some,FruitTopping
FruitTopping,hasTopping,some,PizzaTopping
FruitTopping,isToppingOf,some,NamedPizza
GarlicTopping,hasSpiciness,some,Medium
GarlicTopping,hasTopping,some,VegetableTopping
GarlicTopping,isIngredientOf,some,PizzaTopping
GorgonzolaTopping,hasIngredient,some,CheeseTopping
GorgonzolaTopping,hasSpiciness,some,Mild
GorgonzolaTopping,isToppingOf,some,NamedPizza
GreenPepperTopping,hasTopping,some,PepperTopping
HamTopping,hasIngredient,some,HamTopping
HamTopping,hasTopping,some,MeatTopping
