subject,predicate,rtype,object
ActuatableProperty,actsOnProperty,some,Property
Actuation,hasFeatureOfInterest,some,FeatureOfInterest
Actuation,hasProperty,some,ActuatableProperty
Actuation,hasResult,some,Result
Actuation,usedProcedure,some,Procedure
Actuator,hasProperty,some,ActuatableProperty
Actuator,hasResult,some,Result
Agent,deployedOnPlatform,some,Platform
Agent,hasFeatureOfInterest,some,FeatureOfInterest
Agent,hasInput,some,Input
Agent,hasOutput,some,Output
Agent,hasProperty,some,Property
Agent,hasResult,some,Result
Agent,hasSubSystem,some,System
Agent,implementedBy,some,System
Agent,isActedOnBy,some,Actuator
Agent,isProxyFor,some,System
Agent,madeActuation,some,Actuation
Agent,madeObservation,some,Observation
Agent,madeSampling,some,Sampling
Agent,observes,some,ObservableProperty
Deployment,deployedOnPlatform,some,Platform
Deployment,hasFeatureOfInterest,some,FeatureOfInterest
Deployment,hasProperty,some,Property
Deployment,hosts,some,System
FeatureOfInterest,hasSample,only,Sample
FeatureOfInterest,hasProperty,some,Property
ObservableProperty,hasFeatureOfInterest,some,FeatureOfInterest
ObservableProperty,hasResult,some,Result
ObservableProperty,observes,some,Sensor
Observation,hasFeatureOfInterest,some,FeatureOfInterest
Observation,hasResult,some,Result
Observation,madeBySensor,some,Sensor
Observation,observes,some,ObservableProperty
Output,hasInput,some,Input
Output,hasResult,some,Result
Output,isResultOf,some,Procedure
Platform,hasDeployment,some,Deployment
Platform,hosts,some,System
Procedure,hasInput,some,Input
Procedure,hasOutput,some,Output
Procedure,implementedBy,some,System
Property,hasFeatureOfInterest,some,FeatureOfInterest
Property,hasResult,some,Result
Property,isPropertyOf,some,Thing
Result,hasFeatureOfInterest,some,FeatureOfInterest
Result,hasProperty,some,ObservableProperty
Result,isResultOf,some,Observation
Sample,hasFeatureOfInterest,some,FeatureOfInterest
Sample,hasInput,some,Input
Sample,hasOutput,some,Output
Sample,hasProperty,some,Property
Sample,hasResult,some,Result
Sample,isObservedBy,some,Sensor
Sample,isResultOf,some,Sampling
Sample,isSampleOf,some,FeatureOfInterest
Sample,madeByActuator,some,Actuator
Sample,madeBySampler,some,Sampler
Sample,madeBySensor,some,Sensor
Sample,madeObservation,some,Observation
Sampler,hasFeatureOfInterest,some,FeatureOfInterest
Sampler,hasResult,some,Result
Sampler,madeSampling,some,Sampling
Sampler,usedProcedure,some,Procedure
Sampling,hasResult,some,Sample
Sampling,madeBySampler,only,Sampler
Sampling,usedProcedure,some,Procedure
Sensor,hasFeatureOfInterest,some,FeatureOfInterest
Sensor,observes,some,ObservableProperty
Stimulus,hasFeatureOfInterest,some,FeatureOfInterest
Stimulus,hasResult,some,Result
Stimulus,observes,some,Observation
System,hasDeployment,some,Deployment
System,hasSubSystem,some,System
System,implements,some,Procedure
TemporalEntity,hasFeatureOfInterest,some,FeatureOfInterest
TemporalEntity,hasProperty,some,Property
TemporalEntity,hasResult,some,Result
TemporalEntity,hasSample,some,Sample
TemporalEntity,isActedOnBy,some,System
TemporalEntity,isObservedBy,some,System
TemporalEntity,isProxyFor,some,TemporalEntity
TemporalEntity,madeBySampler,some,Sampler
TemporalEntity,madeBySensor,some,Sensor
TemporalEntity,madeObservation,some,Observation
TemporalEntity,observes,some,Observation
TemporalEntity,phenomenonTime,some,TemporalEntity
Thing,hasFeatureOfInterest,some,FeatureOfInterest
Thing,hasProperty,some,Property
Thing,hasResult,some,Result
Thing,hasSubSystem,some,System
Thing,isActedOnBy,some,Actuator
Thing,isResultOf,some,Procedure
Thing,observes,some,Observation
Thing,usedProcedure,some,Procedure
Vocabulary,deployedOnPlatform,some,Platform
Vocabulary,hasFeatureOfInterest,some,FeatureOfInterest
Vocabulary,hasInput,some,Input
Vocabulary,hasOutput,some,Output
Vocabulary,hasProperty,some,Property
Vocabulary,hasResult,some,Result
Vocabulary,hasSample,some,Sample
Vocabulary,isActedOnBy,some,Actuator
Vocabulary,isHostedBy,some,Platform
Vocabulary,isProxyFor,some,System
Vocabulary,isResultOf,some,Observation
Vocabulary,madeObservation,some,Observation
Vocabulary,observes,some,ObservableProperty
Vocabulary,usedProcedure,some,Procedure
