subject,predicate,rtype,object
Animal,eaten-by,some,Carnivore
Animal,eats,some,Carnivore
Animal,has-part,some,Carnivore
AnimalCollective,has-member,only,Animal
Apple,eaten-by,some,Animal
Bask,has-member,some,Animal
Berry,eaten-by,some,Animal
Branch,has-part,some,FruitingBody
Branch,has-part,some,Leaf
Carnivore,eats,only,Animal
CarnivorousPlant,eats,only,Animal
Carrot,eaten-by,some,Herbivore
Carrot,eaten-by,some,Animal
Cloud,has-member,some,Animal
Colony,has-member,some,Animal
Colony,has-member,only,Animal
Den, inhabits, some, Animal
Den, has-member, some, Animal
Distribution,inhabits,some,Habitat
Distribution,inhabits,only,Habitat
Distribution,has-member,some,Habitat
Elephant,eats,some,Herbivore
Elephant,eats,only,Herbivore
Flight,has-member,some,Animal
FruitingBody,has-part,some,PlantParts
Giraffe,eats,some,Leaf
Giraffe,eats,some,Twig
Giraffe,inhabits,some,Habitat
Giraffe,is-proper-part-of,some,Animal
Grass,eaten-by,some,Herbivore
Habitat,has-member,some,Animal
Habitat,has-member,some,Plant
Habitat,has-part,some,PlantParts
Habitat,inhabits,some,Animal
Habitat,inhabits,some,Plant
Herbivore,eats,only,Plant
Herd,has-member,some,Elephant
HypoCarnivores,eats,some,Carnivore
HypoCarnivores,eats,some,Plant
HypoCarnivores,is-part-of,only,Animal
Impala,eats,only,Grass
Impala,is-part-of,some,Herd
Kettle,has-member,some,Animal
Kettle,has-member,only,Animal
Leaf,has-part,some,PlantParts
Leaf,is-proper-part-of,only,PlantParts
Lion,eats,some,Herbivore
Lion,eats,only,Carnivore
Lion,eats,some,Animal
MesoCarnivore,eaten-by,some,Predator
MesoCarnivore,eats,some,Animal
Nest,has-part,some,PlantParts
Nest,has-part,only,PlantParts
ObligateCarnivore,eats,only,Animal
Omnivore,eats,some,Animal
Omnivore,eats,some,Plant
Omnivore,eats,some,Thing
Palm,has-part,some,PlantParts
Palm,has-part,only,PlantParts
Palmtree,has-part,some,PlantParts
Palmtree,has-part,only,PlantParts
Parsnip,has-part,some,Root
Phloem,has-part,some,PlantParts
Phloem,is-part-of,only,Stem
Plant,has-part,some,PlantParts
Plant,has-part,only,PlantParts
PlantParts,is-part-of,some,Plant
PlantParts,is-part-of,only,Plant
Predator,eaten-by,some,Animal
Predator,eats,some,Animal
Predator,eats,only,Animal
Prey,eaten-by,some,Predator
Rhumba,has-member,some,Animal
RockDassie,eats,some,Tasty-plant
RockDassie,eats,some,Plant
Role,eaten-by,some,Animal
Role,eats,some,Animal
Role,has-member,some,AnimalCollective
Role,is-part-of,some,Habitat
Root,has-part,some,PlantParts
Root,has-part,only,PlantParts
Scourge,has-member,some,Animal
Stem,has-part,some,PlantParts
Stem,has-part,only,PlantParts
Swarm,has-member,some,Animal
Tasty-plant,eaten-by,some,Animal
Thing,has-member,some,Thing
Thing,has-part,some,Thing
Thing,inhabits,some,Habitat
Thing,inheres-in,some,Thing
Thing,is-part-of,some,Thing
Tree,has-part,some,PlantParts
Tree,has-part,only,PlantParts
Troop,has-member,some,Animal
Twig,has-part,some,Branch
Twig,has-part,only,Branch
Warthog,eats,some,Omnivore
Warthog,eats,some,Animal
Warthog,inhabits,some,Habitat
Warthog,is-part-of,some,AnimalCollective
Xylem,has-part,some,PlantParts
Zeal,has-member,some,Animal
DeprecatedClass,has-part,some,DeprecatedClass
DeprecatedClass,has-part,only,DeprecatedClass
