subject,predicate,rtype,object
American,hasBase,some,PizzaBase
American,hasIngredient,some,MozzarellaTopping
American,hasIngredient,some,PeperoniSausageTopping
American,hasIngredient,some,TomatoTopping
American,hasTopping,some,MozzarellaTopping
American,hasTopping,some,PeperoniSausageTopping
American,hasTopping,some,TomatoTopping
American,hasTopping,some,VegetableTopping
AmericanHot,hasBase,some,PizzaBase
AmericanHot,hasCountryOfOrigin,exactly 1,American
AmericanHot,hasSpiciness,exactly 1,Hot
AmericanHot,hasTopping,some,MeatTopping
AmericanHot,hasTopping,some,VegetableTopping
AnchoviesTopping,hasSpiciness,some,Mild
AnchoviesTopping,hasSpiciness,only,Mild
ArtichokeTopping,hasSpiciness,some,Mild
ArtichokeTopping,hasTopping,some,VegetableTopping
ArtichokeTopping,hasTopping,only,VegetableTopping
ArtichokeTopping,hasTopping,some,PizzaTopping
AsparagusTopping,hasIngredient,some,Food
AsparagusTopping,hasSpiciness,some,Mild
AsparagusTopping,hasTopping,some,VegetableTopping
AsparagusTopping,hasTopping,only,VegetableTopping
Cajun,hasBase,some,TomatoTopping
Cajun,hasSpiciness,some,Hot
Cajun,hasTopping,some,OnionTopping
Cajun,hasTopping,some,PeperonataTopping
Cajun,hasTopping,some,PrawnsTopping
Cajun,hasTopping,some,SauceTopping
CajunSpiceTopping,hasSpiciness,some,Hot
CajunSpiceTopping,isToppingOf,some,Cajun
CaperTopping,hasTopping,some,VegetableTopping
CaperTopping,hasTopping,only,VegetableTopping
Capricciosa,hasBase,exactly 1,PizzaBase
Capricciosa,hasIngredient,some,CheeseTopping
Capricciosa,hasIngredient,some,FishTopping
Capricciosa,hasTopping,some,CheeseTopping
Capricciosa,hasTopping,some,FishTopping
Capricciosa,hasTopping,some,VegetableTopping
Caprina,hasBase,some,PizzaBase
Caprina,hasTopping,some,CheeseTopping
Caprina,hasTopping,some,TomatoTopping
CheeseTopping,hasSpiciness,some,Mild
CheeseTopping,isToppingOf,some,NamedPizza
CheeseyVegetableTopping,hasIngredient,some,CheeseTopping
CheeseyVegetableTopping,hasIngredient,some,VegetableTopping
CheeseyVegetableTopping,hasSpiciness,some,Spiciness
CheeseyVegetableTopping,isToppingOf,some,NamedPizza
ChickenTopping,hasSpiciness,some,Mild
ChickenTopping,hasTopping,some,MeatTopping
ChickenTopping,hasTopping,only,MeatTopping
ChickenTopping,hasTopping,some,PizzaTopping
DeepPanBase,hasTopping,some,PizzaTopping
DeepPanBase,hasIngredient,some,PizzaTopping
DomainConcept,hasBase,some,PizzaBase
DomainConcept,hasIngredient,some,Food
DomainConcept,hasSpiciness,some,Spiciness
DomainConcept,hasTopping,some,PizzaTopping
Fiorentina,hasBase,some,PizzaBase
Fiorentina,hasIngredient,some,Food
Fiorentina,hasTopping,some,PizzaTopping
Food,hasBase,some,PizzaBase
