subject,predicate,rtype,object
ActuatableProperty,actsOnProperty,some,Property
Actuation,actsOnProperty,some,ActuatableProperty
Actuation,hasProperty,some,ActuatableProperty
Actuation,hasFeatureOfInterest,some,FeatureOfInterest
Actuation,hasResult,some,Result
Actuation,usedProcedure,some,Procedure
Actuator,actsOnProperty,some,ActuatableProperty
Actuator,hasProperty,some,ActuatableProperty
Actuator,hasResult,some,Result
Agent,actsOnProperty,some,Property
Agent,hasProperty,some,Property
Agent,deployedOnPlatform,some,Platform
Agent,hasFeatureOfInterest,some,FeatureOfInterest
Agent,hasInput,some,Input
Agent,hasOutput,some,Output
Agent,hasResult,some,Result
Agent,hasSubSystem,some,System
Agent,implementedBy,some,System
Agent,isActedOnBy,some,Actuator
Agent,isProxyFor,some,System
Agent,madeActuation,some,Actuation
Agent,madeObservation,some,Observation
Agent,observes,some,Observation
Agent,madeSampling,some,Sampling
Agent,observes,some,ObservableProperty
Deployment,actsOnProperty,some,Property
Deployment,hasProperty,some,Property
Deployment,deployedOnPlatform,some,Platform
Deployment,hasFeatureOfInterest,some,FeatureOfInterest
Deployment,hosts,some,System
FeatureOfInterest,hasSample,only,Sample
FeatureOfInterest,hasProperty,some,Property
FeatureOfInterest,hasResult,only,Sample
ObservableProperty,hasFeatureOfInterest,some,FeatureOfInterest
ObservableProperty,hasResult,some,Result
ObservableProperty,observes,some,Sensor
ObservableProperty,observes,only,Sensor
ObservableProperty,hasResult,only,Result
Observation,hasFeatureOfInterest,some,FeatureOfInterest
Observation,hasResult,some,Result
Observation,madeBySensor,some,Sensor
Observation,observes,some,ObservableProperty
Output,hasInput,some,Input
Output,hasResult,some,Result
Output,isResultOf,some,Procedure
Platform,hasDeployment,some,Deployment
Platform,hosts,only,System
Platform,hasSubSystem,some,System
Procedure,hasInput,some,Input
Procedure,hasOutput,some,Output
Procedure,implementedBy,some,System
Procedure,hasSubSystem,some,System
Property,hasFeatureOfInterest,some,FeatureOfInterest
Property,hasResult,some,Result
Property,isPropertyOf,some,Thing
Property,isProxyFor,some,Thing
Result,hasFeatureOfInterest,some,FeatureOfInterest
Result,isResultOf,some,Observation
Result,observedProperty,some,ObservableProperty
Result,hasProperty,some,ObservableProperty
Sample,actsOnProperty,some,Property
Sample,hasProperty,some,Property
Sample,forProperty,some,Property
Sample,hasFeatureOfInterest,some,FeatureOfInterest
Sample,hasInput,some,Input
Sample,hasOutput,some,Output
Sample,hasResult,some,Result
Sample,isObservedBy,some,Sensor
Sample,isResultOf,some,Sampling
Sample,madeBySampler,some,Sampler
Sample,madeByActuator,some,Actuator
Sample,madeBySensor,some,Sensor
Sample,madeObservation,some,Observation
Sample,observes,some,Observation
Sample,isSampleOf,some,FeatureOfInterest
Sample,isProxyFor,some,FeatureOfInterest
Sample,madeSampling,some,Thing
Sample,madeActuation,some,Thing
Sample,madeObservation,some,Thing
Sample,hasSubSystem,some,Thing
Sample,isActedOnBy,some,Actuator
Sampler,hasFeatureOfInterest,some,FeatureOfInterest
Sampler,hasResult,some,Result
Sampler,madeSampling,some,Sampling
Sampler,usedProcedure,some,Procedure
Sampling,hasResult,some,Sample
Sampling,hasFeatureOfInterest,some,Sample
Sampling,madeBySampler,only,Sampler
Sampling,usedProcedure,only,Procedure
Sensor,hasFeatureOfInterest,some,FeatureOfInterest
Sensor,observes,some,ObservableProperty
Sensor,hasFeatureOfInterest,only,FeatureOfInterest
Sensor,observes,only,ObservableProperty
Stimulus,hasFeatureOfInterest,some,FeatureOfInterest
Stimulus,hasResult,some,Result
Stimulus,observes,some,Observation
System,hasDeployment,some,Deployment
System,hasSubSystem,some,System
System,implements,some,Procedure
TemporalEntity,actsOnProperty,some,Property
TemporalEntity,hasProperty,some,Property
TemporalEntity,hasFeatureOfInterest,some,FeatureOfInterest
TemporalEntity,hasResult,some,Result
TemporalEntity,hasSample,some,Sample
TemporalEntity,isActedOnBy,some,System
TemporalEntity,isObservedBy,some,System
TemporalEntity,madeBySampler,some,Sampler
TemporalEntity,madeBySensor,some,Sensor
TemporalEntity,madeObservation,some,Observation
TemporalEntity,observes,some,Observation
TemporalEntity,phenomenonTime,some,TemporalEntity
Thing,hasFeatureOfInterest,some,FeatureOfInterest
Thing,hasProperty,some,Property
Thing,hasResult,some,Result
Thing,hasSubSystem,some,System
Thing,isActedOnBy,some,Actuator
Thing,isProxyFor,some,Thing
Thing,isResultOf,some,Procedure
Thing,observes,some,Observation
Thing,usedProcedure,some,Procedure
Vocabulary,deployedOnPlatform,some,Platform
Vocabulary,hasFeatureOfInterest,some,FeatureOfInterest
Vocabulary,hasInput,some,Input
Vocabulary,hasOutput,some,Output
Vocabulary,hasProperty,some,Property
Vocabulary,hasResult,some,Result
Vocabulary,hasSample,some,Sample
Vocabulary,isActedOnBy,some,Actuator
Vocabulary,isHostedBy,some,Platform
Vocabulary,isProxyFor,some,System
Vocabulary,isResultOf,some,Observation
Vocabulary,madeObservation,some,Observation
Vocabulary,observes,some,ObservableProperty
Vocabulary,usedProcedure,some,Procedure
