,subject,predicate,rtype,object
0,Animal,inhabits,some,Habitat
1,Plant,has-part,some,PlantParts
2,PlantParts,is-part-of,some,Plant
3,Distribution,has-part,some,Habitat
4,Habitat,has-member,some,Animal
5,Habitat,has-member,some,Plant
6,AnimalCollective,has-member,only,Animal
7,Role,inheres-in,some,Animal
8,Carnivore,eats,only,Animal
9,Herbivore,eats,only,Plant
10,Omnivore,eats,some,Animal
11,Omnivore,eats,some,Plant
12,Omnivore,inhabits,some,Habitat
13,Giraffe,eats,some,Leaf
14,Giraffe,eats,some,Twig
15,Giraffe,inhabits,some,Habitat
16,Lion,eats,some,Herbivore
17,RockDassie,eats,some,Grass
18,RockDassie,eats,some,Leaf
19,RockDassie,inhabits,some,Habitat
20,Warthog,eats,some,Animal
21,Warthog,eats,some,FruitingBody
22,Warthog,eats,some,Grass
23,Warthog,eats,some,Root
24,Warthog,inhabits,some,Habitat
25,Tree,has-part,some,Stem
26,Tree,has-part,some,Branch
27,Tree,has-part,some,Leaf
28,CarnivorousPlant,eats,some,Animal
29,Grass,has-part,some,Leaf
30,Grass,has-part,some,Stem
31,Grass,eaten-by,some,Herbivore
32,Grass,inhabits,some,Habitat
33,Tasty-plant,eaten-by,some,Animal
34,Palm,eaten-by,some,Animal
35,Palm,has-part,some,Leaf
36,Palm,has-part,some,Stem
37,FruitingBody,is-part-of,some,Plant
38,Branch,is-proper-part-of,some,Tree
39,Leaf,is-proper-part-of,some,Branch
40,Leaf,is-part-of,some,somePlant
41,Twig,is-proper-part-of,some,Tree
42,Twig,has-part,some,Leaf
43,Twig,is-part-of,some,Plant
44,Root,is-part-of,only,Plant
45,Phloem,is-part-of,some,Stem
46,Stem,is-proper-part-of,some,Plant
47,Xylem,is-proper-part-of,some,Stem
48,Xylem,is-part-of,some,Plant
49,Palmtree,has-part,some,Leaf
50,Palmtree,inhabits,some,Habitat
51,Bask,has-member,only,Animal
52,Cloud,has-member,some,Animal
53,Colony,has-member,some,Animal
54,Colony,inhabits,some,Habitat
55,Den,has-member,some,Animal
56,Flight,has-member,some,Animal
57,Herd,has-member,some,Elephant
58,Kettle,has-member,some,Animal
59,Nest,has-part,some,Twig
60,Nest,has-part,some,Leaf
61,Nest,inhabits,some,Habitat
62,Rhumba,has-member,some,Animal
63,Scourge,has-member,only,Animal
64,Swarm,has-member,some,Animal
65,Troop,has-member,some,Animal
66,Zeal,has-member,some,Animal
67,Predator,eats,some,Prey
68,Prey,eaten-by,some,Predator
69,HypoCarnivores,eats,some,Animal
70,HypoCarnivores,eats,some,Plant
71,MesoCarnivore,eats,some,Animal
72,MesoCarnivore,eats,some,Plant
73,ObligateCarnivore,eats,only,Animal
74,Elephant,inhabits,some,Habitat
75,Impala,eats,some,Grass
76,Impala,eats,some,Leaf
77,Impala,eaten-by,some,Carnivore
78,Impala,inhabits,some,Habitat
79,Apple,eaten-by,some,Animal
80,Berry,eaten-by,some,Animal
81,Parsnip,inhabits,some,Habitat
82,Carrot,has-part,some,Root
83,Carrot,eaten-by,some,Animal
