subject,predicate,rtype,object
Apple,eaten-by,some,Animal
Bask,has-member,only,Animal
Berry,eaten-by,some,Animal
Branch,is-part-of,some,Tree
Branch,is-proper-part-of,some,Tree
Carnivore,eats,only,Animal
CarnivorousPlant,eats,some,Animal
Carrot,eaten-by,some,Animal
Carrot,has-part,only,Root
Cloud,has-member,some,Animal
Colony,has-member,only,Animal
Colony,has-member,some,Animal
Colony,inhabits,only,Habitat
Colony,inhabits,some,Habitat
Den,has-member,some,Animal
Elephant,inhabits,some,Habitat
Flight,has-member,some,Animal
FruitingBody,is-part-of,some,Plant
Giraffe,eats,only,Twig
Giraffe,eats,some,Leaf
Giraffe,inhabits,only,Habitat
Grass,eaten-by,some,Herbivore
Grass,has-part,some,Leaf
Grass,has-part,some,Stem
Grass,inhabits,only,Habitat
Herbivore,eats,only,Plant
Herd,has-member,some,Elephant
HypoCarnivores,eats,only,Animal
HypoCarnivores,eats,some,Animal
HypoCarnivores,eats,some,Plant
Impala,eaten-by,only,Carnivore
Impala,eaten-by,some,Carnivore
Impala,eats,some,Grass
Impala,inhabits,only,Habitat
Kettle,has-member,some,Animal
Leaf,is-part-of,some,Plant
Leaf,is-proper-part-of,some,Branch
Lion,eats,some,Animal
MesoCarnivore,eats,some,Animal
MesoCarnivore,eats,some,Plant
Nest,has-part,some,Leaf
Nest,has-part,some,Twig
Nest,inhabits,some,Habitat
ObligateCarnivore,eats,only,Animal
ObligateCarnivore,eats,some,Animal
Omnivore,eats,only,Plant
Omnivore,eats,some,Animal
Omnivore,eats,some,Plant
Omnivore,inhabits,some,Habitat
Palm,eaten-by,some,Animal
Palm,has-part,only,Leaf
Palm,has-part,some,Stem
Palmtree,has-part,some,Leaf
Palmtree,inhabits,only,Habitat
Parsnip,inhabits,only,Habitat
Phloem,is-part-of,some,Stem
Predator,eats,some,Prey
Prey,eaten-by,some,Predator
Rhumba,has-member,only,Animal
Rhumba,has-member,some,Animal
RockDassie,eats,only,Leaf
RockDassie,eats,some,Grass
RockDassie,inhabits,only,Habitat
Root,is-part-of,only,Plant
Root,is-part-of,some,Plant
Scourge,has-member,only,Animal
Scourge,has-member,some,Animal
Stem,is-part-of,some,Plant
Stem,is-proper-part-of,some,Plant
Swarm,has-member,some,Animal
Tasty-plant,eaten-by,some,Animal
Tree,has-part,some,Branch
Tree,has-part,some,Leaf
Tree,has-part,some,Stem
Troop,has-member,some,Animal
Twig,has-part,some,Leaf
Twig,is-part-of,some,Plant
Twig,is-proper-part-of,some,Tree
Warthog,eats,only,FruitingBody
Warthog,eats,some,Animal
Warthog,eats,some,Grass
Warthog,eats,some,Root
Warthog,inhabits,some,Habitat
Xylem,is-part-of,some,Plant
Xylem,is-proper-part-of,some,Stem
Zeal,has-member,only,Animal
Zeal,has-member,some,Animal
Distribution,has-part,some,Habitat
Animal,inhabits,some,Habitat
Habitat,has-member,some,Plant
Role,inheres-in,some,Animal
Plant,has-part,some,PlantParts
AnimalCollective,has-member,only,Animal
PlantParts,is-part-of,some,Plant
