,subject,predicate,rtype,object
0,Thing,hasBase,some,PizzaBase
1,Thing,hasTopping,some,PizzaTopping
2,Rosa,hasTopping,some,GorgonzolaTopping
3,Rosa,hasTopping,some,MozzarellaTopping
4,Rosa,hasTopping,some,TomatoTopping
5,Rosa,hasBase,some,PizzaBase
6,Capricciosa,hasBase,some,PizzaBase
7,Capricciosa,hasTopping,some,AnchoviesTopping
8,Capricciosa,hasTopping,some,CaperTopping
9,Capricciosa,hasTopping,some,HamTopping
10,Capricciosa,hasTopping,some,MozzarellaTopping
11,Capricciosa,hasTopping,some,OliveTopping
12,Capricciosa,hasTopping,some,PeperonataTopping
13,Capricciosa,hasTopping,some,TomatoTopping
14,Hot,hasSpiciness,some,Hot
15,ParmesanTopping,hasSpiciness,only,Mild
16,FourSeasons,hasBase,some,PizzaBase
17,FourSeasons,hasTopping,some,AnchoviesTopping
18,FourSeasons,hasTopping,some,CaperTopping
19,FourSeasons,hasTopping,some,MozzarellaTopping
20,FourSeasons,hasTopping,some,MushroomTopping
21,FourSeasons,hasTopping,some,OliveTopping
22,FourSeasons,hasTopping,some,PeperoniSausageTopping
23,FourSeasons,hasTopping,some,TomatoTopping
24,ValuePartition,hasSpiciness,some,Spiciness
25,PrinceCarlo,hasBase,some,PizzaBase
26,PrinceCarlo,hasTopping,some,LeekTopping
27,PrinceCarlo,hasTopping,some,MozzarellaTopping
28,PrinceCarlo,hasTopping,some,ParmesanTopping
29,PrinceCarlo,hasTopping,some,RosemaryTopping
30,PrinceCarlo,hasTopping,some,TomatoTopping
31,HamTopping,isToppingOf,some,Pizza
32,HamTopping,hasSpiciness,value,Mild
33,PizzaTopping,isToppingOf,some,Pizza
34,Pizza,hasSpiciness,only,Spiciness
35,RedOnionTopping,hasSpiciness,only,Medium
36,SpicyPizzaEquivalent,hasTopping,some,HerbSpiceTopping
37,SpicyPizzaEquivalent,hasSpiciness,some,Hot
38,LeekTopping,hasSpiciness,some,Mild
39,LeekTopping,isToppingOf,some,Pizza
40,RocketTopping,hasSpiciness,exactly,Medium
41,RocketTopping,isToppingOf,some,Pizza
42,AsparagusTopping,hasSpiciness,some,Mild
43,AsparagusTopping,isToppingOf,some,Pizza
44,NutTopping,hasSpiciness,some,Mild
45,NutTopping,hasIngredient,some,PineKernels
46,NutTopping,isToppingOf,some,Pizza
47,Margherita,hasTopping,some,TomatoTopping
48,DomainConcept,hasCountryOfOrigin,some,Country
49,Soho,hasBase,some,PizzaBase
50,Soho,hasTopping,some,GarlicTopping
51,Soho,hasTopping,some,MozzarellaTopping
52,Soho,hasTopping,some,OliveTopping
53,Soho,hasTopping,some,ParmesanTopping
54,Soho,hasTopping,some,RocketTopping
55,Soho,hasTopping,some,TomatoTopping
56,SpicyTopping,hasSpiciness,some,Hot
57,FishTopping,hasSpiciness,only,Mild
58,FishTopping,hasIngredient,some,MixedSeafoodTopping
59,SauceTopping,isToppingOf,some,Pizza
60,SauceTopping,hasSpiciness,some,Spiciness
61,JalapenoPepperTopping,hasSpiciness,some,Hot
62,SultanaTopping,hasSpiciness,some,Medium
63,AnchoviesTopping,hasSpiciness,some,Mild
64,AnchoviesTopping,isToppingOf,some,Pizza
65,SlicedTomatoTopping,hasSpiciness,some,Mild
66,SlicedTomatoTopping,isToppingOf,some,Pizza
67,Napoletana,hasCountryOfOrigin,value,Italy
68,Napoletana,hasBase,some,PizzaBase
69,Napoletana,hasTopping,some,AnchoviesTopping
70,Napoletana,hasTopping,some,CaperTopping
71,Napoletana,hasTopping,some,MozzarellaTopping
72,Napoletana,hasTopping,some,OliveTopping
73,Napoletana,hasTopping,some,TomatoTopping
74,Mushroom,hasBase,some,PizzaBase
75,Mushroom,hasTopping,some,MozzarellaTopping
76,Mushroom,hasTopping,some,MushroomTopping
77,Mushroom,hasTopping,some,TomatoTopping
78,MeatyPizza,hasTopping,some,MeatTopping
79,MeatTopping,isToppingOf,some,Pizza
80,MixedSeafoodTopping,hasSpiciness,only,Mild
81,MixedSeafoodTopping,isToppingOf,some,Pizza
82,InterestingPizza,hasTopping,min,"3, PizzaTopping"
83,CheeseyVegetableTopping,hasIngredient,some,CheeseTopping
84,CheeseyVegetableTopping,hasIngredient,some,VegetableTopping
85,PineKernels,hasSpiciness,some,Mild
86,PineKernels,isToppingOf,some,Pizza
87,RealItalianPizza,hasBase,some,ThinAndCrispyBase
88,RealItalianPizza,hasCountryOfOrigin,some,Country
89,CheeseTopping,isToppingOf,some,Pizza
90,VegetableTopping,isToppingOf,some,Pizza
91,NamedPizza,hasBase,some,PizzaBase
92,FruttiDiMare,hasBase,some,PizzaBase
93,FruttiDiMare,hasTopping,some,GarlicTopping
94,FruttiDiMare,hasTopping,some,TomatoTopping
95,FruttiDiMare,hasTopping,some,MixedSeafoodTopping
96,Cajun,hasTopping,some,MozzarellaTopping
97,Cajun,hasTopping,some,OnionTopping
98,Cajun,hasTopping,some,PeperonataTopping
99,Cajun,hasTopping,some,PrawnsTopping
100,Cajun,hasTopping,some,TobascoPepperSauce
101,Cajun,hasIngredient,some,TomatoTopping
102,Cajun,hasSpiciness,some,Medium
103,GorgonzolaTopping,hasSpiciness,some,Mild
104,GorgonzolaTopping,isToppingOf,some,Pizza
105,PetitPoisTopping,hasSpiciness,some,Mild
106,PetitPoisTopping,isToppingOf,some,Pizza
107,ParmaHamTopping,hasSpiciness,hasValue,Mild
108,ParmaHamTopping,isToppingOf,hasValue,Pizza
109,PepperTopping,isToppingOf,some,Pizza
110,PepperTopping,hasSpiciness,some,Mild
111,PrawnsTopping,hasSpiciness,some,Mild
112,PrawnsTopping,isToppingOf,some,Pizza
113,SloppyGiuseppe,hasBase,some,PizzaBase
114,SloppyGiuseppe,hasTopping,some,GreenPepperTopping
115,SloppyGiuseppe,hasTopping,some,HotSpicedBeefTopping
116,SloppyGiuseppe,hasTopping,some,MozzarellaTopping
117,SloppyGiuseppe,hasTopping,some,OnionTopping
118,SloppyGiuseppe,hasTopping,some,TomatoTopping
119,ChickenTopping,hasSpiciness,some,Mild
120,ChickenTopping,isToppingOf,some,Pizza
121,MozzarellaTopping,hasSpiciness,some,Mild
122,MozzarellaTopping,isToppingOf,some,Pizza
123,MozzarellaTopping,hasCountryOfOrigin,some,Country
124,Fiorentina,hasBase,some,PizzaBase
125,Fiorentina,hasTopping,some,GarlicTopping
126,Fiorentina,hasTopping,some,MozzarellaTopping
127,Fiorentina,hasTopping,some,OliveTopping
128,Fiorentina,hasTopping,some,ParmesanTopping
129,Fiorentina,hasTopping,some,SpinachTopping
130,Fiorentina,hasTopping,some,TomatoTopping
131,SpinachTopping,hasSpiciness,some,Mild
132,SpinachTopping,isToppingOf,some,Pizza
133,FruitTopping,isToppingOf,some,Pizza
134,OliveTopping,hasSpiciness,hasValue,Mild
135,CaperTopping,hasSpiciness,some,Mild
136,CaperTopping,isToppingOf,some,Pizza
137,HerbSpiceTopping,isToppingOf,some,Pizza
138,PeperonataTopping,hasSpiciness,some,Medium
139,PeperonataTopping,isToppingOf,some,Pizza
140,GoatsCheeseTopping,hasSpiciness,some,Mild
141,HotGreenPepperTopping,hasSpiciness,hasValue,Hot
142,HotGreenPepperTopping,isToppingOf,some,Pizza
143,Veneziana,hasBase,some,PizzaBase
144,Veneziana,hasCountryOfOrigin,some,Country
145,Veneziana,hasTopping,some,CaperTopping
146,Veneziana,hasTopping,some,MozzarellaTopping
147,Veneziana,hasTopping,some,OliveTopping
148,Veneziana,hasTopping,some,OnionTopping
149,Veneziana,hasTopping,some,PineKernels
150,Veneziana,hasTopping,some,SultanaTopping
151,Veneziana,hasTopping,some,TomatoTopping
152,SpicyPizza,hasSpiciness,some,Hot
153,SpicyPizza,hasTopping,some,PepperTopping
154,SpicyPizza,hasTopping,some,SauceTopping
155,LaReine,hasBase,some,PizzaBase
156,LaReine,hasTopping,some,HamTopping
157,LaReine,hasTopping,some,MozzarellaTopping
158,LaReine,hasTopping,some,MushroomTopping
159,LaReine,hasTopping,some,OliveTopping
160,LaReine,hasTopping,some,TomatoTopping
161,QuattroFormaggi,hasTopping,only,CheeseTopping
162,QuattroFormaggi,hasBase,some,PizzaBase
163,RosemaryTopping,hasSpiciness,hasValue,Mild
164,ThinAndCrispyPizza,hasBase,some,ThinAndCrispyBase
165,SundriedTomatoTopping,hasSpiciness,exactly,Mild
166,OnionTopping,hasSpiciness,hasValue,Medium
167,OnionTopping,isToppingOf,some,Pizza
168,PolloAdAstra,hasTopping,some,ChickenTopping
169,PolloAdAstra,hasTopping,some,CajunSpiceTopping
170,PolloAdAstra,hasTopping,some,GarlicTopping
171,PolloAdAstra,hasTopping,some,MozzarellaTopping
172,PolloAdAstra,hasTopping,some,RedOnionTopping
173,PolloAdAstra,hasTopping,some,SweetPepperTopping
174,PolloAdAstra,hasTopping,some,SlicedTomatoTopping
175,PolloAdAstra,hasBase,some,PizzaBase
176,PolloAdAstra,hasSpiciness,some,Hot
177,Pizza,hasBase,some,PizzaBase
178,Pizza,hasTopping,some,PizzaTopping
179,Giardiniera,hasBase,some,PizzaBase
180,Giardiniera,hasTopping,some,LeekTopping
181,Giardiniera,hasTopping,some,MozzarellaTopping
182,Giardiniera,hasTopping,some,MushroomTopping
183,Giardiniera,hasTopping,some,OliveTopping
184,Giardiniera,hasTopping,some,PeperonataTopping
185,Giardiniera,hasTopping,some,PetitPoisTopping
186,Giardiniera,hasTopping,some,SlicedTomatoTopping
187,PeperoniSausageTopping,hasSpiciness,some,Medium
188,PeperoniSausageTopping,isToppingOf,some,Pizza
189,Food,hasCountryOfOrigin,only,Country
190,Food,hasSpiciness,only,Spiciness
191,Food,hasIngredient,only,Food
192,UnclosedPizza,hasBase,some,PizzaBase
193,UnclosedPizza,hasIngredient,some,MozzarellaTopping
194,CheeseyPizza,hasTopping,some,CheeseTopping
195,Parmense,hasBase,some,PizzaBase
196,Parmense,hasTopping,some,AsparagusTopping
197,Parmense,hasTopping,some,HamTopping
198,Parmense,hasTopping,some,MozzarellaTopping
199,Parmense,hasTopping,some,ParmesanTopping
200,Parmense,hasTopping,some,TomatoTopping
201,Caprina,hasBase,some,PizzaBase
202,Caprina,hasTopping,some,GoatsCheeseTopping
203,Caprina,hasTopping,some,MozzarellaTopping
204,Caprina,hasTopping,some,SundriedTomatoTopping
205,Caprina,hasTopping,some,SauceTopping
206,PizzaBase,isBaseOf,some,Pizza
207,AmericanHot,hasBase,some,PizzaBase
208,AmericanHot,hasCountryOfOrigin,some,Country
209,AmericanHot,hasSpiciness,some,Hot
210,AmericanHot,hasTopping,some,HotGreenPepperTopping
211,AmericanHot,hasTopping,some,JalapenoPepperTopping
212,AmericanHot,hasTopping,some,MozzarellaTopping
213,AmericanHot,hasTopping,some,PeperoniSausageTopping
214,AmericanHot,hasTopping,some,TomatoTopping
215,Country,hasCountryOfOrigin,only,Pizza
216,GarlicTopping,hasSpiciness,only,Medium
217,MushroomTopping,hasSpiciness,value,Mild
218,MushroomTopping,isToppingOf,some,Pizza
219,DeepPanBase,isBaseOf,some,Pizza
220,Margherita,hasBase,some,PizzaBase
221,Margherita,hasTopping,some,MozzarellaTopping
222,Margherita,hasTopping,some,TomatoTopping
223,ThinAndCrispyBase,isBaseOf,only,Pizza
224,FourCheesesTopping,hasSpiciness,some,Mild
225,FourCheesesTopping,hasIngredient,some,CheeseTopping
226,VegetarianPizzaEquivalent2,hasTopping,only,CheeseTopping ⊔ FruitTopping ⊔ HerbSpiceTopping ⊔ NutTopping ⊔ SauceTopping ⊔ VegetableTopping
227,VegetarianPizzaEquivalent2,hasBase,some,PizzaBase
228,ArtichokeTopping,hasSpiciness,some,Mild
229,ArtichokeTopping,isToppingOf,some,Pizza
230,GreenPepperTopping,isToppingOf,only,Pizza
231,GreenPepperTopping,hasSpiciness,only,Mild
232,American,hasTopping,some,MozzarellaTopping
233,American,hasTopping,some,PeperoniSausageTopping
234,American,hasTopping,some,TomatoTopping
235,American,hasBase,some,PizzaBase
236,American,hasCountryOfOrigin,some,Country
237,IceCream,hasTopping,some,FruitTopping
238,VegetarianTopping,hasIngredient,only,"{CheeseTopping, FruitTopping, HerbSpiceTopping, NutTopping, SauceTopping, VegetableTopping}"
239,NonVegetarianPizza,hasTopping,some,MeatTopping
240,Pizza,hasSpiciness,some,Medium
241,VegetarianPizzaEquivalent1,hasTopping,only,VegetableTopping or HerbSpiceTopping
242,HotSpicedBeefTopping,hasSpiciness,some,Hot
243,HotSpicedBeefTopping,isToppingOf,some,Pizza
244,TobascoPepperSauce,hasSpiciness,some,Hot
245,TobascoPepperSauce,isToppingOf,some,Pizza
246,CajunSpiceTopping,hasSpiciness,some,Hot
247,CajunSpiceTopping,isToppingOf,some,Pizza
248,VegetarianPizza,hasTopping,only,VegetableTopping
249,Siciliana,hasBase,some,PizzaBase
250,Siciliana,hasTopping,some,AnchoviesTopping
251,Siciliana,hasTopping,some,ArtichokeTopping
252,Siciliana,hasTopping,some,GarlicTopping
253,Siciliana,hasTopping,some,HamTopping
254,Siciliana,hasTopping,some,MozzarellaTopping
255,Siciliana,hasTopping,some,OliveTopping
256,Siciliana,hasTopping,some,TomatoTopping
257,TomatoTopping,hasSpiciness,some,Mild
258,Mild,hasSpiciness,hasValue,Mild
259,SweetPepperTopping,hasSpiciness,only,Mild
