subject,predicate,rtype,object
American,hasBase,some,PizzaBase
American,hasTopping,some,MozzarellaTopping
American,hasTopping,some,PeperoniSausageTopping
American,hasTopping,some,TomatoTopping
AmericanHot,hasBase,some,PizzaBase
AmericanHot,hasCountryOfOrigin,only,American
AmericanHot,hasSpiciness,exactly 1,Hot
AmericanHot,hasTopping,some,MeatTopping
AmericanHot,hasTopping,some,VegetableTopping
AmericanHot,hasTopping,some,CheeseTopping
AnchoviesTopping,hasSpiciness,some,Mild
ArtichokeTopping,hasSpiciness,some,Mild
AsparagusTopping,hasIngredient,some,Food
AsparagusTopping,hasSpiciness,some,Mild
Cajun,hasBase,some,ThinAndCrispyBase
Cajun,hasSpiciness,some,Hot
Cajun,hasTopping,some,MozzarellaTopping
Cajun,hasTopping,some,OnionTopping
Cajun,hasTopping,some,PeperonataTopping
Cajun,hasTopping,some,PrawnsTopping
Cajun,hasTopping,some,SauceTopping
CajunSpiceTopping,hasSpiciness,some,Hot
CaperTopping,subClassOf,none,VegetableTopping
CaperTopping,hasSpiciness,some,Mild
Capricciosa,hasBase,exactly,PizzaBase
Capricciosa,hasTopping,some,CheeseTopping
Capricciosa,hasTopping,some,FishTopping
Capricciosa,hasTopping,some,VegetableTopping
Capricciosa,hasTopping,some,MeatTopping
Caprina,hasBase,some,PizzaBase
Caprina,hasTopping,some,CheeseTopping
Caprina,hasTopping,some,TomatoTopping
Caprina,hasTopping,some,SauceTopping
CheeseyVegetableTopping,hasIngredient,some,CheeseTopping
CheeseyVegetableTopping,hasIngredient,some,VegetableTopping
CheeseyVegetableTopping,hasSpiciness,some,Spiciness
CheeseyVegetableTopping,isToppingOf,some,NamedPizza
ChickenTopping,hasSpiciness,some,Mild
DeepPanBase,hasTopping,some,PizzaTopping
DeepPanBase,hasTopping,only,PizzaTopping
Fiorentina,hasBase,some,PizzaBase
Fiorentina,hasTopping,only,PizzaTopping
Fiorentina,hasTopping,some,PizzaTopping
FourCheesesTopping,hasIngredient,some,CheeseTopping
FourCheesesTopping,hasSpiciness,only,Mild
FourCheesesTopping,isToppingOf,some,Pizza
FourSeasons,hasBase,only,PizzaBase
FourSeasons,hasBase,some,PizzaBase
FourSeasons,hasSpiciness,some,Spiciness
FourSeasons,hasTopping,some,PizzaTopping
FruitTopping,isToppingOf,some,NamedPizza
FruitTopping,isToppingOf,only,NamedPizza
FruttiDiMare,hasBase,some,PizzaBase
FruttiDiMare,hasTopping,some,TomatoTopping
FruttiDiMare,hasTopping,some,GarlicTopping
FruttiDiMare,hasTopping,some,MixedSeafoodTopping
GarlicTopping,hasSpiciness,some,Medium
GarlicTopping,isIngredientOf,some,Pizza
Giardiniera,hasBase,exactly 1,PizzaBase
Giardiniera,hasIngredient,some,Food
Giardiniera,hasSpiciness,some,Spiciness
Giardiniera,hasTopping,some,VegetableTopping
Giardiniera,hasTopping,some,CheeseTopping
GorgonzolaTopping,hasIngredient,some,CheeseTopping
GorgonzolaTopping,hasSpiciness,some,Mild
GorgonzolaTopping,isToppingOf,some,NamedPizza
GreenPepperTopping,hasTopping,some,PepperTopping
HamTopping,isToppingOf,some,NamedPizza
HerbSpiceTopping,hasIngredient,some,Food
HerbSpiceTopping,hasSpiciness,some,Spiciness
Hot,hasSpiciness,some,Spiciness
HotGreenPepperTopping,hasSpiciness,some,Hot
HotGreenPepperTopping,hasTopping,some,GreenPepperTopping
HotSpicedBeefTopping,hasSpiciness,some,Hot
HotSpicedBeefTopping,isToppingOf,some,NamedPizza
IceCream,hasTopping,some,FruitTopping
JalapenoPepperTopping,hasSpiciness,some,Hot
LaReine,hasBase,only,PizzaBase
LaReine,hasIngredient,some,HamTopping
LaReine,hasIngredient,some,TomatoTopping
LaReine,hasTopping,some,CheeseTopping
LaReine,hasTopping,some,VegetableTopping
LeekTopping,hasIngredient,some,VegetableTopping
Margherita,hasBase,some,PizzaBase
Margherita,hasTopping,some,MozzarellaTopping
Margherita,hasTopping,some,TomatoTopping
MeatTopping,hasIngredient,some,(ChickenTopping or HamTopping or HotSpicedBeefTopping or PeperoniSausageTopping)
MeatTopping,hasSpiciness,some,Spiciness
Mild,hasSpiciness,only,Mild
Mild,hasTopping,some,PizzaTopping
MixedSeafoodTopping,hasSpiciness,some,Mild
MixedSeafoodTopping,isToppingOf,some,NamedPizza
