subject,property,type,target
ActuatableProperty,isActedOnBy,only,Actuation
Actuation,actsOnProperty,only,ActuatableProperty
Actuation,hasFeatureOfInterest,only,FeatureOfInterest
Actuation,hasResult,only,Result
Actuation,madeByActuator,only,Actuator
Actuation,usedProcedure,only,Procedure
Actuator,madeActuation,only,Actuation
Actuator,forProperty,only,ActuatableProperty
FeatureOfInterest,hasSample,only,Sample
FeatureOfInterest,hasProperty,only,Property
ObservableProperty,isObservedBy,only,Sensor
Observation,hasFeatureOfInterest,only,FeatureOfInterest
Observation,hasResult,only,Result
Observation,madeBySensor,only,Sensor
Observation,observedProperty,only,ObservableProperty
Observation,usedProcedure,only,Procedure
Observation,wasOriginatedBy,only,Stimulus
Platform,hosts,only,System
Platform,inDeployment,only,Deployment
Procedure,hasInput,only,Input
Procedure,hasOutput,only,Output
Procedure,implementedBy,only,System
Sample,isResultOf,only,Sampling
Sample,isSampleOf,only,FeatureOfInterest
Sampler,madeSampling,only,Sampling
Sampling,hasFeatureOfInterest,only,FeatureOfInterest
Sampling,hasResult,only,Sample
Sampling,madeBySampler,only,Sampler
Sampling,usedProcedure,only,Procedure
Sensor,madeObservation,only,Observation
Sensor,observes,only,ObservableProperty
Sensor,detects,only,Stimulus
Deployment,deployedOnPlatform,only,Platform
Deployment,deployedSystem,only,System
Deployment,forProperty,only,Property
Property,isPropertyOf,only,FeatureOfInterest
Stimulus,isProxyFor,only,ObservableProperty
System,isHostedBy,only,Platform
System,hasDeployment,only,Deployment
System,hasSubSystem,only,System
System,implements,only,Procedure
