,subject,predicate,rtype,object
0,Sensor,detects,some,Stimulus
1,Sensor,observes,some,ObservableProperty
2,Result,isResultOf,some,Observation
3,Result,hasFeatureOfInterest,some,FeatureOfInterest
4,Property,hasFeatureOfInterest,some,FeatureOfInterest
5,Sampling,madeBySampler,some,Sampler
6,Sampling,usedProcedure,some,Procedure
7,Sampling,hasFeatureOfInterest,some,FeatureOfInterest
8,Sampling,hasSample,some,Sample
9,Deployment,forProperty,some,Property
10,Deployment,deployedOnPlatform,some,Platform
11,Deployment,deployedSystem,some,System
12,System,deployedOnPlatform,some,Platform
13,System,hasDeployment,some,Deployment
14,System,hasSubSystem,some,System
15,System,implements,some,Procedure
16,FeatureOfInterest,hasSample,some,Sample
17,FeatureOfInterest,hasProperty,some,Property
18,ObservableProperty,madeBySensor,some,Sensor
19,Output,madeBySensor,some,Sensor
20,Output,madeByActuator,some,Actuator
21,Output,madeBySampler,some,Sampler
22,Sampler,madeSampling,only,Sampling
23,Sampler,hasFeatureOfInterest,only,FeatureOfInterest
24,Actuation,actsOnProperty,some,ActuatableProperty
25,Actuation,hasFeatureOfInterest,some,FeatureOfInterest
26,Actuation,hasResult,some,Result
27,Actuation,usedProcedure,some,Procedure
28,Procedure,hasInput,some,Input
29,Procedure,hasOutput,some,Output
30,Procedure,deployedSystem,some,System
31,Sample,madeSampling,some,Sampling
32,Observation,hasResult,some,Result
33,Observation,madeBySensor,some,Sensor
34,Observation,observedProperty,some,ObservableProperty
35,Observation,usedProcedure,some,Procedure
36,Observation,wasOriginatedBy,some,Stimulus
37,Observation,hasFeatureOfInterest,some,FeatureOfInterest
38,ActuatableProperty,madeActuation,some,Actuation
39,Actuator,actsOnProperty,some,ActuatableProperty
40,Stimulus,actsOnProperty,some,ObservableProperty
41,Platform,hosts,only,System
42,Platform,hasDeployment,some,Deployment
