subject,predicate,rtype,object
Bask,has-member,only,Animal
Berry,eaten-by,some,Animal
Branch,is-proper-part-of,some,Tree
Carnivore,eats,only,Animal
CarnivorousPlant,eats,some,Animal
Cloud,has-member,some,Animal
Colony,has-member,some,Animal
Colony,inhabits,some,Habitat
Flight,has-member,some,Animal
FruitingBody,is-part-of,some,Plant
Grass,has-part,some,Stem
Grass,has-part,some,Leaf
Grass,eaten-by,some,Herbivore
Grass,inhabits,some,Habitat
Herbivore,eats,only,Plant
Herd,has-member,some,Elephant
HypoCarnivores,eats,some,Animal
HypoCarnivores,eats,some,Plant
Kettle,has-member,some,Animal
Leaf,is-part-of,some,Plant
Leaf,is-proper-part-of,some,Branch
MesoCarnivore,eats,some,Animal
MesoCarnivore,eats,some,Plant
ObligateCarnivore,eats,only,Animal
Omnivore,eats,some,Animal
Omnivore,eats,some,Plant
Omnivore,inhabits,some,Habitat
Palm,eaten-by,some,Animal
Palm,has-part,some,Stem
Phloem,is-part-of,some,Stem
Predator,eats,some,Prey
Prey,eaten-by,some,Predator
Rhumba,has-member,some,Animal
Root,is-part-of,only,Plant
Scourge,has-member,only,Animal
Stem,is-proper-part-of,some,Plant
Swarm,has-member,some,Animal
Tasty-plant,eaten-by,some,Carnivore
Tasty-plant,eaten-by,some,Herbivore
Tree,has-part,some,Branch
Tree,has-part,some,Leaf
Tree,has-part,some,Stem
Troop,has-member,some,Animal
Twig,has-part,some,Leaf
Twig,is-part-of,some,Plant
Twig,is-proper-part-of,some,Tree
Xylem,is-part-of,some,Plant
Xylem,is-proper-part-of,some,Stem
Zeal,has-member,some,Animal
Distribution,has-part,some,Habitat
RockDassie,inhabits,some,Habitat
Animal,inhabits,some,Habitat
PlantParts,is-part-of,some,Plant
Den,has-member,some,Animal
Elephant,inhabits,some,Habitat
Parsnip,inhabits,some,Habitat
Nest,has-part,some,Leaf
Nest,has-part,some,Twig
Apple,eaten-by,some,Animal
Palmtree,has-part,some,Leaf
Palmtree,has-part,max,Branch[0]
Giraffe,eats,some,Leaf
Giraffe,eats,some,Twig
Giraffe,inhabits,some,Habitat
Plant,has-part,some,PlantParts
Warthog,eats,some,FruitingBody
Warthog,eats,some,Grass
Warthog,eats,some,Root
Warthog,eats,some,Animal
Warthog,inhabits,some,Habitat
Carrot,eaten-by,some,Animal
Lion,eats,some,Herbivore
Role,inheres-in,some,Animal
Habitat,has-member,some,Plant
Habitat,has-member,some,Animal
Impala,eaten-by,some,Carnivore
Impala,eats,some,Grass
Impala,eats,some,Leaf
Impala,inhabits,some,Habitat
Impala,has-member,some,Herd
AnimalCollective,has-member,only,Animal
