subject,predicate,rtype,object
American,hasBase,some,PizzaBase
American,hasCountryOfOrigin,some,Country
American,hasTopping,some,MozzarellaTopping
American,hasTopping,some,PeperoniSausageTopping
American,hasTopping,some,TomatoTopping
AmericanHot,hasBase,some,PizzaBase
AmericanHot,hasCountryOfOrigin,some,Country
AmericanHot,hasSpiciness,some,Hot
AmericanHot,hasTopping,some,HotGreenPepperTopping
AmericanHot,hasTopping,some,JalapenoPepperTopping
AmericanHot,hasTopping,some,MozzarellaTopping
AmericanHot,hasTopping,some,PeperoniSausageTopping
AmericanHot,hasTopping,some,TomatoTopping
AnchoviesTopping,hasSpiciness,some,Mild
AnchoviesTopping,isToppingOf,some,Pizza
ArtichokeTopping,hasSpiciness,some,Mild
ArtichokeTopping,isToppingOf,some,Pizza
AsparagusTopping,hasSpiciness,some,Mild
AsparagusTopping,isToppingOf,some,Pizza
CajunSpiceTopping,hasSpiciness,some,Hot
CajunSpiceTopping,isToppingOf,some,Pizza
CaperTopping,hasSpiciness,some,Mild
CaperTopping,isToppingOf,some,Pizza
Capricciosa,hasBase,some,PizzaBase
Capricciosa,hasTopping,some,AnchoviesTopping
Capricciosa,hasTopping,some,CaperTopping
Capricciosa,hasTopping,some,MozzarellaTopping
Capricciosa,hasTopping,some,OliveTopping
Capricciosa,hasTopping,some,HamTopping
Capricciosa,hasTopping,some,PeperonataTopping
Capricciosa,hasTopping,some,TomatoTopping
Caprina,hasBase,some,PizzaBase
Caprina,hasTopping,some,GoatsCheeseTopping
Caprina,hasTopping,some,MozzarellaTopping
Caprina,hasTopping,some,SundriedTomatoTopping
CheeseTopping,isToppingOf,some,Pizza
CheeseyPizza,hasTopping,some,CheeseTopping
CheeseyVegetableTopping,hasIngredient,some,CheeseTopping
CheeseyVegetableTopping,hasIngredient,some,VegetableTopping
ChickenTopping,hasSpiciness,some,Mild
ChickenTopping,isToppingOf,some,Pizza
Country,hasCountryOfOrigin,only,Pizza
DeepPanBase,isBaseOf,some,Pizza
Fiorentina,hasBase,some,PizzaBase
Fiorentina,hasTopping,some,GarlicTopping
Fiorentina,hasTopping,some,MozzarellaTopping
Fiorentina,hasTopping,some,OliveTopping
Fiorentina,hasTopping,some,ParmesanTopping
Fiorentina,hasTopping,some,SpinachTopping
Fiorentina,hasTopping,some,TomatoTopping
FourCheesesTopping,hasIngredient,some,CheeseTopping
FourCheesesTopping,hasSpiciness,some,Mild
FourSeasons,hasBase,some,PizzaBase
FourSeasons,hasTopping,some,AnchoviesTopping
FourSeasons,hasTopping,some,CaperTopping
FourSeasons,hasTopping,some,MozzarellaTopping
FourSeasons,hasTopping,some,MushroomTopping
FourSeasons,hasTopping,some,OliveTopping
FourSeasons,hasTopping,some,PeperoniSausageTopping
FourSeasons,hasTopping,some,SlicedTomatoTopping
FruitTopping,isToppingOf,some,Pizza
GarlicTopping,hasSpiciness,only,Medium
GoatsCheeseTopping,hasSpiciness,some,Mild
GorgonzolaTopping,hasSpiciness,some,Mild
GorgonzolaTopping,isToppingOf,some,Pizza
HerbSpiceTopping,isToppingOf,some,Pizza
Hot,hasSpiciness,some,Hot
HotGreenPepperTopping,hasSpiciness,hasValue,Hot
HotGreenPepperTopping,isToppingOf,some,Pizza
HotSpicedBeefTopping,hasSpiciness,some,Hot
HotSpicedBeefTopping,isToppingOf,some,Pizza
JalapenoPepperTopping,hasSpiciness,some,Hot
LaReine,hasBase,some,PizzaBase
