subject,predicate,rtype,object
ActuatableProperty,madeActuation,some,Actuation
Actuation,actsOnProperty,some,ActuatableProperty
Actuation,hasFeatureOfInterest,some,FeatureOfInterest
Actuation,hasResult,some,Result
Actuation,usedProcedure,some,Procedure
subject,predicate,rtype,object
Actuator,actsOnProperty,some,ActuatableProperty
Deployment,deployedOnPlatform,some,Platform
Deployment,deployedSystem,some,System
Deployment,forProperty,some,Property
subject,predicate,rtype,object
FeatureOfInterest,hasProperty,some,Property
FeatureOfInterest,hasSample,exactly1,Sample
ObservableProperty,madeBySensor,some,Sensor
Observation,hasFeatureOfInterest,some,FeatureOfInterest
Observation,hasResult,some,Result
Observation,madeBySensor,some,Sensor
Observation,observedProperty,some,ObservableProperty
Observation,usedProcedure,some,Procedure
Observation,wasOriginatedBy,some,Stimulus
Output,madeByActuator,some,Actuator
Output,madeBySampler,some,Sampler
Output,madeBySensor,some,Sensor
Platform,hasDeployment,some,Deployment
Platform,hosts,only,System
Procedure,deployedSystem,some,System
Procedure,hasInput,some,Input
Procedure,hasOutput,some,Output
subject,predicate,rtype,object
Property,hasFeatureOfInterest,exactly,FeatureOfInterest
Result,hasFeatureOfInterest,some,FeatureOfInterest
Result,isResultOf,some,Observation
subject,predicate,rtype,object
Sample, madeSampling, some, Sampling
Sampler,hasFeatureOfInterest,only,FeatureOfInterest
Sampler,madeSampling,only,Sampling
subject,predicate,rtype,object
Sampling,hasFeatureOfInterest,some,FeatureOfInterest
Sampling,hasSample,some,Sample
Sampling,madeBySampler,some,Sampler
Sampling,usedProcedure,some,Procedure
subject,predicate,rtype,object
Sensor,detects,some,Stimulus
Sensor,observes,some,ObservableProperty
Stimulus,actsOnProperty,some,ObservableProperty
subject,predicate,rtype,object
System,deployedOnPlatform,some,Platform
System,hasDeployment,some,Deployment
System,hasSubSystem,some,System
System,implements,some,Procedure
