subject,predicate,rtype,object
ActuatableProperty, madeActuation, some, Actuation
ActuatableProperty, madeActuation, only, Actuation
Actuation,actsOnProperty,some,ActuatableProperty
Actuation,actsOnProperty,only,ActuatableProperty
Actuation,hasFeatureOfInterest,some,FeatureOfInterest
Actuation,hasFeatureOfInterest,only,FeatureOfInterest
Actuation,hasResult,some,Result
Actuation,hasResult,only,Result
Actuation,usedProcedure,some,Procedure
Actuation,usedProcedure,only,Procedure
Actuator,actsOnProperty,some,ActuatableProperty
Actuator,actsOnProperty,only,ActuatableProperty
Deployment,deployedOnPlatform,some,Platform
Deployment,deployedOnPlatform,only,Platform
Deployment,deployedSystem,some,System
Deployment,deployedSystem,only,System
Deployment,forProperty,some,Property
Deployment,forProperty,only,Property
FeatureOfInterest,hasProperty,some,Property
FeatureOfInterest,hasProperty,only,Property
FeatureOfInterest,hasSample,some,Sample
FeatureOfInterest,hasSample,only,Sample
ObservableProperty, madeBySensor,some,Sensor
ObservableProperty, madeBySensor,only,Sensor
Observation,hasFeatureOfInterest,some,FeatureOfInterest
Observation,hasFeatureOfInterest,only,FeatureOfInterest
Observation,hasResult,some,Result
Observation,hasResult,only,Result
Observation,madeBySensor,some,Sensor
Observation,madeBySensor,only,Sensor
Observation,observedProperty,some,ObservableProperty
Observation,observedProperty,only,ObservableProperty
Observation,usedProcedure,some,Procedure
Observation,usedProcedure,only,Procedure
Observation,wasOriginatedBy,some,Stimulus
Observation,wasOriginatedBy,only,Stimulus
Output,madeByActuator,some,Actuator
Output,madeBySampler,some,Sampler
Output,madeBySensor,some,Sensor
Platform,hasDeployment,some,Deployment
Platform,hasDeployment,only,Deployment
Platform,hosts,only,System
Procedure,deployedSystem,some,System
Procedure,deployedSystem,only,System
Procedure,hasInput,some,Input
Procedure,hasInput,only,Input
Procedure,hasOutput,some,Output
Procedure,hasOutput,only,Output
Property,hasFeatureOfInterest,some,FeatureOfInterest
Property,hasFeatureOfInterest,only,FeatureOfInterest
Result,hasFeatureOfInterest,some,FeatureOfInterest
Result,hasFeatureOfInterest,only,FeatureOfInterest
Result,isResultOf,some,Observation
Result,isResultOf,only,Observation
Sample,madeSampling,some,Sampling
Sample,madeSampling,only,Sampling
Sampler,hasFeatureOfInterest,only,FeatureOfInterest
Sampler,hasFeatureOfInterest,some,FeatureOfInterest
Sampler,madeSampling,only,Sampling
Sampler,madeSampling,some,Sampling
Sampling,hasFeatureOfInterest,some,FeatureOfInterest
Sampling,hasSample,some,Sample
Sampling,madeBySampler,only,Sampler
Sampling,usedProcedure,some,Procedure
Sensor,detects,some,Stimulus
Sensor,observes,some,ObservableProperty
Stimulus,actsOnProperty,some,ObservableProperty
Stimulus,actsOnProperty,only,ObservableProperty
System,deployedOnPlatform,some,Platform
System,deployedOnPlatform,only,Platform
System,hasDeployment,some,Deployment
System,hasDeployment,only,Deployment
System,hasSubSystem,some,System
System,hasSubSystem,only,System
System,implements,some,Procedure
System,implements,only,Procedure
