subject,predicate,rtype,object
Animal,eaten-by,some,Carnivore
Animal,eats,some,Carnivore
AnimalCollective,has-member,only,Animal
Apple,eaten-by,some,Animal
Bask,has-member,some,Animal
Berry,eaten-by,some,Animal
Branch,has-part,some,FruitingBody
Branch,has-part,some,Leaf
Carnivore,eats,some,Animal
CarnivorousPlant,eats,some,Animal
Carrot,eaten-by,some,Herbivore
Cloud,has-member,some,Animal
Colony,has-member,some,Animal
Den,inhabits,some,Animal
Distribution,inhabits,some,Habitat
Elephant,eats,some,Herbivore
Flight,has-member,some,Animal
FruitingBody,has-part,some,PlantParts
Giraffe,eats,some,Leaf
Grass,eaten-by,some,Herbivore
Habitat,has-member,some,Animal
Habitat,has-member,some,Plant
Habitat,has-part,some,PlantParts
Habitat,inhabits,some,Animal
Habitat,inhabits,some,Plant
Herbivore,eats,some,Plant
Herd,has-member,some,Elephant
HypoCarnivores,eats,some,Carnivore
HypoCarnivores,eats,some,Plant
HypoCarnivores,is-part-of,only,Animal
Impala,eats,only,Grass
Impala,is-part-of,some,Herd
Kettle,has-member,some,Animal
Leaf,has-part,some,PlantParts
Lion,eats,some,Herbivore
MesoCarnivore,eaten-by,some,Predator
MesoCarnivore,eats,some,Animal
Nest,has-part,some,PlantParts
ObligateCarnivore,eats,some,Animal
Omnivore,eats,some,Animal
Omnivore,eats,some,Plant
Palm,has-part,some,PlantParts
Palmtree,has-part,some,PlantParts
Parsnip,has-part,some,Root
Phloem,has-part,some,PlantParts
Plant,has-part,some,PlantParts
PlantParts,is-part-of,some,Plant
Predator,eaten-by,some,Animal
Predator,eats,some,Animal
Prey,eaten-by,some,Predator
Rhumba,has-member,some,Animal
RockDassie,eats,some,Tasty-plant
Role,eaten-by,some,Animal
Role,eats,some,Animal
Role,has-member,some,AnimalCollective
Role,is-part-of,some,Habitat
Root,has-part,some,PlantParts
Scourge,has-member,some,Animal
Stem,has-part,some,PlantParts
Swarm,has-member,some,Animal
Tasty-plant,eaten-by,some,Animal
Thing,has-member,some,Thing
Thing,has-part,some,Thing
Thing,inhabits,some,Habitat
Thing,inheres-in,some,Thing
Thing,is-part-of,only,Thing
Tree,has-part,some,PlantParts
Troop,has-member,some,Animal
Twig,has-part,some,Branch
Warthog,eats,some,Omnivore
Warthog,inhabits,some,Habitat
Warthog,is-part-of,some,AnimalCollective
Xylem,has-part,some,PlantParts
Zeal,has-member,some,Animal
DeprecatedClass,has-part,some,DeprecatedClass
