subject,predicate,rtype,object
American,hasBase,some,PizzaBase
American,hasIngredient,some,MozzarellaTopping
American,hasTopping,some,PeperoniSausageTopping
American,hasTopping,some,TomatoTopping
AmericanHot,hasSpiciness,exactly 1,Hot
AnchoviesTopping,hasSpiciness,some,Mild
ArtichokeTopping,hasSpiciness,some,Mild
ArtichokeTopping,hasTopping,some,VegetableTopping
AsparagusTopping,hasIngredient,some,Food
AsparagusTopping,hasSpiciness,some,Mild
AsparagusTopping,hasTopping,some,VegetableTopping
CajunSpiceTopping,hasIngredient,some,Cajun
CajunSpiceTopping,hasSpiciness,some,Hot
CaperTopping,hasTopping,some,VegetableTopping
Capricciosa,hasBase,exactly 1,PizzaBase
Caprina,hasBase,some,PizzaBase
CheeseyVegetableTopping,hasIngredient,some,CheeseTopping
CheeseyVegetableTopping,hasIngredient,some,VegetableTopping
CheeseyVegetableTopping,hasSpiciness,some,Spiciness
CheeseyVegetableTopping,isToppingOf,some,NamedPizza
ChickenTopping,hasSpiciness,some,Mild
ChickenTopping,hasTopping,some,MeatTopping
DeepPanBase,hasTopping,some,PizzaTopping
Fiorentina,hasIngredient,some,Food
Fiorentina,hasTopping,some,PizzaTopping
FourCheesesTopping,hasIngredient,some,CheeseTopping
FourCheesesTopping,hasSpiciness,some,Mild
FourCheesesTopping,isToppingOf,some,Pizza
FruitTopping,hasIngredient,some,FruitTopping
FruitTopping,hasTopping,some,PizzaTopping
FruitTopping,isToppingOf,some,NamedPizza
GarlicTopping,hasSpiciness,some,Medium
GarlicTopping,hasTopping,some,VegetableTopping
GarlicTopping,isIngredientOf,some,PizzaTopping
GorgonzolaTopping,hasIngredient,some,CheeseTopping
GorgonzolaTopping,hasSpiciness,some,Mild
GorgonzolaTopping,isToppingOf,some,NamedPizza
GreenPepperTopping,hasTopping,some,PepperTopping
HamTopping,hasIngredient,some,HamTopping
HamTopping,hasTopping,some,MeatTopping
HamTopping,isToppingOf,some,NamedPizza
HerbSpiceTopping,hasIngredient,some,Food
HerbSpiceTopping,hasSpiciness,some,Spiciness
HerbSpiceTopping,hasTopping,some,HerbSpiceTopping
Hot,hasSpiciness,some,Spiciness
HotGreenPepperTopping,hasSpiciness,some,Hot
HotGreenPepperTopping,hasTopping,some,GreenPepperTopping
HotSpicedBeefTopping,hasSpiciness,some,Hot
HotSpicedBeefTopping,isToppingOf,some,NamedPizza
JalapenoPepperTopping,hasSpiciness,some,Hot
LaReine,hasBase,some,PizzaBase
LaReine,hasTopping,some,PizzaTopping
LeekTopping,hasIngredient,some,VegetableTopping
Margherita,hasBase,some,PizzaBase
Margherita,hasTopping,some,MozzarellaTopping
Margherita,hasTopping,some,TomatoTopping
Mild,hasBase,some,PizzaBase
Mild,hasSpiciness,only,Mild
Mild,hasTopping,some,PizzaTopping
