subject,predicate,rtype,object
American,hasBase,some,PizzaBase
American,hasIngredient,some,MozzarellaTopping
American,hasTopping,some,PeperoniSausageTopping
American,hasTopping,some,TomatoTopping
AmericanHot,hasBase,some,PizzaBase
AmericanHot,hasCountryOfOrigin,exactly 1,American
AmericanHot,hasSpiciness,exactly 1,Hot
AmericanHot,hasTopping,some,MeatTopping
AmericanHot,hasTopping,some,VegetableTopping
AnchoviesTopping,hasSpiciness,some,Mild
ArtichokeTopping,hasSpiciness,some,Mild
ArtichokeTopping,hasTopping,some,VegetableTopping
AsparagusTopping,hasIngredient,some,Food
AsparagusTopping,hasSpiciness,some,Mild
AsparagusTopping,hasTopping,some,VegetableTopping
Cajun,hasBase,some,TomatoTopping
Cajun,hasSpiciness,some,Hot
Cajun,hasTopping,some,OnionTopping
Cajun,hasTopping,some,PeperonataTopping
Cajun,hasTopping,some,PrawnsTopping
Cajun,hasTopping,some,SauceTopping
CajunSpiceTopping,hasSpiciness,some,Hot
CajunSpiceTopping,isToppingOf,some,Cajun
CaperTopping,hasTopping,some,VegetableTopping
Capricciosa,hasBase,exactly 1,PizzaBase
Capricciosa,hasIngredient,some,CheeseTopping
Capricciosa,hasTopping,some,FishTopping
Capricciosa,hasTopping,some,VegetableTopping
Caprina,hasBase,some,PizzaBase
Caprina,hasTopping,some,CheeseTopping
Caprina,hasTopping,some,TomatoTopping
CheeseTopping,hasSpiciness,some,Mild
CheeseTopping,isToppingOf,some,NamedPizza
CheeseyVegetableTopping,hasIngredient,some,CheeseTopping
CheeseyVegetableTopping,hasIngredient,some,VegetableTopping
CheeseyVegetableTopping,hasSpiciness,some,Spiciness
CheeseyVegetableTopping,isToppingOf,some,NamedPizza
ChickenTopping,hasSpiciness,some,Mild
ChickenTopping,hasTopping,some,MeatTopping
DeepPanBase,hasTopping,some,PizzaTopping
DomainConcept,hasBase,some,PizzaBase
DomainConcept,hasIngredient,some,Food
DomainConcept,hasSpiciness,some,Spiciness
DomainConcept,hasTopping,some,PizzaTopping
Fiorentina,hasBase,some,PizzaBase
Fiorentina,hasIngredient,some,Food
Fiorentina,hasTopping,some,PizzaTopping
Food,hasBase,some,PizzaBase
Food,hasCountryOfOrigin,some,DomainConcept
Food,hasIngredient,some,Food
Food,hasSpiciness,some,Spiciness
Food,hasTopping,some,PizzaTopping
FourCheesesTopping,hasIngredient,some,CheeseTopping
FourCheesesTopping,hasSpiciness,some,Mild
FourCheesesTopping,isToppingOf,some,Pizza
FourSeasons,hasBase,exactly 1,PizzaBase
FourSeasons,hasIngredient,some,Food
FourSeasons,hasSpiciness,some,Spiciness
FourSeasons,hasTopping,some,PizzaTopping
FruitTopping,hasIngredient,some,FruitTopping
FruitTopping,hasTopping,some,PizzaTopping
FruitTopping,isToppingOf,some,NamedPizza
