constraint_key,subject,predicate,rtype,object,operation,description,combined
"ActuatableProperty,actsOnProperty,some,Property",ActuatableProperty,actsOnProperty,some,Property,original,"An ActuatableProperty refers to a characteristic or attribute of a system that can be influenced or modified through a specific action. This property is designed to be directly affected by an actuation process, indicating a clear relationship between the property and the action taken. ActuatableProperties are integral to systems that require active manipulation, allowing for dynamic control and adjustment. They play a crucial role in the functionality of actuators within various applications. ['(An ActuatableProperty refers to a characteristic or attribute of a system that can be influenced or modified through a specific action, indicating a clear relationship between the property and the action taken.)']","An ActuatableProperty refers to a characteristic or attribute of a system that can be influenced or modified through a specific action. This property is designed to be directly affected by an actuation process, indicating a clear relationship between the property and the action taken. ActuatableProperties are integral to systems that require active manipulation, allowing for dynamic control and adjustment. They play a crucial role in the functionality of actuators within various applications. ['(An ActuatableProperty refers to a characteristic or attribute of a system that can be influenced or modified through a specific action, indicating a clear relationship between the property and the action taken.)']"
"ActuatableProperty,actsOnProperty,some,Property",ActuatableProperty,actsOnProperty,some,Property,remove,"An ActuatableProperty refers to a characteristic or attribute of a system that can be influenced or modified through a specific action, indicating a clear relationship between the property and the action taken.","An ActuatableProperty refers to a characteristic or attribute of a system that can be influenced or modified through a specific action. This property is designed to be directly affected by an actuation process, indicating a clear relationship between the property and the action taken. ActuatableProperties are integral to systems that require active manipulation, allowing for dynamic control and adjustment. They play a crucial role in the functionality of actuators within various applications. ['(An ActuatableProperty refers to a characteristic or attribute of a system that can be influenced or modified through a specific action, indicating a clear relationship between the property and the action taken.)']"
"ActuatableProperty,actsOnProperty,some,Property",ActuatableProperty,actsOnProperty,only,Property,variant_rtype,"An ActuatableProperty refers to a characteristic or attribute of a system that can be influenced or modified through a specific action. If any properties exist, they must all be Properties.","An ActuatableProperty refers to a characteristic or attribute of a system that can be influenced or modified through a specific action. This property is designed to be directly affected by an actuation process, indicating a clear relationship between the property and the action taken. ActuatableProperties are integral to systems that require active manipulation, allowing for dynamic control and adjustment. They play a crucial role in the functionality of actuators within various applications. ['(An ActuatableProperty refers to a characteristic or attribute of a system that can be influenced or modified through a specific action, indicating a clear relationship between the property and the action taken.)']"
"Actuation,actsOnProperty,some,ActuatableProperty",Actuation,actsOnProperty,some,ActuatableProperty,original,"Actuation refers to the process by which an actuator exerts influence on a specific property, typically an actuatable property, to achieve a desired effect. This process is closely tied to a particular feature of interest, which is the focus of the actuation. Each actuation yields a specific result, reflecting the outcome of the interaction between the actuator and the property it acts upon. The actuation is guided by a defined procedure that outlines the steps necessary to achieve the intended outcome. ['(Actuation refers to the process by which an actuator exerts influence on a specific property, typically an actuatable property, to achieve a desired effect.)']","Actuation refers to the process by which an actuator exerts influence on a specific property, typically an actuatable property, to achieve a desired effect. This process is closely tied to a particular feature of interest, which is the focus of the actuation. Each actuation yields a specific result, reflecting the outcome of the interaction between the actuator and the property it acts upon. The actuation is guided by a defined procedure that outlines the steps necessary to achieve the intended outcome. ['(Actuation refers to the process by which an actuator exerts influence on a specific property, typically an actuatable property, to achieve a desired effect.)']"
"Actuation,actsOnProperty,some,ActuatableProperty",Actuation,actsOnProperty,some,ActuatableProperty,remove,"Actuation refers to the process by which an actuator exerts influence on a specific property, typically an actuatable property, to achieve a desired effect.","Actuation refers to the process by which an actuator exerts influence on a specific property, typically an actuatable property, to achieve a desired effect. This process is closely tied to a particular feature of interest, which is the focus of the actuation. Each actuation yields a specific result, reflecting the outcome of the interaction between the actuator and the property it acts upon. The actuation is guided by a defined procedure that outlines the steps necessary to achieve the intended outcome. ['(Actuation refers to the process by which an actuator exerts influence on a specific property, typically an actuatable property, to achieve a desired effect.)']"
"Actuation,actsOnProperty,some,ActuatableProperty",Actuation,actsOnProperty,only,ActuatableProperty,variant_rtype,"Actuation refers to the process by which an actuator exerts influence on a specific property, typically an actuatable property, to achieve a desired effect. If any properties exist, they must all be actuatable properties.","Actuation refers to the process by which an actuator exerts influence on a specific property, typically an actuatable property, to achieve a desired effect. This process is closely tied to a particular feature of interest, which is the focus of the actuation. Each actuation yields a specific result, reflecting the outcome of the interaction between the actuator and the property it acts upon. The actuation is guided by a defined procedure that outlines the steps necessary to achieve the intended outcome. ['(Actuation refers to the process by which an actuator exerts influence on a specific property, typically an actuatable property, to achieve a desired effect.)']"
"Actuation,actsOnProperty,some,ActuatableProperty",Actuation,hasProperty,some,ActuatableProperty,prop_variant,"Actuation refers to the process by which an actuator exerts influence on a specific property, typically an actuatable property, to achieve a desired effect. An actuator has a property that it acts upon.","Actuation refers to the process by which an actuator exerts influence on a specific property, typically an actuatable property, to achieve a desired effect. This process is closely tied to a particular feature of interest, which is the focus of the actuation. Each actuation yields a specific result, reflecting the outcome of the interaction between the actuator and the property it acts upon. The actuation is guided by a defined procedure that outlines the steps necessary to achieve the intended outcome. ['(Actuation refers to the process by which an actuator exerts influence on a specific property, typically an actuatable property, to achieve a desired effect.)']"
"Actuation,actsOnProperty,some,ActuatableProperty",Actuation,actsOnProperty,some,Property,generalize,"Actuation refers to the process by which an actuator exerts influence on a specific property, typically a property, to achieve a desired effect.","Actuation refers to the process by which an actuator exerts influence on a specific property, typically an actuatable property, to achieve a desired effect. This process is closely tied to a particular feature of interest, which is the focus of the actuation. Each actuation yields a specific result, reflecting the outcome of the interaction between the actuator and the property it acts upon. The actuation is guided by a defined procedure that outlines the steps necessary to achieve the intended outcome. ['(Actuation refers to the process by which an actuator exerts influence on a specific property, typically an actuatable property, to achieve a desired effect.)']"
"Actuation,hasFeatureOfInterest,some,FeatureOfInterest",Actuation,hasFeatureOfInterest,some,FeatureOfInterest,original,"Actuation refers to the process by which an actuator exerts influence on a specific property, typically an actuatable property, to achieve a desired effect. This process is closely tied to a particular feature of interest, which is the focus of the actuation. Each actuation yields a specific result, reflecting the outcome of the interaction between the actuator and the property it acts upon. The actuation is guided by a defined procedure that outlines the steps necessary to achieve the intended outcome. ['(This process is closely tied to a particular feature of interest, which is the focus of the actuation.)']","Actuation refers to the process by which an actuator exerts influence on a specific property, typically an actuatable property, to achieve a desired effect. This process is closely tied to a particular feature of interest, which is the focus of the actuation. Each actuation yields a specific result, reflecting the outcome of the interaction between the actuator and the property it acts upon. The actuation is guided by a defined procedure that outlines the steps necessary to achieve the intended outcome. ['(This process is closely tied to a particular feature of interest, which is the focus of the actuation.)']"
"Actuation,hasFeatureOfInterest,some,FeatureOfInterest",Actuation,hasFeatureOfInterest,some,FeatureOfInterest,remove,"This process is closely tied to a particular feature of interest, which is the focus of the actuation.","Actuation refers to the process by which an actuator exerts influence on a specific property, typically an actuatable property, to achieve a desired effect. This process is closely tied to a particular feature of interest, which is the focus of the actuation. Each actuation yields a specific result, reflecting the outcome of the interaction between the actuator and the property it acts upon. The actuation is guided by a defined procedure that outlines the steps necessary to achieve the intended outcome. ['(This process is closely tied to a particular feature of interest, which is the focus of the actuation.)']"
