subject,predicate,restriction type,object
Animal,eaten-by,only,Carnivore
Animal,eaten-by,some,Carnivore
Animal,eats,some,Carnivore
AnimalCollective,has-member,some,Animal
Apple,eaten-by,some,Animal
Bask,has-member,some,Animal
Berry,eaten-by,some,Animal
Branch,has-part,some,FruitingBody
Branch,has-part,some,Leaf
Branch,is-part-of,some,Tree
Carnivore,eats,some,Animal
CarnivorousPlant,eats,some,Animal
Carrot,eaten-by,some,Herbivore
Carrot,has-part,exactly,Root
Carrot,is-part-of,exactly,Plant
Cloud,has-member,some,Animal
Colony,has-member,some,Animal
Den,has-member,some,Animal
Den,inhabits,only,Animal
DeprecatedClass,has-part,none,none
Distribution,has-member,some,Habitat
Distribution,inhabits,some,Habitat
Elephant,eats,some,Herbivore
Elephant,has-member,all,AnimalCollective
Elephant,inheres-in,all,Habitat
Flight,has-member,some,Animal
FruitingBody,has-part,only,PlantParts
FruitingBody,has-part,some,PlantParts
Grass,eaten-by,some,Herbivore
Habitat,has-member,some,Animal
Habitat,has-member,some,Plant
Habitat,has-member,some,PlantParts
Habitat,inhabits,some,Animal
Habitat,inhabits,some,Plant
Habitat,has-part,only,PlantParts
Herd,has-member,only,Elephant
HypoCarnivores,eats,only,Carnivore
HypoCarnivores,eats,some,Plant
HypoCarnivores,is-part-of,only,Animal
Impala,eats,only,Grass
Impala,is-part-of,some,Herd
Kettle,has-member,only,Animal
Leaf,has-part,some,PlantParts
MesoCarnivore,eaten-by,some,Predator
MesoCarnivore,eats,some,Animal
Nest,has-part,some,PlantParts
ObligateCarnivore,eats,some,Animal
Omnivore,eats,some,Animal
Omnivore,eats,some,Plant
Palm,has-part,some,PlantParts
Parsnip,has-part,some,Root
Phloem,has-part,some,PlantParts
Phloem,is-part-of,one,Stem
Plant,has-part,some,PlantParts
PlantParts,has-member,some,Plant
PlantParts,is-part-of,some,Plant
Predator,eaten-by,some,Animal
Predator,eats,some,Animal
Prey,eaten-by,some,Predator
Rhumba,has-member,some,Animal
Role,eaten-by,only,Animal
Role,eaten-by,some,Animal
Role,eats,only,Animal
Role,eats,some,Animal
Role,has-member,some,AnimalCollective
Root,has-part,some,PlantParts
Scourge,has-member,some,Animal
Stem,has-part,some,PlantParts
Swarm,has-member,only,Animal
Tasty-plant,eaten-by,some,Animal
Tasty-plant,eats,some,Animal
Tree,has-part,some,PlantParts
Troop,has-member,some,Animal
Twig,has-part,some,Branch
Warthog,inhabits,only,Habitat
Warthog,is-part-of,some,AnimalCollective
Warthog,eats,some,PlantParts
Warthog,eats,some,Animal
Xylem,has-part,some,PlantParts
Xylem,is-part-of,exactly,Stem
Zeal,has-member,some,Animal
RockDassie,eats,some,Tasty-plant
Palmtree,has-part,some,PlantParts
Herbivore,eats,some,Plant
Giraffe,eats,some,Leaf
Giraffe,eats,some,Twig
Giraffe,inhabits,some,Habitat
Giraffe,is-proper-part-of,some,Animal
Thing,has-part,some,Thing
Lion,eats,some,Herbivore
