subject,predicate,restriction type,object
American,hasBase,some,PizzaBase
American,hasIngredient,some,MozzarellaTopping
American,hasTopping,some,MozzarellaTopping
American,hasTopping,some,PeperoniSausageTopping
American,hasTopping,some,TomatoTopping
AmericanHot,hasBase,some,PizzaBase
AmericanHot,hasCountryOfOrigin,only,American
AmericanHot,hasSpiciness,exactly 1,Hot
AmericanHot,hasTopping,some,MeatTopping
AmericanHot,hasTopping,some,VegetableTopping
AnchoviesTopping,hasSpiciness,some,Mild
ArtichokeTopping,hasSpiciness,some,Mild
ArtichokeTopping,hasTopping,some,VegetableTopping
AsparagusTopping,hasIngredient,some,Food
AsparagusTopping,hasSpiciness,some,Mild
AsparagusTopping,hasTopping,some,VegetableTopping
Cajun,hasBase,some,TomatoTopping
Cajun,hasSpiciness,some,Hot
Cajun,hasTopping,some,OnionTopping
Cajun,hasTopping,some,PeperonataTopping
Cajun,hasTopping,some,PrawnsTopping
Cajun,hasTopping,some,SauceTopping
CajunSpiceTopping,hasIngredient,some,Cajun
CajunSpiceTopping,hasSpiciness,some,Hot
CaperTopping,hasTopping,some,VegetableTopping
Capricciosa,hasBase,exactly 1,PizzaBase
Capricciosa,hasIngredient,some,CheeseTopping
Capricciosa,hasTopping,some,FishTopping
Capricciosa,hasTopping,some,VegetableTopping
Caprina,hasBase,some,PizzaBase
Caprina,hasTopping,some,CheeseTopping
Caprina,hasTopping,some,TomatoTopping
Caprina,hasTopping,some,SundriedTomatoTopping
CheeseyVegetableTopping,hasIngredient,some,CheeseTopping
CheeseyVegetableTopping,hasIngredient,some,VegetableTopping
CheeseyVegetableTopping,hasSpiciness,some,Spiciness
CheeseyVegetableTopping,isToppingOf,some,NamedPizza
ChickenTopping,hasSpiciness,some,Mild
ChickenTopping,hasTopping,some,MeatTopping
DeepPanBase,hasIngredient,some,PizzaTopping
DeepPanBase,hasTopping,only,PizzaTopping
Fiorentina,hasBase,some,PizzaBase
Fiorentina,hasIngredient,some,Food
Fiorentina,hasTopping,only,PizzaTopping
FourCheesesTopping,hasIngredient,some,CheeseTopping
FourCheesesTopping,hasSpiciness,only,Mild
FourCheesesTopping,isToppingOf,some,Pizza
FourSeasons,hasBase,only,PizzaBase
FourSeasons,hasIngredient,some,Food
FourSeasons,hasSpiciness,some,Spiciness
FourSeasons,hasTopping,some,PizzaTopping
FruitTopping,hasIngredient,only,FruitTopping
FruitTopping,hasTopping,some,PizzaTopping
FruitTopping,isToppingOf,some,NamedPizza
FruttiDiMare,hasBase,some,PizzaBase
FruttiDiMare,hasTopping,some,Topping
FruttiDiMare,hasTopping,some,GarlicTopping
FruttiDiMare,hasTopping,some,MixedSeafoodTopping
FruttiDiMare,hasTopping,only,TomatoTopping
GarlicTopping,hasSpiciness,some,Medium
GarlicTopping,hasTopping,some,VegetableTopping
