subject,predicate,rtype,object
Animal,eaten-by,only,Carnivore
Animal,eaten-by,some,Carnivore
Animal,eats,some,Carnivore
AnimalCollective,has-member,some,Animal
Apple,eaten-by,some,Animal
Bask,has-member,some,Animal
Berry,eaten-by,some,Animal
Branch,has-part,some,FruitingBody
Branch,has-part,some,Leaf
Carnivore,eats,some,Animal
CarnivorousPlant,eats,some,Animal
Carrot,eaten-by,some,Herbivore
Cloud,has-member,some,Animal
Colony,has-member,some,Animal
Den,has-member,some,Animal
Den,inhabits,only,Animal
DeprecatedClass,has-part,some,DeprecatedClass
Distribution,has-member,some,Habitat
Distribution,inhabits,some,Habitat
Elephant,eats,some,Animal
Flight,has-member,some,Animal
FruitingBody,has-part,only,PlantParts
FruitingBody,has-part,some,PlantParts
Grass,eaten-by,some,Herbivore
Habitat,has-member,some,Animal
Habitat,has-member,some,Plant
Habitat,has-member,some,PlantParts
Habitat,has-part,only,PlantParts
Habitat,inhabits,some,Animal
Habitat,inhabits,some,Plant
Herd,has-member,only,Elephant
Herd,has-member,some,Elephant
HypoCarnivores,eats,only,Carnivore
HypoCarnivores,eats,some,Carnivore
HypoCarnivores,eats,some,Plant
HypoCarnivores,is-part-of,only,Animal
Impala,eats,only,Grass
Impala,is-part-of,some,Herd
Kettle,has-member,only,Animal
Kettle,has-member,some,Animal
Leaf,has-part,some,PlantParts
MesoCarnivore,eaten-by,some,Predator
MesoCarnivore,eats,some,Animal
Nest,has-part,some,PlantParts
ObligateCarnivore,eats,some,Animal
Omnivore,eats,some,Animal
Omnivore,eats,some,Plant
Palm,has-part,some,PlantParts
Parsnip,has-part,some,Root
Phloem,has-part,some,PlantParts
Plant,has-part,some,PlantParts
PlantParts,has-member,some,Plant
PlantParts,is-part-of,some,Plant
Predator,eaten-by,some,Animal
Predator,eats,some,Animal
Prey,eaten-by,some,Predator
Rhumba,has-member,some,Animal
Role,eaten-by,only,Animal
Role,eaten-by,some,Animal
Role,eats,only,Animal
Role,eats,some,Animal
Role,has-member,some,AnimalCollective
Role,is-part-of,only,Habitat
Root,has-part,some,PlantParts
Scourge,has-member,some,Animal
Stem,has-part,some,PlantParts
Swarm,has-member,only,Animal
Swarm,has-member,some,Animal
Tasty-plant,eaten-by,some,Animal
Tree,has-part,some,PlantParts
Troop,has-member,some,Animal
Twig,has-part,some,Branch
Warthog,inhabits,only,Habitat
Warthog,is-part-of,some,AnimalCollective
Xylem,has-part,some,PlantParts
Zeal,has-member,some,Animal
RockDassie,eats,some,Tasty-plant
Palmtree,has-part,some,PlantParts
Herbivore,eats,some,Plant
Giraffe,eats,some,Leaf
Thing,has-part,some,Thing
Lion,eats,some,Herbivore
