subject,predicate,rtype,object
Animal,eaten-by,some,Carnivore
Animal,eats,some,Carnivore
Bask,has-member,some,Animal
Berry,eaten-by,some,Animal
Branch,has-part,some,FruitingBody
Branch,has-part,some,Leaf
Carnivore,eats,some,Animal
CarnivorousPlant,eats,some,Animal
Cloud,has-member,some,Animal
Colony,has-member,some,Animal
DeprecatedClass,has-part,some,DeprecatedClass
Distribution,inhabits,some,Habitat
Flight,has-member,some,Animal
FruitingBody,has-part,some,PlantParts
Herd,has-member,some,Elephant
HypoCarnivores,eats,some,Carnivore
HypoCarnivores,eats,some,Plant
HypoCarnivores,is-part-of,only,Animal
Kettle,has-member,some,Animal
Leaf,has-part,some,PlantParts
MesoCarnivore,eaten-by,some,Predator
MesoCarnivore,eats,some,Animal
ObligateCarnivore,eats,some,Animal
Omnivore,eats,some,Animal
Omnivore,eats,some,Plant
Palm,has-part,some,PlantParts
Phloem,has-part,some,PlantParts
Predator,eaten-by,some,Animal
Predator,eats,some,Animal
Prey,eaten-by,some,Predator
Rhumba,has-member,some,Animal
Root,has-part,some,PlantParts
Scourge,has-member,some,Animal
Stem,has-part,some,PlantParts
Swarm,has-member,some,Animal
Tasty-plant,eaten-by,some,Animal
Tree,has-part,some,PlantParts
Troop,has-member,some,Animal
Zeal,has-member,some,Animal
RockDassie,eats,some,Tasty-plant
Twig,has-part,some,Branch
PlantParts,is-part-of,some,Plant
Xylem,has-part,some,PlantParts
Den,inhabits,some,Animal
Grass,eaten-by,some,Herbivore
Elephant,eats,some,Herbivore
Parsnip,has-part,some,Root
Nest,has-part,some,PlantParts
Apple,eaten-by,some,Animal
Herbivore,eats,some,Plant
Palmtree,has-part,some,PlantParts
Giraffe,eats,some,Leaf
Plant,has-part,some,PlantParts
Thing,has-part,some,Thing
Warthog,eats,some,Omnivore
Carrot,eaten-by,some,Herbivore
Lion,eats,some,Herbivore
Role,eats,some,Animal
Habitat,inhabits,some,Animal
Impala,eats,only,Grass
AnimalCollective,has-member,only,Animal
