subject,predicate,rtype,object
American,hasBase,some,PizzaBase
American,hasBase,some,PizzaBase
American,hasBase,only,PizzaBase
American,hasIngredient,some,MozzarellaTopping
American,hasIngredient,some,MozzarellaTopping
American,hasIngredient,only,MozzarellaTopping
American,hasTopping,some,MozzarellaTopping
American,hasTopping,some,PeperoniSausageTopping
American,hasTopping,some,PeperoniSausageTopping
American,hasTopping,only,PeperoniSausageTopping
American,hasTopping,some,TomatoTopping
American,hasTopping,some,TomatoTopping
American,hasTopping,only,TomatoTopping
American,hasTopping,some,VegetableTopping
AmericanHot,hasBase,some,PizzaBase
AmericanHot,hasBase,some,PizzaBase
AmericanHot,hasBase,only,PizzaBase
AmericanHot,hasCountryOfOrigin,exactly 1,American
AmericanHot,hasCountryOfOrigin,exactly 1,American
AmericanHot,hasCountryOfOrigin,some,American
AmericanHot,hasCountryOfOrigin,only,American
AmericanHot,hasSpiciness,exactly 1,Hot
AmericanHot,hasSpiciness,exactly 1,Hot
AmericanHot,hasSpiciness,some,Hot
AmericanHot,hasSpiciness,only,Hot
AmericanHot,hasSpiciness,exactly 1,Spiciness
AmericanHot,hasTopping,some,MeatTopping
AmericanHot,hasTopping,some,MeatTopping
AmericanHot,hasTopping,only,MeatTopping
AmericanHot,hasTopping,some,VegetableTopping
AmericanHot,hasTopping,some,VegetableTopping
AmericanHot,hasTopping,only,VegetableTopping
AnchoviesTopping,hasSpiciness,some,Mild
AnchoviesTopping,hasSpiciness,some,Mild
AnchoviesTopping,hasSpiciness,only,Mild
ArtichokeTopping,hasSpiciness,some,Mild
ArtichokeTopping,hasSpiciness,some,Mild
ArtichokeTopping,hasSpiciness,only,Mild
ArtichokeTopping,hasTopping,some,VegetableTopping
ArtichokeTopping,hasTopping,some,VegetableTopping
ArtichokeTopping,hasTopping,only,VegetableTopping
ArtichokeTopping,hasTopping,some,PizzaTopping
AsparagusTopping,hasIngredient,some,Food
AsparagusTopping,hasIngredient,some,Food
AsparagusTopping,hasIngredient,only,Food
AsparagusTopping,hasSpiciness,some,Mild
AsparagusTopping,hasSpiciness,some,Mild
AsparagusTopping,hasSpiciness,only,Mild
AsparagusTopping,hasTopping,some,VegetableTopping
AsparagusTopping,hasTopping,some,VegetableTopping
AsparagusTopping,hasTopping,only,VegetableTopping
AsparagusTopping,hasTopping,some,PizzaTopping
Cajun,hasBase,some,TomatoTopping
Cajun,hasBase,some,TomatoTopping
Cajun,hasBase,only,TomatoTopping
Cajun,hasSpiciness,some,Hot
Cajun,hasSpiciness,some,Hot
Cajun,hasSpiciness,only,Hot
Cajun,hasTopping,some,OnionTopping
Cajun,hasTopping,some,OnionTopping
Cajun,hasTopping,only,OnionTopping
Cajun,hasTopping,some,PeperonataTopping
Cajun,hasTopping,some,PeperonataTopping
Cajun,hasTopping,only,PeperonataTopping
Cajun,hasTopping,some,PrawnsTopping
Cajun,hasTopping,some,PrawnsTopping
Cajun,hasTopping,only,PrawnsTopping
Cajun,hasTopping,some,SauceTopping
Cajun,hasTopping,some,SauceTopping
Cajun,hasTopping,only,SauceTopping
CajunSpiceTopping,hasSpiciness,some,Hot
CajunSpiceTopping,hasSpiciness,some,Hot
CajunSpiceTopping,hasSpiciness,only,Hot
CajunSpiceTopping,isToppingOf,some,Cajun
CajunSpiceTopping,isToppingOf,some,Cajun
CajunSpiceTopping,isToppingOf,only,Cajun
CajunSpiceTopping,hasIngredient,some,Cajun
CaperTopping,hasTopping,some,VegetableTopping
CaperTopping,hasTopping,some,VegetableTopping
CaperTopping,hasTopping,only,VegetableTopping
Capricciosa,hasBase,exactly 1,PizzaBase
Capricciosa,hasBase,exactly 1,PizzaBase
Capricciosa,hasBase,some,PizzaBase
Capricciosa,hasBase,only,PizzaBase
Capricciosa,hasIngredient,some,CheeseTopping
Capricciosa,hasIngredient,some,CheeseTopping
Capricciosa,hasIngredient,only,CheeseTopping
Capricciosa,hasTopping,some,CheeseTopping
Capricciosa,hasTopping,some,FishTopping
Capricciosa,hasTopping,some,FishTopping
Capricciosa,hasTopping,only,FishTopping
Capricciosa,hasTopping,some,VegetableTopping
Capricciosa,hasTopping,some,VegetableTopping
Capricciosa,hasTopping,only,VegetableTopping
Caprina,hasBase,some,PizzaBase
Caprina,hasBase,some,PizzaBase
Caprina,hasBase,only,PizzaBase
Caprina,hasTopping,some,CheeseTopping
Caprina,hasTopping,some,CheeseTopping
Caprina,hasTopping,only,CheeseTopping
Caprina,hasTopping,some,TomatoTopping
Caprina,hasTopping,some,TomatoTopping
Caprina,hasTopping,only,TomatoTopping
CheeseTopping,hasSpiciness,some,Mild
CheeseTopping,hasSpiciness,some,Mild
CheeseTopping,hasSpiciness,only,Mild
CheeseTopping,isToppingOf,some,NamedPizza
CheeseTopping,isToppingOf,some,NamedPizza
CheeseTopping,isToppingOf,only,NamedPizza
CheeseyVegetableTopping,hasIngredient,some,CheeseTopping
CheeseyVegetableTopping,hasIngredient,some,CheeseTopping
CheeseyVegetableTopping,hasIngredient,only,CheeseTopping
CheeseyVegetableTopping,hasIngredient,some,VegetableTopping
CheeseyVegetableTopping,hasIngredient,some,VegetableTopping
CheeseyVegetableTopping,hasIngredient,only,VegetableTopping
CheeseyVegetableTopping,hasSpiciness,some,Spiciness
CheeseyVegetableTopping,hasSpiciness,some,Spiciness
CheeseyVegetableTopping,hasSpiciness,only,Spiciness
CheeseyVegetableTopping,isToppingOf,some,NamedPizza
CheeseyVegetableTopping,isToppingOf,some,NamedPizza
CheeseyVegetableTopping,isToppingOf,only,NamedPizza
ChickenTopping,hasSpiciness,some,Mild
ChickenTopping,hasSpiciness,some,Mild
ChickenTopping,hasSpiciness,only,Mild
ChickenTopping,hasTopping,some,MeatTopping
ChickenTopping,hasTopping,some,MeatTopping
ChickenTopping,hasTopping,only,MeatTopping
ChickenTopping,hasTopping,some,PizzaTopping
DeepPanBase,hasTopping,some,PizzaTopping
DeepPanBase,hasTopping,some,PizzaTopping
DeepPanBase,hasTopping,only,PizzaTopping
DeepPanBase,hasIngredient,some,PizzaTopping
DeepPanBase,hasTopping,some,Food
DomainConcept,hasBase,some,PizzaBase
DomainConcept,hasBase,some,PizzaBase
DomainConcept,hasBase,only,PizzaBase
DomainConcept,hasIngredient,some,Food
DomainConcept,hasIngredient,some,Food
DomainConcept,hasIngredient,only,Food
DomainConcept,hasSpiciness,some,Spiciness
DomainConcept,hasSpiciness,some,Spiciness
DomainConcept,hasSpiciness,only,Spiciness
DomainConcept,hasTopping,some,PizzaTopping
DomainConcept,hasTopping,some,PizzaTopping
DomainConcept,hasTopping,only,PizzaTopping
DomainConcept,hasTopping,some,Food
Fiorentina,hasBase,some,PizzaBase
Fiorentina,hasBase,some,PizzaBase
Fiorentina,hasBase,only,PizzaBase
Fiorentina,hasIngredient,some,Food
Fiorentina,hasIngredient,some,Food
Fiorentina,hasIngredient,only,Food
Fiorentina,hasTopping,some,PizzaTopping
Fiorentina,hasTopping,some,PizzaTopping
Fiorentina,hasTopping,only,PizzaTopping
Food,hasBase,some,PizzaBase
Food,hasBase,some,PizzaBase
Food,hasBase,only,PizzaBase
Food,hasIngredient,some,PizzaBase
Food,hasCountryOfOrigin,some,DomainConcept
Food,hasCountryOfOrigin,some,DomainConcept
Food,hasCountryOfOrigin,only,DomainConcept
Food,hasIngredient,some,Food
Food,hasIngredient,some,Food
Food,hasIngredient,only,Food
Food,hasSpiciness,some,Spiciness
Food,hasSpiciness,some,Spiciness
Food,hasSpiciness,only,Spiciness
Food,hasTopping,some,PizzaTopping
Food,hasTopping,some,PizzaTopping
Food,hasTopping,only,PizzaTopping
Food,hasIngredient,some,PizzaTopping
FourCheesesTopping,hasIngredient,some,CheeseTopping
FourCheesesTopping,hasIngredient,some,CheeseTopping
FourCheesesTopping,hasIngredient,only,CheeseTopping
FourCheesesTopping,hasSpiciness,some,Mild
FourCheesesTopping,hasSpiciness,some,Mild
FourCheesesTopping,hasSpiciness,only,Mild
FourCheesesTopping,isToppingOf,some,Pizza
FourCheesesTopping,isToppingOf,some,Pizza
FourCheesesTopping,isToppingOf,only,Pizza
FourSeasons,hasBase,exactly 1,PizzaBase
FourSeasons,hasBase,exactly 1,PizzaBase
FourSeasons,hasBase,some,PizzaBase
FourSeasons,hasBase,only,PizzaBase
FourSeasons,hasIngredient,some,Food
FourSeasons,hasIngredient,some,Food
FourSeasons,hasIngredient,only,Food
FourSeasons,hasSpiciness,some,Spiciness
FourSeasons,hasSpiciness,some,Spiciness
FourSeasons,hasSpiciness,only,Spiciness
FourSeasons,hasTopping,some,PizzaTopping
FourSeasons,hasTopping,some,PizzaTopping
FourSeasons,hasTopping,only,PizzaTopping
FourSeasons,hasTopping,some,Food
FruitTopping,hasIngredient,some,FruitTopping
FruitTopping,hasIngredient,some,FruitTopping
FruitTopping,hasIngredient,only,FruitTopping
FruitTopping,hasTopping,some,PizzaTopping
FruitTopping,hasTopping,some,PizzaTopping
FruitTopping,hasTopping,only,PizzaTopping
FruitTopping,hasTopping,some,Food
FruitTopping,isToppingOf,some,NamedPizza
FruitTopping,isToppingOf,some,NamedPizza
FruitTopping,isToppingOf,only,NamedPizza
FruttiDiMare,hasBase,some,PizzaBase
FruttiDiMare,hasBase,some,PizzaBase
FruttiDiMare,hasBase,only,PizzaBase
FruttiDiMare,hasTopping,some,GarlicTopping
FruttiDiMare,hasTopping,some,GarlicTopping
FruttiDiMare,hasTopping,only,GarlicTopping
FruttiDiMare,hasTopping,some,MixedSeafoodTopping
FruttiDiMare,hasTopping,some,MixedSeafoodTopping
FruttiDiMare,hasTopping,only,MixedSeafoodTopping
FruttiDiMare,hasTopping,some,TomatoTopping
FruttiDiMare,hasTopping,some,TomatoTopping
FruttiDiMare,hasTopping,only,TomatoTopping
GarlicTopping,hasSpiciness,some,Medium
GarlicTopping,hasSpiciness,some,Medium
GarlicTopping,hasSpiciness,only,Medium
GarlicTopping,hasTopping,some,VegetableTopping
GarlicTopping,hasTopping,some,VegetableTopping
GarlicTopping,hasTopping,only,VegetableTopping
GarlicTopping,isIngredientOf,some,PizzaTopping
GarlicTopping,isIngredientOf,some,PizzaTopping
GarlicTopping,isIngredientOf,only,PizzaTopping
GarlicTopping,isIngredientOf,some,Food
Giardiniera,hasBase,exactly 1,PizzaBase
Giardiniera,hasBase,exactly 1,PizzaBase
Giardiniera,hasBase,some,PizzaBase
Giardiniera,hasBase,only,PizzaBase
Giardiniera,hasIngredient,some,Food
Giardiniera,hasIngredient,some,Food
Giardiniera,hasIngredient,only,Food
Giardiniera,hasSpiciness,some,Spiciness
