subject,predicate,rtype,object
Animal,inhabits,some,Habitat
AnimalCollective,has-member,only,Animal
Apple,eaten-by,some,Animal
Bask,has-member,only,Animal
Berry,eaten-by,some,Animal
Branch,is-proper-part-of,some,Tree
Carnivore,eats,only,Animal
CarnivorousPlant,eats,some,Animal
Carrot,eaten-by,some,Animal
Carrot,has-part,some,Root
Cloud,has-member,some,Animal
Colony,has-member,some,Animal
Colony,inhabits,some,Habitat
Den,has-member,some,Animal
Distribution,has-part,some,Habitat
Elephant,inhabits,some,Habitat
Flight,has-member,some,Animal
FruitingBody,is-part-of,some,Plant
Giraffe,eats,some,Leaf
Giraffe,eats,some,Twig
Giraffe,inhabits,some,Habitat
Grass,eaten-by,some,Herbivore
Grass,has-part,some,Leaf
Grass,has-part,some,Stem
Grass,inhabits,some,Habitat
Habitat,has-member,some,Animal
Habitat,has-member,some,Plant
Herbivore,eats,only,Plant
Herd,has-member,some,Elephant
HypoCarnivores,eats,some,Animal
HypoCarnivores,eats,some,Plant
Impala,eaten-by,some,Carnivore
Impala,eats,some,Grass
Impala,eats,some,Leaf
Impala,inhabits,some,Habitat
Kettle,has-member,some,Animal
Leaf,is-part-of,some,Plant
Leaf,is-proper-part-of,some,Branch
Lion,eats,some,Herbivore
MesoCarnivore,eats,some,Animal
MesoCarnivore,eats,some,Plant
Nest,has-part,some,Leaf
Nest,has-part,some,Twig
Nest,inhabits,some,Habitat
ObligateCarnivore,eats,only,Animal
Omnivore,eats,some,Animal
Omnivore,eats,some,Plant
Omnivore,inhabits,some,Habitat
Palm,eaten-by,some,Animal
Palm,has-part,some,Leaf
Palm,has-part,some,Stem
Palmtree,has-part,some,Leaf
Palmtree,inhabits,some,Habitat
Parsnip,inhabits,some,Habitat
Phloem,is-part-of,some,Stem
Plant,has-part,some,PlantParts
PlantParts,is-part-of,some,Plant
Predator,eats,some,Prey
Prey,eaten-by,some,Predator
Rhumba,has-member,some,Animal
RockDassie,eats,some,Grass
RockDassie,eats,some,Leaf
RockDassie,inhabits,some,Habitat
Role,inheres-in,some,Animal
Root,is-part-of,only,Plant
Scourge,has-member,only,Animal
Stem,is-proper-part-of,some,Plant
Swarm,has-member,some,Animal
Tasty-plant,eaten-by,some,Animal
Tree,has-part,some,Branch
Tree,has-part,some,Leaf
Tree,has-part,some,Stem
Troop,has-member,some,Animal
Twig,has-part,some,Leaf
Twig,is-part-of,some,Plant
Twig,is-proper-part-of,some,Tree
Warthog,eats,some,Animal
Warthog,eats,some,FruitingBody
Warthog,eats,some,Grass
Warthog,eats,some,Root
Warthog,inhabits,some,Habitat
Xylem,is-part-of,some,Plant
Xylem,is-proper-part-of,some,Stem
Zeal,has-member,some,Animal
