subject,predicate,rtype,object
American,hasBase,some,PizzaBase
American,hasCountryOfOrigin,some,Country
American,hasTopping,only,(MozzarellaTopping or PeperoniSausageTopping)
American,hasTopping,some,MozzarellaTopping
American,hasTopping,some,PeperoniSausageTopping
American,hasTopping,some,TomatoTopping
AmericanHot,hasBase,some,PizzaBase
AmericanHot,hasCountryOfOrigin,some,Country
AmericanHot,hasSpiciness,only,Hot
AmericanHot,hasSpiciness,some,Hot
AmericanHot,hasTopping,only,(JalapenoPepperTopping or PeperoniSausageTopping or TomatoTopping)
AmericanHot,hasTopping,some,HotGreenPepperTopping
AmericanHot,hasTopping,some,JalapenoPepperTopping
AmericanHot,hasTopping,some,MeatTopping
AmericanHot,hasTopping,some,MozzarellaTopping
AmericanHot,hasTopping,some,TomatoTopping
AnchoviesTopping,hasSpiciness,some,Mild
AnchoviesTopping,isToppingOf,some,Pizza
ArtichokeTopping,hasSpiciness,some,Mild
ArtichokeTopping,isToppingOf,only,Pizza
ArtichokeTopping,isToppingOf,some,Pizza
AsparagusTopping,hasSpiciness,some,Mild
AsparagusTopping,isToppingOf,some,Pizza
Cajun,hasIngredient,only,TomatoTopping
Cajun,hasSpiciness,some,Medium
Cajun,hasTopping,only,(MozzarellaTopping or OnionTopping or PeperonataTopping or PrawnsTopping or TobascoPepperSauce)
Cajun,hasTopping,some,CheeseTopping
CajunSpiceTopping,hasSpiciness,some,Hot
CajunSpiceTopping,isToppingOf,only,Pizza
CajunSpiceTopping,isToppingOf,some,Pizza
CaperTopping,hasSpiciness,some,Mild
CaperTopping,isToppingOf,only,Pizza
CaperTopping,isToppingOf,some,Pizza
Capricciosa,hasBase,only,PizzaBase
Capricciosa,hasBase,some,PizzaBase
Capricciosa,hasTopping,only,(CaperTopping or HamTopping or OliveTopping or TomatoTopping)
Capricciosa,hasTopping,some,AnchoviesTopping
Capricciosa,hasTopping,some,CaperTopping
Capricciosa,hasTopping,some,MozzarellaTopping
Capricciosa,hasTopping,some,OliveTopping
Capricciosa,hasTopping,some,PeperonataTopping
Caprina,hasBase,only,PizzaBase
Caprina,hasBase,some,PizzaBase
Caprina,hasTopping,only,MozzarellaTopping
Caprina,hasTopping,some,CheeseTopping
Caprina,hasTopping,some,SauceTopping
Caprina,hasTopping,some,TomatoTopping
CheeseTopping,isToppingOf,only,Pizza
CheeseTopping,isToppingOf,some,Pizza
CheeseyPizza,hasTopping,some,CheeseTopping
CheeseyVegetableTopping,hasIngredient,some,CheeseTopping
CheeseyVegetableTopping,hasIngredient,some,VegetableTopping
CheeseyVegetableTopping,hasTopping,some,CheeseTopping
CheeseyVegetableTopping,hasTopping,some,VegetableTopping
ChickenTopping,hasSpiciness,some,Mild
ChickenTopping,isToppingOf,only,Pizza
ChickenTopping,isToppingOf,some,Pizza
Country,hasCountryOfOrigin,only,(Food or Pizza)
DeepPanBase,isBaseOf,only,Pizza
DeepPanBase,isBaseOf,some,Pizza
Fiorentina,hasBase,some,PizzaBase
Fiorentina,hasTopping,only,(MozzarellaTopping or OliveTopping or ParmesanTopping or SpinachTopping)
Fiorentina,hasTopping,some,CheeseTopping
Fiorentina,hasTopping,some,OliveTopping
Fiorentina,hasTopping,some,SpinachTopping
Fiorentina,hasTopping,some,TomatoTopping
FourCheesesTopping,hasIngredient,some,CheeseTopping
FourCheesesTopping,hasSpiciness,some,Mild
FourSeasons,hasBase,some,PizzaBase
