subject,predicate,rtype,object
American,hasBase,some,PizzaBase
American,hasCountryOfOrigin,some,Country
American,hasTopping,some,MozzarellaTopping
American,hasTopping,some,PeperoniSausageTopping
American,hasTopping,some,TomatoTopping
AmericanHot,hasBase,some,PizzaBase
AmericanHot,hasCountryOfOrigin,some,Country
AmericanHot,hasSpiciness,some,Hot
AmericanHot,hasTopping,some,HotGreenPepperTopping
AmericanHot,hasTopping,some,JalapenoPepperTopping
AmericanHot,hasTopping,some,MozzarellaTopping
AmericanHot,hasTopping,some,PeperoniSausageTopping
AmericanHot,hasTopping,some,TomatoTopping
AnchoviesTopping,hasSpiciness,some,Mild
AnchoviesTopping,isToppingOf,some,Pizza
ArtichokeTopping,hasSpiciness,some,Mild
ArtichokeTopping,isToppingOf,some,Pizza
AsparagusTopping,hasSpiciness,some,Mild
AsparagusTopping,isToppingOf,some,Pizza
CajunSpiceTopping,hasSpiciness,some,Hot
CajunSpiceTopping,isToppingOf,some,Pizza
CaperTopping,hasSpiciness,some,Mild
CaperTopping,isToppingOf,some,Pizza
Capricciosa,hasBase,some,PizzaBase
Capricciosa,hasTopping,some,AnchoviesTopping
Capricciosa,hasTopping,some,CaperTopping
Capricciosa,hasTopping,some,MozzarellaTopping
Capricciosa,hasTopping,some,OliveTopping
Caprina,hasBase,some,PizzaBase
CheeseTopping,isToppingOf,some,Pizza
CheeseyPizza,hasTopping,some,CheeseTopping
CheeseyVegetableTopping,hasIngredient,some,CheeseTopping
CheeseyVegetableTopping,hasIngredient,some,VegetableTopping
ChickenTopping,hasSpiciness,some,Mild
ChickenTopping,isToppingOf,some,Pizza
Country,hasCountryOfOrigin,only,Pizza
DeepPanBase,isBaseOf,some,Pizza
Fiorentina,hasBase,some,PizzaBase
Fiorentina,hasTopping,some,TomatoTopping
FourCheesesTopping,hasIngredient,some,CheeseTopping
FourCheesesTopping,hasSpiciness,some,Mild
FourSeasons,hasBase,some,PizzaBase
FruitTopping,isToppingOf,some,Pizza
GarlicTopping,hasSpiciness,only,Medium
GoatsCheeseTopping,hasSpiciness,some,Mild
GorgonzolaTopping,hasSpiciness,some,Mild
GorgonzolaTopping,isToppingOf,some,Pizza
HerbSpiceTopping,isToppingOf,some,Pizza
Hot,hasSpiciness,some,Hot
HotGreenPepperTopping,hasSpiciness,hasValue,Hot
HotGreenPepperTopping,isToppingOf,some,Pizza
HotSpicedBeefTopping,hasSpiciness,some,Hot
HotSpicedBeefTopping,isToppingOf,some,Pizza
JalapenoPepperTopping,hasSpiciness,some,Hot
LaReine,hasBase,some,PizzaBase
LaReine,hasTopping,some,HamTopping
LaReine,hasTopping,some,OliveTopping
LaReine,hasTopping,some,TomatoTopping
LeekTopping,hasSpiciness,some,Mild
LeekTopping,isToppingOf,some,Pizza
Margherita,hasBase,some,PizzaBase
Margherita,hasTopping,some,MozzarellaTopping
Margherita,hasTopping,some,TomatoTopping
MeatTopping,isToppingOf,some,Pizza
MeatyPizza,hasTopping,some,MeatTopping
Mild,hasSpiciness,hasValue,Mild
MixedSeafoodTopping,hasSpiciness,only,Mild
MixedSeafoodTopping,isToppingOf,some,Pizza
MozzarellaTopping,hasCountryOfOrigin,some,Country
MozzarellaTopping,hasSpiciness,some,Mild
MozzarellaTopping,isToppingOf,some,Pizza
Mushroom,hasBase,some,PizzaBase
Mushroom,hasTopping,some,MozzarellaTopping
Mushroom,hasTopping,some,MushroomTopping
