subject,predicate,rtype,object
American,hasBase,some,PizzaBase
American,hasBase,only,PizzaBase
American,hasCountryOfOrigin,some,Country
American,hasCountryOfOrigin,some,Country
American,hasCountryOfOrigin,only,Country
American,hasTopping,some,MozzarellaTopping
American,hasTopping,some,MozzarellaTopping
American,hasTopping,only,MozzarellaTopping
American,hasTopping,some,CheeseTopping
American,hasTopping,some,PeperoniSausageTopping
American,hasTopping,some,PeperoniSausageTopping
American,hasTopping,only,PeperoniSausageTopping
American,hasTopping,some,MeatTopping
American,hasTopping,some,TomatoTopping
American,hasTopping,only,TomatoTopping
American,hasTopping,some,VegetableTopping
AmericanHot,hasBase,some,PizzaBase
AmericanHot,hasBase,some,PizzaBase
AmericanHot,hasBase,only,PizzaBase
AmericanHot,hasCountryOfOrigin,some,Country
AmericanHot,hasCountryOfOrigin,only,Country
AmericanHot,hasSpiciness,some,Hot
AmericanHot,hasSpiciness,some,Hot
AmericanHot,hasSpiciness,only,Hot
AmericanHot,hasTopping,some,HotGreenPepperTopping
AmericanHot,hasTopping,only,HotGreenPepperTopping
AmericanHot,hasTopping,some,JalapenoPepperTopping
AmericanHot,hasTopping,only,JalapenoPepperTopping
AmericanHot,hasTopping,some,PepperTopping
AmericanHot,hasTopping,some,MozzarellaTopping
AmericanHot,hasTopping,some,MozzarellaTopping
AmericanHot,hasTopping,only,MozzarellaTopping
AmericanHot,hasTopping,some,CheeseTopping
AmericanHot,hasTopping,some,PeperoniSausageTopping
AmericanHot,hasTopping,some,PeperoniSausageTopping
AmericanHot,hasTopping,only,PeperoniSausageTopping
AmericanHot,hasTopping,some,MeatTopping
AmericanHot,hasTopping,some,TomatoTopping
AmericanHot,hasTopping,only,TomatoTopping
AmericanHot,hasTopping,some,VegetableTopping
AnchoviesTopping,hasSpiciness,some,Mild
AnchoviesTopping,hasSpiciness,only,Mild
AnchoviesTopping,isToppingOf,some,Pizza
AnchoviesTopping,isToppingOf,some,Pizza
AnchoviesTopping,isToppingOf,only,Pizza
AnchoviesTopping,isToppingOf,some,Food
ArtichokeTopping,hasSpiciness,some,Mild
ArtichokeTopping,hasSpiciness,only,Mild
ArtichokeTopping,isToppingOf,some,Pizza
ArtichokeTopping,isToppingOf,some,Pizza
ArtichokeTopping,isToppingOf,only,Pizza
ArtichokeTopping,isToppingOf,some,Food
AsparagusTopping,hasSpiciness,some,Mild
AsparagusTopping,hasSpiciness,some,Mild
AsparagusTopping,hasSpiciness,only,Mild
AsparagusTopping,isToppingOf,some,Pizza
AsparagusTopping,isToppingOf,some,Pizza
AsparagusTopping,isToppingOf,only,Pizza
AsparagusTopping,isToppingOf,some,Food
Cajun,hasIngredient,some,TomatoTopping
Cajun,hasIngredient,only,TomatoTopping
Cajun,hasSpiciness,some,Medium
Cajun,hasSpiciness,some,Medium
Cajun,hasSpiciness,only,Medium
Cajun,hasTopping,some,MozzarellaTopping
Cajun,hasTopping,some,MozzarellaTopping
Cajun,hasTopping,only,MozzarellaTopping
Cajun,hasTopping,some,CheeseTopping
Cajun,hasTopping,some,OnionTopping
Cajun,hasTopping,only,OnionTopping
Cajun,hasTopping,some,PeperonataTopping
Cajun,hasTopping,only,PeperonataTopping
Cajun,hasTopping,some,PrawnsTopping
Cajun,hasTopping,only,PrawnsTopping
Cajun,hasTopping,some,TobascoPepperSauce
Cajun,hasTopping,some,TobascoPepperSauce
Cajun,hasTopping,only,TobascoPepperSauce
CajunSpiceTopping,hasSpiciness,some,Hot
CajunSpiceTopping,hasSpiciness,some,Hot
CajunSpiceTopping,hasSpiciness,only,Hot
CajunSpiceTopping,isToppingOf,some,Pizza
CajunSpiceTopping,isToppingOf,some,Pizza
CajunSpiceTopping,isToppingOf,only,Pizza
CajunSpiceTopping,isToppingOf,some,Food
CaperTopping,hasSpiciness,some,Mild
CaperTopping,hasSpiciness,only,Mild
CaperTopping,isToppingOf,some,Pizza
CaperTopping,isToppingOf,some,Pizza
CaperTopping,isToppingOf,only,Pizza
CaperTopping,isToppingOf,some,Food
Capricciosa,hasBase,some,PizzaBase
Capricciosa,hasBase,some,PizzaBase
Capricciosa,hasBase,only,PizzaBase
Capricciosa,hasTopping,some,AnchoviesTopping
Capricciosa,hasTopping,only,AnchoviesTopping
Capricciosa,hasTopping,some,CaperTopping
Capricciosa,hasTopping,only,CaperTopping
Capricciosa,hasTopping,some,VegetableTopping
Capricciosa,hasTopping,some,HamTopping
Capricciosa,hasTopping,some,HamTopping
Capricciosa,hasTopping,only,HamTopping
Capricciosa,hasTopping,some,MeatTopping
Capricciosa,hasTopping,some,MozzarellaTopping
Capricciosa,hasTopping,only,MozzarellaTopping
Capricciosa,hasTopping,some,CheeseTopping
Capricciosa,hasTopping,some,OliveTopping
Capricciosa,hasTopping,only,OliveTopping
Capricciosa,hasTopping,some,VegetableTopping
Capricciosa,hasTopping,some,OliveTopping
Capricciosa,hasTopping,some,PeperonataTopping
Capricciosa,hasTopping,some,PeperonataTopping
Capricciosa,hasTopping,only,PeperonataTopping
Capricciosa,hasTopping,some,PepperTopping
Capricciosa,hasTopping,some,TomatoTopping
Capricciosa,hasTopping,some,TomatoTopping
Capricciosa,hasTopping,only,TomatoTopping
Capricciosa,hasTopping,some,VegetableTopping
Caprina,hasBase,some,PizzaBase
Caprina,hasBase,some,PizzaBase
Caprina,hasBase,only,PizzaBase
Caprina,hasTopping,some,GoatsCheeseTopping
Caprina,hasTopping,only,GoatsCheeseTopping
Caprina,hasTopping,some,CheeseTopping
Caprina,hasTopping,some,MozzarellaTopping
Caprina,hasTopping,only,MozzarellaTopping
Caprina,hasTopping,some,CheeseTopping
Caprina,hasTopping,some,SauceTopping
Caprina,hasTopping,some,SauceTopping
Caprina,hasTopping,only,SauceTopping
Caprina,hasTopping,some,PizzaTopping
Caprina,hasTopping,some,SundriedTomatoTopping
Caprina,hasTopping,only,SundriedTomatoTopping
Caprina,hasTopping,some,TomatoTopping
CheeseTopping,isToppingOf,some,Pizza
CheeseTopping,isToppingOf,some,Pizza
CheeseTopping,isToppingOf,only,Pizza
CheeseTopping,isToppingOf,some,Food
CheeseyPizza,hasTopping,some,CheeseTopping
CheeseyPizza,hasTopping,some,CheeseTopping
CheeseyPizza,hasTopping,only,CheeseTopping
CheeseyPizza,hasTopping,some,PizzaTopping
