subject,predicate,rtype,object
ActuatableProperty,madeActuation,only,Actuation
ActuatableProperty,madeActuation,some,Actuation
Actuation,actsOnProperty,only,ActuatableProperty
Actuation,actsOnProperty,some,ActuatableProperty
Actuation,hasFeatureOfInterest,only,FeatureOfInterest
Actuation,hasFeatureOfInterest,some,FeatureOfInterest
Actuation,hasResult,only,Result
Actuation,hasResult,some,Result
Actuation,usedProcedure,only,Procedure
Actuation,usedProcedure,some,Procedure
Actuator,actsOnProperty,only,ActuatableProperty
Actuator,actsOnProperty,some,ActuatableProperty
Deployment,deployedOnPlatform,only,Platform
Deployment,deployedOnPlatform,some,Platform
Deployment,deployedSystem,only,System
Deployment,deployedSystem,some,System
Deployment,forProperty,only,Property
Deployment,forProperty,some,Property
FeatureOfInterest,hasProperty,only,Property
FeatureOfInterest,hasProperty,some,Property
FeatureOfInterest,hasSample,only,Sample
FeatureOfInterest,hasSample,some,Sample
ObservableProperty,madeBySensor,only,Sensor
ObservableProperty,madeBySensor,some,Sensor
Observation,hasFeatureOfInterest,only,FeatureOfInterest
Observation,hasFeatureOfInterest,some,FeatureOfInterest
Observation,hasResult,only,Result
Observation,hasResult,some,Result
Observation,madeBySensor,only,Sensor
Observation,madeBySensor,some,Sensor
Observation,observedProperty,only,ObservableProperty
Observation,observedProperty,some,ObservableProperty
Observation,usedProcedure,only,Procedure
Observation,usedProcedure,some,Procedure
Observation,wasOriginatedBy,only,Stimulus
Observation,wasOriginatedBy,some,Stimulus
Output,madeByActuator,only,Actuator
Output,madeByActuator,some,Actuator
Output,madeBySampler,only,Sampler
Output,madeBySampler,some,Sampler
Output,madeBySensor,only,Sensor
Output,madeBySensor,some,Sensor
Platform,hasDeployment,only,Deployment
Platform,hasDeployment,some,Deployment
Platform,hosts,only,System
Platform,hosts,some,System
Procedure,deployedSystem,only,System
Procedure,deployedSystem,some,System
Procedure,hasInput,only,Input
Procedure,hasInput,some,Input
Procedure,hasOutput,only,Output
Procedure,hasOutput,some,Output
Property,hasFeatureOfInterest,only,FeatureOfInterest
Property,hasFeatureOfInterest,some,FeatureOfInterest
Result,hasFeatureOfInterest,only,FeatureOfInterest
Result,hasFeatureOfInterest,some,FeatureOfInterest
Result,isResultOf,only,Observation
Result,isResultOf,some,Observation
Sample,madeSampling,only,Sampling
Sample,madeSampling,some,Sampling
Sampler,hasFeatureOfInterest,only,FeatureOfInterest
Sampler,hasFeatureOfInterest,some,FeatureOfInterest
Sampler,madeSampling,only,Sampling
Sampler,madeSampling,some,Sampling
Sampling,hasFeatureOfInterest,only,FeatureOfInterest
Sampling,hasFeatureOfInterest,some,FeatureOfInterest
Sampling,hasSample,only,Sample
Sampling,hasSample,some,Sample
Sampling,madeBySampler,only,Sampler
Sampling,madeBySampler,some,Sampler
Sampling,usedProcedure,only,Procedure
Sampling,usedProcedure,some,Procedure
Sensor,detects,only,Stimulus
Sensor,detects,some,Stimulus
Sensor,observes,only,ObservableProperty
Sensor,observes,some,ObservableProperty
Stimulus,actsOnProperty,only,ObservableProperty
Stimulus,actsOnProperty,some,ObservableProperty
System,deployedOnPlatform,only,Platform
System,deployedOnPlatform,some,Platform
System,hasDeployment,only,Deployment
System,hasDeployment,some,Deployment
System,hasSubSystem,only,System
System,hasSubSystem,some,System
System,implements,only,Procedure
System,implements,some,Procedure
