constraint_key,subject,predicate,rtype,object,operation,description,combined
"ActuatableProperty,madeActuation,some,Actuation",ActuatableProperty,madeActuation,some,Actuation,original,"An ActuatableProperty refers to a characteristic or attribute of a system that can be influenced or modified through a specific action. This property is designed to be directly affected by an actuation process, indicating a clear relationship between the property and the action taken. ActuatableProperties are integral to systems that require active manipulation, allowing for dynamic control and adjustment. They play a crucial role in the functionality of actuators within various applications. ['This property is designed to be directly affected by an actuation process, indicating a clear relationship between the property and the action taken.']","An ActuatableProperty refers to a characteristic or attribute of a system that can be influenced or modified through a specific action. This property is designed to be directly affected by an actuation process, indicating a clear relationship between the property and the action taken. ActuatableProperties are integral to systems that require active manipulation, allowing for dynamic control and adjustment. They play a crucial role in the functionality of actuators within various applications. ['This property is designed to be directly affected by an actuation process, indicating a clear relationship between the property and the action taken.']"
"ActuatableProperty,madeActuation,some,Actuation",ActuatableProperty,madeActuation,only,Actuation,variant_rtype,"This property is designed to be directly affected by an actuation process, indicating a clear relationship between the property and the action taken. If any actuation processes exist, they must all correspond to the defined Actuation.","An ActuatableProperty refers to a characteristic or attribute of a system that can be influenced or modified through a specific action. This property is designed to be directly affected by an actuation process, indicating a clear relationship between the property and the action taken. ActuatableProperties are integral to systems that require active manipulation, allowing for dynamic control and adjustment. They play a crucial role in the functionality of actuators within various applications. ['This property is designed to be directly affected by an actuation process, indicating a clear relationship between the property and the action taken.']"
"ActuatableProperty,madeActuation,some,Actuation",ActuatableProperty,madeActuation,some,Actuation,remove,"This property represents a characteristic of a system that can be modified or influenced. It plays a crucial role in systems requiring dynamic control, enabling adjustments and responsiveness without being tied to a specific actuation process.","An ActuatableProperty refers to a characteristic or attribute of a system that can be influenced or modified through a specific action. This property is designed to be directly affected by an actuation process, indicating a clear relationship between the property and the action taken. ActuatableProperties are integral to systems that require active manipulation, allowing for dynamic control and adjustment. They play a crucial role in the functionality of actuators within various applications. ['This property is designed to be directly affected by an actuation process, indicating a clear relationship between the property and the action taken.']"
"Actuation,actsOnProperty,some,ActuatableProperty",Actuation,actsOnProperty,some,ActuatableProperty,original,"Actuation refers to the process by which an actuator exerts influence on a specific property, typically an actuatable property, to achieve a desired effect. This process is closely tied to a particular feature of interest, which is the focus of the actuation. Each actuation yields a specific result, reflecting the outcome of the interaction between the actuator and the property it acts upon. The actuation is guided by a defined procedure that outlines the steps necessary to achieve the intended outcome. ['an actuator exerts influence on a specific property, typically an actuatable property.']","Actuation refers to the process by which an actuator exerts influence on a specific property, typically an actuatable property, to achieve a desired effect. This process is closely tied to a particular feature of interest, which is the focus of the actuation. Each actuation yields a specific result, reflecting the outcome of the interaction between the actuator and the property it acts upon. The actuation is guided by a defined procedure that outlines the steps necessary to achieve the intended outcome. ['an actuator exerts influence on a specific property, typically an actuatable property.']"
"Actuation,actsOnProperty,some,ActuatableProperty",Actuation,actsOnProperty,some,ActuatableProperty,remove,"An actuator exerts influence to achieve a desired effect, following a defined procedure that outlines the steps necessary for the outcome.","Actuation refers to the process by which an actuator exerts influence on a specific property, typically an actuatable property, to achieve a desired effect. This process is closely tied to a particular feature of interest, which is the focus of the actuation. Each actuation yields a specific result, reflecting the outcome of the interaction between the actuator and the property it acts upon. The actuation is guided by a defined procedure that outlines the steps necessary to achieve the intended outcome. ['an actuator exerts influence on a specific property, typically an actuatable property.']"
"Actuation,actsOnProperty,some,ActuatableProperty",Actuation,actsOnProperty,only,ActuatableProperty,variant_rtype,"An actuator exerts influence on a specific property, typically an actuatable property. If any properties are acted upon, they must all be actuatable properties.","Actuation refers to the process by which an actuator exerts influence on a specific property, typically an actuatable property, to achieve a desired effect. This process is closely tied to a particular feature of interest, which is the focus of the actuation. Each actuation yields a specific result, reflecting the outcome of the interaction between the actuator and the property it acts upon. The actuation is guided by a defined procedure that outlines the steps necessary to achieve the intended outcome. ['an actuator exerts influence on a specific property, typically an actuatable property.']"
"Actuation,actsOnProperty,some,ActuatableProperty",Actuation,actsOnProperty,some,Property,generalize,"An actuator exerts influence on a specific property, typically a Property.","Actuation refers to the process by which an actuator exerts influence on a specific property, typically an actuatable property, to achieve a desired effect. This process is closely tied to a particular feature of interest, which is the focus of the actuation. Each actuation yields a specific result, reflecting the outcome of the interaction between the actuator and the property it acts upon. The actuation is guided by a defined procedure that outlines the steps necessary to achieve the intended outcome. ['an actuator exerts influence on a specific property, typically an actuatable property.']"
"Actuation,hasFeatureOfInterest,some,FeatureOfInterest",Actuation,hasFeatureOfInterest,some,FeatureOfInterest,original,"Actuation refers to the process by which an actuator exerts influence on a specific property, typically an actuatable property, to achieve a desired effect. This process is closely tied to a particular feature of interest, which is the focus of the actuation. Each actuation yields a specific result, reflecting the outcome of the interaction between the actuator and the property it acts upon. The actuation is guided by a defined procedure that outlines the steps necessary to achieve the intended outcome. ['closely tied to a particular feature of interest, which is the focus of the actuation.']","Actuation refers to the process by which an actuator exerts influence on a specific property, typically an actuatable property, to achieve a desired effect. This process is closely tied to a particular feature of interest, which is the focus of the actuation. Each actuation yields a specific result, reflecting the outcome of the interaction between the actuator and the property it acts upon. The actuation is guided by a defined procedure that outlines the steps necessary to achieve the intended outcome. ['closely tied to a particular feature of interest, which is the focus of the actuation.']"
"Actuation,hasFeatureOfInterest,some,FeatureOfInterest",Actuation,hasFeatureOfInterest,only,FeatureOfInterest,variant_rtype,"Actuation refers to the process by which an actuator exerts influence on a specific property to achieve a desired effect. It is closely tied to a particular feature of interest, which guides the actuation process. If any features of interest are present, they must all be the defined feature of interest.","Actuation refers to the process by which an actuator exerts influence on a specific property, typically an actuatable property, to achieve a desired effect. This process is closely tied to a particular feature of interest, which is the focus of the actuation. Each actuation yields a specific result, reflecting the outcome of the interaction between the actuator and the property it acts upon. The actuation is guided by a defined procedure that outlines the steps necessary to achieve the intended outcome. ['closely tied to a particular feature of interest, which is the focus of the actuation.']"
"Actuation,hasResult,some,Result",Actuation,hasResult,some,Result,original,"Actuation refers to the process by which an actuator exerts influence on a specific property, typically an actuatable property, to achieve a desired effect. This process is closely tied to a particular feature of interest, which is the focus of the actuation. Each actuation yields a specific result, reflecting the outcome of the interaction between the actuator and the property it acts upon. The actuation is guided by a defined procedure that outlines the steps necessary to achieve the intended outcome. ['each actuation yields a specific result, reflecting the outcome of the interaction.']","Actuation refers to the process by which an actuator exerts influence on a specific property, typically an actuatable property, to achieve a desired effect. This process is closely tied to a particular feature of interest, which is the focus of the actuation. Each actuation yields a specific result, reflecting the outcome of the interaction between the actuator and the property it acts upon. The actuation is guided by a defined procedure that outlines the steps necessary to achieve the intended outcome. ['each actuation yields a specific result, reflecting the outcome of the interaction.']"
