subject,predicate,rtype,object
ActuatableProperty,madeActuation,some,Actuation
Actuation,actsOnProperty,some,ActuatableProperty
Actuation,hasFeatureOfInterest,some,FeatureOfInterest
Actuation,hasResult,some,Result
Actuation,usedProcedure,some,Procedure
Actuator,actsOnProperty,some,ActuatableProperty
Deployment,deployedOnPlatform,some,Platform
Deployment,deployedSystem,some,System
Deployment,forProperty,some,Property
FeatureOfInterest,hasProperty,some,Property
FeatureOfInterest,hasSample,some,Sample
ObservableProperty,madeBySensor,some,Sensor
Observation,hasFeatureOfInterest,some,FeatureOfInterest
Observation,hasResult,some,Result
Observation,madeBySensor,some,Sensor
Observation,observedProperty,some,ObservableProperty
Observation,usedProcedure,some,Procedure
Observation,wasOriginatedBy,some,Stimulus
Output,madeByActuator,some,Actuator
Output,madeBySampler,some,Sampler
Output,madeBySensor,some,Sensor
Platform,hasDeployment,some,Deployment
Platform,hosts,only,System
Procedure,deployedSystem,some,System
Procedure,hasInput,some,Input
Procedure,hasOutput,some,Output
Property,hasFeatureOfInterest,some,FeatureOfInterest
Result,hasFeatureOfInterest,some,FeatureOfInterest
Result,isResultOf,some,Observation
Sample,madeSampling,some,Sampling
Sampler,hasFeatureOfInterest,only,FeatureOfInterest
Sampler,madeSampling,only,Sampling
Sampling,hasFeatureOfInterest,some,FeatureOfInterest
Sampling,hasSample,some,Sample
Sampling,madeBySampler,some,Sampler
Sampling,usedProcedure,some,Procedure
Sensor,detects,some,Stimulus
Sensor,observes,some,ObservableProperty
Stimulus,actsOnProperty,some,ObservableProperty
System,deployedOnPlatform,some,Platform
System,hasDeployment,some,Deployment
System,hasSubSystem,some,System
System,implements,some,Procedure
