subject,predicate,rtype,object
Apple,has-part,only,FruitingBody
Apple,has-part,some,FruitingBody
Apple,is-part-of,only,Tree
Apple,is-part-of,some,Tree
Berry,eaten-by,only,Animal
Berry,eaten-by,some,Animal
Carnivore,eats,only,Animal
Carnivore,eats,some,Animal
CarnivorousPlant,eats,only,Animal
CarnivorousPlant,eats,some,Animal
Carrot,eaten-by,only,Herbivore
Carrot,eaten-by,some,Herbivore
Carrot,has-part,only,(PlantParts or Root)
Carrot,has-part,some,Root
Colony,is-part-of,only,AnimalCollective
Colony,is-part-of,some,AnimalCollective
DeprecatedClass,has-part,only,Palmtree
DeprecatedClass,has-part,some,Palmtree
Distribution,has-part,some,Habitat
Distribution,inhabits,only,Habitat
Distribution,inhabits,some,Habitat
Elephant,eats,only,Plant
Elephant,eats,some,Plant
Flight,has-member,only,Animal
Flight,has-member,some,Animal
FruitingBody,eaten-by,only,Animal
FruitingBody,eaten-by,some,Animal
FruitingBody,has-part,only,PlantParts
FruitingBody,has-part,some,PlantParts
FruitingBody,is-part-of,only,Plant
FruitingBody,is-part-of,some,Plant
Giraffe,eats,only,Plant
Giraffe,eats,some,Plant
Grass,eaten-by,only,Herbivore
Grass,eaten-by,some,Herbivore
Habitat,has-member,only,(Animal or Plant)
Habitat,has-member,some,Animal
Habitat,has-member,some,Plant
Habitat,has-part,only,PlantParts
Habitat,has-part,some,Animal
Habitat,has-part,some,Plant
Habitat,has-part,some,PlantParts
Herbivore,eats,only,Plant
Herbivore,eats,some,Plant
Herd,has-member,only,Animal
Herd,has-member,some,Animal
HypoCarnivores,eats,some,Plant
HypoCarnivores,is-part-of,only,Carnivore
HypoCarnivores,is-part-of,some,Carnivore
Impala,eaten-by,only,Carnivore
Impala,eaten-by,some,Carnivore
Impala,eats,only,Grass
Impala,eats,some,Grass
Impala,is-part-of,only,Herd
Impala,is-part-of,some,Herd
Leaf,has-part,only,PlantParts
Leaf,has-part,some,PlantParts
Leaf,is-proper-part-of,only,Plant
Leaf,is-proper-part-of,some,Plant
Lion,eats,only,Herbivore
Lion,eats,some,Herbivore
Lion,inhabits,only,Habitat
Lion,inhabits,some,Habitat
MesoCarnivore,eats,only,Animal
MesoCarnivore,eats,some,Animal
ObligateCarnivore,eats,only,Animal
ObligateCarnivore,eats,some,Animal
Omnivore,eats,only,(Animal or Plant)
Omnivore,eats,some,Animal
Omnivore,eats,some,Plant
Omnivore,has-part,only,AnimalCollective
Omnivore,has-part,some,AnimalCollective
Omnivore,inhabits,only,Habitat
Omnivore,inhabits,some,Habitat
Palm,has-part,only,(FruitingBody or Leaf)
Palm,has-part,some,FruitingBody
Palm,has-part,some,Leaf
Parsnip,eaten-by,only,Herbivore
Parsnip,eaten-by,some,Herbivore
Parsnip,has-part,only,Root
Parsnip,has-part,some,Root
Plant,has-part,only,PlantParts
Plant,has-part,some,PlantParts
PlantParts,has-part,only,PlantParts
PlantParts,has-part,some,PlantParts
Predator,eats,only,Animal
Predator,eats,some,Animal
Prey,eaten-by,only,Predator
Prey,eaten-by,some,Predator
RockDassie,eats,only,Grass
RockDassie,eats,some,Grass
Role,has-member,only,(Predator or Prey)
Role,has-member,some,Predator
Role,has-member,some,Prey
Role,has-part,some,Predator
Role,has-part,some,Prey
Root,has-part,only,PlantParts
Root,has-part,some,PlantParts
Root,is-part-of,only,Plant
Root,is-part-of,some,Plant
Stem,has-part,only,(Leaf or Phloem or PlantParts or Root or Xylem)
Stem,has-part,some,Leaf
Stem,has-part,some,Phloem
Stem,has-part,some,Plant
Stem,has-part,some,Root
Stem,is-part-of,only,Plant
Stem,is-part-of,some,Plant
Swarm,has-member,only,Animal
Swarm,has-member,some,Animal
Tasty-plant,eaten-by,only,(Carnivore or Herbivore)
Tasty-plant,eaten-by,some,Carnivore
Tasty-plant,eaten-by,some,Herbivore
Tasty-plant,has-part,only,PlantParts
Tasty-plant,has-part,some,PlantParts
Tasty-plant,is-part-of,only,Habitat
Tasty-plant,is-part-of,some,Habitat
Tree,has-part,only,(Branch or Leaf)
Tree,has-part,some,Branch
Tree,has-part,some,Leaf
Tree,inhabits,only,Habitat
Tree,inhabits,some,Habitat
Tree,is-part-of,only,Plant
Tree,is-part-of,some,Plant
Troop,has-member,only,Lion
Troop,has-member,some,Lion
Warthog,eats,only,(FruitingBody or Grass or Root)
Warthog,eats,some,FruitingBody
Warthog,eats,some,Grass
Warthog,eats,some,Root
Zeal,has-member,only,Animal
Zeal,has-member,some,Animal
Zeal,is-part-of,only,AnimalCollective
Zeal,is-part-of,some,AnimalCollective
