constraint_key,subject,predicate,rtype,object,operation,description,combined
"Animal,eats,some,Plant",Animal,eats,some,Plant,original,"This category encompasses a diverse range of living creatures that possess the ability to move independently, respond to stimuli, and engage in various behaviors necessary for survival. These beings can be found in various habitats across the continent, exhibiting a wide array of physical characteristics, sizes, and adaptations. They play vital roles in their ecosystems, contributing to the balance of nature through their interactions with other organisms and their environments. ['Animals engage in various behaviors necessary for survival, which includes eating, and they can be found in various habitats across the continent, interacting with other organisms such as plants.']","This category encompasses a diverse range of living creatures that possess the ability to move independently, respond to stimuli, and engage in various behaviors necessary for survival. These beings can be found in various habitats across the continent, exhibiting a wide array of physical characteristics, sizes, and adaptations. They play vital roles in their ecosystems, contributing to the balance of nature through their interactions with other organisms and their environments. ['Animals engage in various behaviors necessary for survival, which includes eating, and they can be found in various habitats across the continent, interacting with other organisms such as plants.']"
"Animal,eats,some,Plant",Animal,eats,some,Plant,remove,"This category encompasses a diverse range of living creatures that possess the ability to move independently, respond to stimuli, and engage in various behaviors necessary for survival. These beings can be found in various habitats across the continent, exhibiting a wide array of physical characteristics, sizes, and adaptations. They play vital roles in their ecosystems, contributing to the balance of nature through their interactions with other organisms and their environments.","This category encompasses a diverse range of living creatures that possess the ability to move independently, respond to stimuli, and engage in various behaviors necessary for survival. These beings can be found in various habitats across the continent, exhibiting a wide array of physical characteristics, sizes, and adaptations. They play vital roles in their ecosystems, contributing to the balance of nature through their interactions with other organisms and their environments. ['Animals engage in various behaviors necessary for survival, which includes eating, and they can be found in various habitats across the continent, interacting with other organisms such as plants.']"
"Animal,eats,some,Plant",Animal,eats,only,Plant,variant_rtype,"This category encompasses a diverse range of living creatures that possess the ability to move independently, respond to stimuli, and engage in various behaviors necessary for survival. These beings can be found in various habitats across the continent, exhibiting a wide array of physical characteristics, sizes, and adaptations. They play vital roles in their ecosystems, contributing to the balance of nature through their interactions with other organisms and their environments. If any animals eat, they must exclusively eat plants.","This category encompasses a diverse range of living creatures that possess the ability to move independently, respond to stimuli, and engage in various behaviors necessary for survival. These beings can be found in various habitats across the continent, exhibiting a wide array of physical characteristics, sizes, and adaptations. They play vital roles in their ecosystems, contributing to the balance of nature through their interactions with other organisms and their environments. ['Animals engage in various behaviors necessary for survival, which includes eating, and they can be found in various habitats across the continent, interacting with other organisms such as plants.']"
"AnimalCollective,has-member,some,Animal",AnimalCollective,has-member,some,Animal,original,"This category encompasses groups of animals that are referred to by specific collective names, such as a pride of lions or a herd of elephants. Each group is composed of individual animals, and these collective terms can vary widely, sometimes applying to multiple species or having different names for the same species depending on the context. The fascinating aspect of these names is their cultural significance, reflecting the rich diversity of wildlife in Africa and the nuances in how different species interact and are perceived in their natural habitats. ['Each group is composed of individual animals...']","This category encompasses groups of animals that are referred to by specific collective names, such as a pride of lions or a herd of elephants. Each group is composed of individual animals, and these collective terms can vary widely, sometimes applying to multiple species or having different names for the same species depending on the context. The fascinating aspect of these names is their cultural significance, reflecting the rich diversity of wildlife in Africa and the nuances in how different species interact and are perceived in their natural habitats. ['Each group is composed of individual animals...']"
"AnimalCollective,has-member,some,Animal",AnimalCollective,has-member,some,Animal,remove,"This category encompasses groups of animals that are referred to by specific collective names, such as a pride of lions or a herd of elephants. Each group is composed of individual animals, and these collective terms can vary widely, sometimes applying to multiple species or having different names for the same species depending on the context. The fascinating aspect of these names is their cultural significance, reflecting the rich diversity of wildlife in Africa and the nuances in how different species interact and are perceived in their natural habitats.","This category encompasses groups of animals that are referred to by specific collective names, such as a pride of lions or a herd of elephants. Each group is composed of individual animals, and these collective terms can vary widely, sometimes applying to multiple species or having different names for the same species depending on the context. The fascinating aspect of these names is their cultural significance, reflecting the rich diversity of wildlife in Africa and the nuances in how different species interact and are perceived in their natural habitats. ['Each group is composed of individual animals...']"
"AnimalCollective,has-member,some,Animal",AnimalCollective,has-member,only,Animal,variant_rtype,"This category encompasses groups of animals that are referred to by specific collective names, such as a pride of lions or a herd of elephants. Each group is composed of individual animals, and these collective terms can vary widely, sometimes applying to multiple species or having different names for the same species depending on the context. If any members exist, they must all be animals.","This category encompasses groups of animals that are referred to by specific collective names, such as a pride of lions or a herd of elephants. Each group is composed of individual animals, and these collective terms can vary widely, sometimes applying to multiple species or having different names for the same species depending on the context. The fascinating aspect of these names is their cultural significance, reflecting the rich diversity of wildlife in Africa and the nuances in how different species interact and are perceived in their natural habitats. ['Each group is composed of individual animals...']"
"AnimalCollective,has-member,some,Animal",AnimalCollective,has-part,some,Animal,prop_variant,"This category encompasses groups of animals that are referred to by specific collective names, such as a pride of lions or a herd of elephants. Each group is composed of individual animals, and these collective terms can vary widely, sometimes applying to multiple species or having different names for the same species depending on the context. The fascinating aspect of these names is their cultural significance, reflecting the rich diversity of wildlife in Africa and the nuances in how different species interact and are perceived in their natural habitats.","This category encompasses groups of animals that are referred to by specific collective names, such as a pride of lions or a herd of elephants. Each group is composed of individual animals, and these collective terms can vary widely, sometimes applying to multiple species or having different names for the same species depending on the context. The fascinating aspect of these names is their cultural significance, reflecting the rich diversity of wildlife in Africa and the nuances in how different species interact and are perceived in their natural habitats. ['Each group is composed of individual animals...']"
"Apple,has-part,some,FruitingBody",Apple,has-part,some,FruitingBody,original,"This type of fruit is a popular and widely cultivated food, known for its crisp texture and sweet to tart flavor. It grows on trees and is often enjoyed fresh, baked in desserts, or made into beverages like cider. As part of the plant kingdom, it develops from the flowering part of a tree and is an essential component of many diets around the world. ['Apple is a type of FruitingBody, which is a subclass of PlantParts.']","This type of fruit is a popular and widely cultivated food, known for its crisp texture and sweet to tart flavor. It grows on trees and is often enjoyed fresh, baked in desserts, or made into beverages like cider. As part of the plant kingdom, it develops from the flowering part of a tree and is an essential component of many diets around the world. ['Apple is a type of FruitingBody, which is a subclass of PlantParts.']"
"Apple,has-part,some,FruitingBody",Apple,has-part,some,FruitingBody,remove,"Apple is a popular and widely cultivated food, known for its crisp texture and sweet to tart flavor. It grows on trees and is often enjoyed fresh, baked in desserts, or made into beverages like cider. As part of the plant kingdom, it develops from the flowering part of a tree and is an essential component of many diets around the world.","This type of fruit is a popular and widely cultivated food, known for its crisp texture and sweet to tart flavor. It grows on trees and is often enjoyed fresh, baked in desserts, or made into beverages like cider. As part of the plant kingdom, it develops from the flowering part of a tree and is an essential component of many diets around the world. ['Apple is a type of FruitingBody, which is a subclass of PlantParts.']"
"Apple,has-part,some,FruitingBody",Apple,has-part,only,FruitingBody,variant_rtype,"Apple is a type of FruitingBody, which is a subclass of PlantParts. If any parts exist, they must all be FruitingBody.","This type of fruit is a popular and widely cultivated food, known for its crisp texture and sweet to tart flavor. It grows on trees and is often enjoyed fresh, baked in desserts, or made into beverages like cider. As part of the plant kingdom, it develops from the flowering part of a tree and is an essential component of many diets around the world. ['Apple is a type of FruitingBody, which is a subclass of PlantParts.']"
"Apple,is-part-of,some,Tree",Apple,is-part-of,some,Tree,original,"This type of fruit is a popular and widely cultivated food, known for its crisp texture and sweet to tart flavor. It grows on trees and is often enjoyed fresh, baked in desserts, or made into beverages like cider. As part of the plant kingdom, it develops from the flowering part of a tree and is an essential component of many diets around the world. ['It grows on trees and is often enjoyed fresh, baked in desserts, or made into beverages like cider.']","This type of fruit is a popular and widely cultivated food, known for its crisp texture and sweet to tart flavor. It grows on trees and is often enjoyed fresh, baked in desserts, or made into beverages like cider. As part of the plant kingdom, it develops from the flowering part of a tree and is an essential component of many diets around the world. ['It grows on trees and is often enjoyed fresh, baked in desserts, or made into beverages like cider.']"
"Apple,is-part-of,some,Tree",Apple,is-part-of,some,Tree,remove,"This type of fruit is a popular and widely cultivated food, known for its crisp texture and sweet to tart flavor. It is often enjoyed fresh, baked in desserts, or made into beverages like cider. As part of the plant kingdom, it develops from the flowering part of a tree and is an essential component of many diets around the world.","This type of fruit is a popular and widely cultivated food, known for its crisp texture and sweet to tart flavor. It grows on trees and is often enjoyed fresh, baked in desserts, or made into beverages like cider. As part of the plant kingdom, it develops from the flowering part of a tree and is an essential component of many diets around the world. ['It grows on trees and is often enjoyed fresh, baked in desserts, or made into beverages like cider.']"
"Apple,is-part-of,some,Tree",Apple,is-part-of,only,Tree,variant_rtype,"This type of fruit is a popular and widely cultivated food, known for its crisp texture and sweet to tart flavor. It grows on trees and is often enjoyed fresh, baked in desserts, or made into beverages like cider. If any part exists, it must exclusively be from the tree.","This type of fruit is a popular and widely cultivated food, known for its crisp texture and sweet to tart flavor. It grows on trees and is often enjoyed fresh, baked in desserts, or made into beverages like cider. As part of the plant kingdom, it develops from the flowering part of a tree and is an essential component of many diets around the world. ['It grows on trees and is often enjoyed fresh, baked in desserts, or made into beverages like cider.']"
"Berry,eaten-by,some,Animal",Berry,eaten-by,some,Animal,original,"This type of fruit is typically small, juicy, and often brightly colored, growing on various types of plants. They are known for their sweet and tangy flavors and are commonly found in nature, thriving in diverse environments. Berries are not only delicious but also packed with nutrients, making them a popular choice for both wildlife and humans. They usually develop from a single ovary and can contain one or more seeds, often serving as a vital food source for many animals. ['Berries are known to serve as a vital food source for many animals, indicating that they are consumed by various species within the Animal class.']","This type of fruit is typically small, juicy, and often brightly colored, growing on various types of plants. They are known for their sweet and tangy flavors and are commonly found in nature, thriving in diverse environments. Berries are not only delicious but also packed with nutrients, making them a popular choice for both wildlife and humans. They usually develop from a single ovary and can contain one or more seeds, often serving as a vital food source for many animals. ['Berries are known to serve as a vital food source for many animals, indicating that they are consumed by various species within the Animal class.']"
"Berry,eaten-by,some,Animal",Berry,eaten-by,some,Animal,remove,Berries are known to serve as a vital food source for many animals.,"This type of fruit is typically small, juicy, and often brightly colored, growing on various types of plants. They are known for their sweet and tangy flavors and are commonly found in nature, thriving in diverse environments. Berries are not only delicious but also packed with nutrients, making them a popular choice for both wildlife and humans. They usually develop from a single ovary and can contain one or more seeds, often serving as a vital food source for many animals. ['Berries are known to serve as a vital food source for many animals, indicating that they are consumed by various species within the Animal class.']"
"Berry,eaten-by,some,Animal",Berry,eaten-by,only,Animal,variant_rtype,"Berries are known to serve as a vital food source for many animals. If any animals consume berries, they must exclusively belong to the Animal class.","This type of fruit is typically small, juicy, and often brightly colored, growing on various types of plants. They are known for their sweet and tangy flavors and are commonly found in nature, thriving in diverse environments. Berries are not only delicious but also packed with nutrients, making them a popular choice for both wildlife and humans. They usually develop from a single ovary and can contain one or more seeds, often serving as a vital food source for many animals. ['Berries are known to serve as a vital food source for many animals, indicating that they are consumed by various species within the Animal class.']"
