subject,predicate,rtype,object
American,hasBase,only,PizzaBase
American,hasBase,some,PizzaBase
American,hasTopping,only,(MozzarellaTopping or TomatoTopping)
American,hasTopping,some,MozzarellaTopping
American,hasTopping,some,PeperoniSausageTopping
American,hasTopping,some,TomatoTopping
AmericanHot,hasBase,only,PizzaBase
AmericanHot,hasBase,some,PizzaBase
AmericanHot,hasCountryOfOrigin,exactly 1,American
AmericanHot,hasCountryOfOrigin,only,American
AmericanHot,hasCountryOfOrigin,some,American
AmericanHot,hasSpiciness,exactly 1,Hot
AmericanHot,hasSpiciness,only,Hot
AmericanHot,hasSpiciness,some,Hot
AmericanHot,hasTopping,only,MeatTopping
AmericanHot,hasTopping,some,MeatTopping
AnchoviesTopping,hasSpiciness,only,Mild
AnchoviesTopping,hasSpiciness,some,Mild
ArtichokeTopping,hasSpiciness,only,Mild
ArtichokeTopping,hasSpiciness,some,Mild
ArtichokeTopping,hasTopping,only,VegetableTopping
ArtichokeTopping,hasTopping,some,VegetableTopping
AsparagusTopping,hasIngredient,only,Food
AsparagusTopping,hasIngredient,some,Food
AsparagusTopping,hasSpiciness,only,Mild
AsparagusTopping,hasSpiciness,some,Mild
AsparagusTopping,hasTopping,only,VegetableTopping
AsparagusTopping,hasTopping,some,VegetableTopping
Cajun,hasSpiciness,only,Hot
Cajun,hasSpiciness,some,Hot
Cajun,hasTopping,only,(OnionTopping or PeperonataTopping)
Cajun,hasTopping,some,OnionTopping
Cajun,hasTopping,some,PeperonataTopping
CajunSpiceTopping,hasIngredient,only,Cajun
CajunSpiceTopping,hasIngredient,some,Cajun
CajunSpiceTopping,hasSpiciness,only,Hot
CajunSpiceTopping,hasSpiciness,some,Hot
CaperTopping,hasTopping,only,VegetableTopping
CaperTopping,hasTopping,some,VegetableTopping
Capricciosa,hasBase,exactly 1,PizzaBase
Capricciosa,hasBase,only,PizzaBase
Capricciosa,hasBase,some,PizzaBase
Capricciosa,hasTopping,only,(CheeseTopping or VegetableTopping)
Capricciosa,hasTopping,some,CheeseTopping
Capricciosa,hasTopping,some,FishTopping
Capricciosa,hasTopping,some,VegetableTopping
Caprina,hasBase,only,PizzaBase
Caprina,hasBase,some,PizzaBase
Caprina,hasTopping,only,CheeseTopping
Caprina,hasTopping,some,CheeseTopping
CheeseTopping,hasSpiciness,only,Mild
CheeseTopping,hasSpiciness,some,Mild
CheeseTopping,isToppingOf,only,NamedPizza
CheeseTopping,isToppingOf,some,NamedPizza
CheeseyVegetableTopping,hasIngredient,only,VegetableTopping
CheeseyVegetableTopping,hasIngredient,some,CheeseTopping
CheeseyVegetableTopping,hasIngredient,some,VegetableTopping
CheeseyVegetableTopping,hasSpiciness,only,Spiciness
CheeseyVegetableTopping,hasSpiciness,some,Spiciness
CheeseyVegetableTopping,isToppingOf,only,NamedPizza
CheeseyVegetableTopping,isToppingOf,some,NamedPizza
ChickenTopping,hasSpiciness,only,Mild
ChickenTopping,hasSpiciness,some,Mild
ChickenTopping,hasTopping,only,MeatTopping
ChickenTopping,hasTopping,some,MeatTopping
DeepPanBase,hasIngredient,some,PizzaTopping
DeepPanBase,hasTopping,only,PizzaTopping
DeepPanBase,hasTopping,some,PizzaTopping
Fiorentina,hasBase,only,PizzaBase
